block,treatment,control,metric,mean_difference,sd_difference,n,se_difference
main,no_notice,unchanged,post_mean_belief_d,0.008408256400169825,0.0016929753127115032,20,0.00037856078834518845
main,no_notice,unchanged,post_first_e,-0.018245325120884476,0.023116215483493793,20,0.0051689429203625285
main,no_notice,unchanged,post_first_both,-0.0028153948480545915,0.014847947995781015,20,0.003320102104494811
main,no_notice,unchanged,pre_domestic_later_e,-0.027738824868670242,0.029812199359080565,20,0.00666621043256798
main,no_notice,unchanged,customer_share_all_cases,-0.07207987042148993,0.02617372918127682,20,0.005852623767400488
main,no_notice,unchanged,unresolved_fraction,-0.1539917311806068,0.032539629190998266,20,0.007276082283370861
main,no_notice,unchanged,post_customer_submissions,-3.05,4.4541524091807325,20,0.9959787569072576
main,immediate,no_notice,post_mean_belief_d,0.27190500961197905,0.0013913274447463243,20,0.0003111102745413864
main,immediate,no_notice,post_first_e,-0.18740276970211403,0.0608412887132471,20,0.013604525740151122
main,immediate,no_notice,post_first_both,-0.04555371301945143,0.05861062915688248,20,0.01310573509988204
main,immediate,no_notice,pre_domestic_later_e,-0.017066940983123696,0.024429641513682557,20,0.005462633909054505
main,immediate,no_notice,customer_share_all_cases,-0.11264481001506828,0.04521563353469424,20,0.01011052302292954
main,immediate,no_notice,unresolved_fraction,-0.010514200547996896,0.021497088678833938,20,0.004806895160421383
main,immediate,no_notice,post_customer_submissions,-15.25,6.950009466104875,20,1.554069361047752
main,network_notice,no_notice,post_mean_belief_d,0.2520672678505364,0.0029662542168051925,20,0.0006632746067321809
main,network_notice,no_notice,post_first_e,-0.1763579750046848,0.05951508961933328,20,0.013307978607582129
main,network_notice,no_notice,post_first_both,-0.04130723141204618,0.05198313824181959,20,0.01162378307924775
main,network_notice,no_notice,pre_domestic_later_e,-0.007752750445528903,0.012514913099001808,20,0.0027984196421870595
main,network_notice,no_notice,customer_share_all_cases,-0.10442890282020918,0.040636011924596684,20,0.009086488499789025
main,network_notice,no_notice,unresolved_fraction,-0.010402620514244888,0.02287023673455878,20,0.0051139403999986245
main,network_notice,no_notice,post_customer_submissions,-13.95,6.012924675887328,20,1.3445308318869955
main,immediate,network_notice,post_mean_belief_d,0.019837741761442585,0.0029315305323776406,20,0.0006555101548512552
main,immediate,network_notice,post_first_e,-0.01104479469742922,0.014639503279949567,20,0.0032734924490798365
main,immediate,network_notice,post_first_both,-0.004246481607405243,0.009746513060282177,20,0.0021793865746380452
main,immediate,network_notice,pre_domestic_later_e,-0.009314190537594793,0.0205704805335788,20,0.0045996992802918345
main,immediate,network_notice,customer_share_all_cases,-0.00821590719485909,0.009341945155415188,20,0.0020889224409583198
main,immediate,network_notice,unresolved_fraction,-0.00011158003375200953,0.00912198368898113,20,0.0020397375618206102
main,immediate,network_notice,post_customer_submissions,-1.3,1.4179302929937967,20,0.3170588522490323
learning_off,no_notice,unchanged,post_mean_belief_d,0.0,0.0,20,0.0
learning_off,no_notice,unchanged,post_first_e,-0.009785201337461339,0.017815886167859268,20,0.003983753255073155
learning_off,no_notice,unchanged,post_first_both,-0.003282187006829547,0.01197532743936247,20,0.002677764620723297
learning_off,no_notice,unchanged,pre_domestic_later_e,-0.02165402249820594,0.022929716390020876,20,0.005127240455287775
learning_off,no_notice,unchanged,customer_share_all_cases,-0.06912696910905616,0.026697070064616336,20,0.005969646346455683
learning_off,no_notice,unchanged,unresolved_fraction,-0.14280393798893296,0.03260664377077033,20,0.007291067198956252
learning_off,no_notice,unchanged,post_customer_submissions,-3.5,4.67355381515586,20,1.045038402719199
learning_off,immediate,no_notice,post_mean_belief_d,0.2800000000000001,9.86459044048525e-17,20,2.205789479511961e-17
learning_off,immediate,no_notice,post_first_e,-0.1917296412073262,0.05803448670898375,20,0.012976905732059571
learning_off,immediate,no_notice,post_first_both,-0.03756970115958615,0.05673886745613225,20,0.012687196459826227
learning_off,immediate,no_notice,pre_domestic_later_e,-0.014418779439266494,0.02306535575039261,20,0.005157570338309354
learning_off,immediate,no_notice,customer_share_all_cases,-0.11012799575323004,0.04773270744474293,20,0.010673357859655548
learning_off,immediate,no_notice,unresolved_fraction,-0.024628007289252973,0.021952737947817044,20,0.0049087814343558136
learning_off,immediate,no_notice,post_customer_submissions,-14.2,7.295276049031932,20,1.6312733160261488
learning_off,network_notice,no_notice,post_mean_belief_d,0.2595658333333334,0.0027393532606346527,20,0.0006125380105164781
learning_off,network_notice,no_notice,post_first_e,-0.17945093845166707,0.05531950705517932,20,0.012369817825716016
learning_off,network_notice,no_notice,post_first_both,-0.03470278600841934,0.05496698760724492,20,0.012290992080818816
learning_off,network_notice,no_notice,pre_domestic_later_e,-0.006625310633878565,0.014588776483444733,20,0.0032621495925532758
learning_off,network_notice,no_notice,customer_share_all_cases,-0.10194689342410852,0.044483990896665694,20,0.00994692275554263
learning_off,network_notice,no_notice,unresolved_fraction,-0.024989473453176515,0.021793100143763438,20,0.004873085336191549
learning_off,network_notice,no_notice,post_customer_submissions,-12.9,6.488045687424316,20,1.4507711198205122
learning_off,immediate,network_notice,post_mean_belief_d,0.020434166666666677,0.0027393532606346527,20,0.0006125380105164781
learning_off,immediate,network_notice,post_first_e,-0.01227870275565911,0.015585089362006541,20,0.003484931924885545
learning_off,immediate,network_notice,post_first_both,-0.0028669151511668068,0.006786579644252889,20,0.00151752534192658
learning_off,immediate,network_notice,pre_domestic_later_e,-0.0077934688053879295,0.020685301882715536,20,0.004625374114485632
learning_off,immediate,network_notice,customer_share_all_cases,-0.008181102329121528,0.009469389904481946,20,0.002117419953187187
learning_off,immediate,network_notice,unresolved_fraction,0.00036146616392354337,0.01066302505553516,20,0.0023843248869960085
learning_off,immediate,network_notice,post_customer_submissions,-1.3,1.5252264715358452,20,0.3410510071436298
closed_cohort,no_notice,unchanged,post_mean_belief_d,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,post_first_e,,,0,
closed_cohort,no_notice,unchanged,post_first_both,,,0,
closed_cohort,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,customer_share_all_cases,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,unresolved_fraction,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,post_customer_submissions,0.0,0.0,20,0.0
closed_cohort,immediate,no_notice,post_mean_belief_d,0.27983983104526977,0.00023286935502275856,20,5.207117077074202e-05
closed_cohort,immediate,no_notice,post_first_e,,,0,
closed_cohort,immediate,no_notice,post_first_both,,,0,
closed_cohort,immediate,no_notice,pre_domestic_later_e,0.0,0.0,20,0.0
closed_cohort,immediate,no_notice,customer_share_all_cases,0.0,0.0,20,0.0
