axis,mode,population,level,contrast,metric,mean,low,high,n
implementation,disabled,all,,highest_minus_lowest,domestic_use,-0.007973421926910307,-0.08571428571428574,0.06976744186046513,2
implementation,disabled,all,,highest_minus_lowest,customer_use,0.05714285714285716,0.0,0.11428571428571432,2
implementation,disabled,all,,highest_minus_lowest,first_d,-0.07408637873754154,-0.17142857142857149,0.023255813953488413,2
implementation,disabled,all,,highest_minus_lowest,first_e,0.0714285714285714,0.0,0.1428571428571428,2
implementation,disabled,all,,highest_minus_lowest,first_both,0.0,0.0,0.0,2
implementation,disabled,all,,highest_minus_lowest,neither,0.002657807308970101,-0.0232558139534883,0.0285714285714285,2
implementation,disabled,all,,highest_minus_lowest,d_to_e,-0.014285714285714249,-0.028571428571428498,0.0,2
implementation,disabled,all,,highest_minus_lowest,e_to_d,0.06611295681063128,0.0465116279069768,0.08571428571428577,2
implementation,disabled,all,,highest_minus_lowest,both_use,0.05182724252491694,0.046511627906976716,0.05714285714285716,2
implementation,disabled,all,,highest_minus_lowest,resolved,-0.022259136212624625,-0.11428571428571432,0.06976744186046507,2
implementation,disabled,all,,highest_minus_lowest,unresolved,0.022259136212624597,-0.06976744186046513,0.11428571428571432,2
implementation,disabled,all,,highest_minus_lowest,customer_route_success,0.045171624713958844,0.03999999999999998,0.05034324942791771,2
implementation,disabled,all,,highest_minus_lowest,customer_only_resolution,0.045171624713958844,0.03999999999999998,0.05034324942791771,2
implementation,disabled,all,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,2
implementation,disabled,all,,highest_minus_lowest,customer_user_any_resolution,0.029702517162471354,-0.020594965675057253,0.07999999999999996,2
implementation,disabled,all,,highest_minus_lowest,customer_unresolved,-0.029702517162471354,-0.07999999999999996,0.020594965675057253,2
implementation,disabled,all,,highest_minus_lowest,material_at_review,0.0217391304347826,0.0,0.0434782608695652,2
implementation,disabled,all,,highest_minus_lowest,standardized_no_material_score,0.004579194327225658,0.0025501725022328003,0.006608216152218516,2
implementation,disabled,all,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,2
implementation,disabled,all,,highest_minus_lowest,mean_customer_merit,0.011519042490791442,0.0012074188184416634,0.02183066616314122,2
implementation,disabled,all,,highest_minus_lowest,mean_customer_dependence,0.00549933563605054,0.0033230828818565095,0.00767558839024457,2
implementation,disabled,both_reachable,,highest_minus_lowest,domestic_use,-0.027777777777777735,-0.11111111111111105,0.05555555555555558,2
implementation,disabled,both_reachable,,highest_minus_lowest,customer_use,0.07407407407407407,0.0,0.14814814814814814,2
implementation,disabled,both_reachable,,highest_minus_lowest,first_d,-0.11111111111111113,-0.22222222222222227,0.0,2
implementation,disabled,both_reachable,,highest_minus_lowest,first_e,0.09259259259259259,0.0,0.18518518518518517,2
