case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort,scenario,seed
178:0,178,4,0,0.0,,0.0,,2.0,,2.0,,3.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.8308172709366088,True,0.4162920712285151,,3.0,,,,65.0,65.0,1,0,base,0
201:0,201,1,0,1.0,4.0,1.0,6.0,3.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5888208129442721,True,0.5994915417836008,6.0,3.0,no_remedy,,,64.0,65.0,0,0,base,0
207:0,207,5,0,1.0,1.0,,3.0,,,,4.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.304284400933786,False,0.506188904761806,4.0,,remedy_supported,4.0,,64.0,65.0,2,0,base,0
218:0,218,2,0,2.0,2.0,5.0,4.0,7.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4351729701343245,True,0.6,4.0,7.0,no_remedy,,,63.0,65.0,0,0,base,0
227:0,227,2,0,2.0,2.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9162306521268702,False,0.6,4.0,,no_remedy,,,63.0,65.0,0,0,base,0
228:0,228,5,0,2.0,,2.0,,4.0,,4.0,,5.0,unused,successful,5.0,e,1.0,e,resolved,0.8779814963463997,True,0.506188904761806,,5.0,,,3.0,3.0,5.0,2,0,base,0
5:6,5,5,6,8.0,8.0,,10.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.45477128534167505,False,0.506188904761806,10.0,,no_remedy,,,57.0,59.0,2,1,base,0
33:6,33,4,6,7.0,7.0,,9.0,,,,10.0,,successful,unused,10.0,d,1.0,d,resolved,0.45719517919871233,True,0.4162920712285151,10.0,,remedy_supported,10.0,3.0,3.0,4.0,1,1,base,0
34:6,34,4,6,9.0,35.0,9.0,37.0,11.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5639870253826444,True,0.4162920712285151,37.0,11.0,no_remedy,,,56.0,59.0,1,1,base,0
40:6,40,5,6,7.0,58.0,7.0,60.0,9.0,,,61.0,,successful,closed_unresolved,61.0,d,1.0,e,resolved,0.7390185525954414,True,0.506188904761806,61.0,9.0,remedy_supported,61.0,54.0,54.0,55.0,2,1,base,0
46:6,46,5,6,9.0,28.0,9.0,30.0,11.0,,,31.0,,successful,closed_unresolved,31.0,d,1.0,e,resolved,0.3891262349051305,True,0.506188904761806,31.0,11.0,remedy_supported,31.0,22.0,22.0,25.0,2,1,base,0
82:6,82,5,6,8.0,8.0,,10.0,,,,11.0,,successful,unused,11.0,d,1.0,d,resolved,0.49594945321450395,True,0.506188904761806,11.0,,remedy_supported,11.0,3.0,3.0,5.0,2,1,base,0
95:6,95,0,6,23.0,23.0,47.0,25.0,49.0,,49.0,,50.0,closed_unresolved,successful,50.0,e,1.0,d,resolved,0.5067201597835275,True,0.47042565019858995,25.0,50.0,no_remedy,,27.0,27.0,44.0,2,1,base,0
96:6,96,1,6,7.0,7.0,10.0,9.0,12.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9102605940570492,True,0.5994915417836008,9.0,12.0,no_remedy,,,58.0,59.0,0,1,base,0
137:6,137,3,6,26.0,26.0,64.0,28.0,,,,,,closed_unresolved,submitted,,,0.0,d,pending,0.48363075790668913,True,0.40760183202748823,28.0,,no_remedy,,,39.0,59.0,1,1,base,0
140:6,140,4,6,9.0,12.0,9.0,14.0,11.0,,,15.0,,successful,closed_unresolved,15.0,d,1.0,e,resolved,0.9500836652112532,True,0.4162920712285151,15.0,11.0,remedy_supported,15.0,6.0,6.0,9.0,1,1,base,0
153:6,153,3,6,8.0,12.0,8.0,14.0,10.0,,10.0,,11.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3618925309249741,True,0.40760183202748823,14.0,11.0,no_remedy,,,57.0,59.0,1,1,base,0
171:6,171,0,6,7.0,7.0,,9.0,,,,10.0,,successful,unused,10.0,d,1.0,d,resolved,0.7628508262393561,False,0.47042565019858995,10.0,,remedy_supported,10.0,3.0,3.0,4.0,2,1,base,0
176:6,176,1,6,6.0,20.0,6.0,22.0,8.0,,,23.0,,successful,closed_unresolved,23.0,d,1.0,e,resolved,0.9326632755416644,True,0.5994915417836008,23.0,8.0,remedy_supported,23.0,17.0,17.0,17.0,0,1,base,0
187:6,187,3,6,7.0,17.0,7.0,19.0,9.0,,9.0,,10.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6947425662725659,True,0.40760183202748823,19.0,10.0,no_remedy,,,58.0,59.0,1,1,base,0
199:6,199,2,6,6.0,9.0,6.0,11.0,8.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.35240946575968657,True,0.6,11.0,8.0,no_remedy,,,59.0,59.0,0,1,base,0
206:6,206,3,6,7.0,7.0,10.0,9.0,12.0,,12.0,,13.0,closed_unresolved,successful,13.0,e,1.0,d,resolved,0.46906376896801927,True,0.40760183202748823,9.0,13.0,no_remedy,,6.0,6.0,7.0,1,1,base,0
214:6,214,2,6,9.0,12.0,9.0,14.0,11.0,,,15.0,,successful,closed_unresolved,15.0,d,1.0,e,resolved,0.6202544171834288,True,0.6,15.0,11.0,remedy_supported,15.0,6.0,6.0,9.0,0,1,base,0
7:12,7,0,12,14.0,14.0,,16.0,,,,17.0,,successful,unused,17.0,d,1.0,d,resolved,0.7465367480282052,True,0.47042565019858995,17.0,,remedy_supported,17.0,3.0,3.0,5.0,2,2,base,0
19:12,19,5,12,14.0,14.0,,16.0,,,,17.0,,successful,unused,17.0,d,1.0,d,resolved,0.4538665083047964,True,0.506188904761806,17.0,,remedy_supported,17.0,3.0,3.0,5.0,2,2,base,0
22:12,22,1,12,12.0,28.0,12.0,30.0,14.0,,,31.0,,successful,closed_unresolved,31.0,d,1.0,e,resolved,0.814293066592382,True,0.5994915417836008,31.0,14.0,remedy_supported,31.0,19.0,19.0,19.0,0,2,base,0
24:12,24,0,12,12.0,12.0,,14.0,,,,15.0,,successful,unused,15.0,d,1.0,d,resolved,0.987563597562557,True,0.47042565019858995,15.0,,remedy_supported,15.0,3.0,3.0,3.0,2,2,base,0
29:12,29,2,12,17.0,17.0,,19.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4019165154415846,True,0.6,19.0,,no_remedy,,,48.0,53.0,0,2,base,0
54:12,54,4,12,15.0,15.0,,17.0,,,,18.0,,successful,unused,18.0,d,1.0,d,resolved,0.8851786134215318,True,0.4162920712285151,18.0,,remedy_supported,18.0,3.0,3.0,6.0,1,2,base,0
86:12,86,1,12,14.0,,14.0,,16.0,,16.0,,17.0,unused,successful,17.0,e,1.0,e,resolved,0.9597185618280852,True,0.5994915417836008,,17.0,,,3.0,3.0,5.0,0,2,base,0
109:12,109,3,12,15.0,15.0,,17.0,,,,18.0,,successful,unused,18.0,d,1.0,d,resolved,0.8508497976451543,True,0.40760183202748823,18.0,,remedy_supported,18.0,3.0,3.0,6.0,1,2,base,0
117:12,117,1,12,15.0,15.0,18.0,17.0,20.0,,20.0,,21.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6172750821936452,True,0.5994915417836008,17.0,21.0,no_remedy,,,50.0,53.0,0,2,base,0
131:12,131,5,12,14.0,18.0,14.0,20.0,16.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9973810806458232,True,0.506188904761806,20.0,16.0,no_remedy,,,51.0,53.0,2,2,base,0
136:12,136,4,12,13.0,16.0,13.0,18.0,15.0,,,19.0,,successful,closed_unresolved,19.0,d,1.0,e,resolved,0.47127513041529295,True,0.4162920712285151,19.0,15.0,remedy_supported,19.0,6.0,6.0,7.0,1,2,base,0
141:12,141,3,12,15.0,15.0,,17.0,,,,18.0,,successful,unused,18.0,d,1.0,d,resolved,0.6363027851073777,True,0.40760183202748823,18.0,,remedy_supported,18.0,3.0,3.0,6.0,1,2,base,0
163:12,163,1,12,13.0,13.0,,15.0,,,,16.0,,successful,unused,16.0,d,1.0,d,resolved,0.9704137692613084,True,0.5994915417836008,16.0,,remedy_supported,16.0,3.0,3.0,4.0,0,2,base,0
179:12,179,0,12,13.0,17.0,13.0,19.0,15.0,,15.0,,16.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.38803250322340993,True,0.47042565019858995,19.0,16.0,no_remedy,,,52.0,53.0,2,2,base,0
181:12,181,2,12,13.0,13.0,,15.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7430482022792215,False,0.6,15.0,,no_remedy,,,52.0,53.0,0,2,base,0
184:12,184,2,12,15.0,15.0,,17.0,,,,18.0,,successful,unused,18.0,d,1.0,d,resolved,0.6673718822457438,True,0.6,18.0,,remedy_supported,18.0,3.0,3.0,6.0,0,2,base,0
191:12,191,5,12,12.0,12.0,,14.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9396717497346392,True,0.506188904761806,14.0,,no_remedy,,,53.0,53.0,2,2,base,0
221:12,221,1,12,13.0,13.0,21.0,15.0,23.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3757664404564607,True,0.5994915417836008,15.0,23.0,no_remedy,,,52.0,53.0,0,2,base,0
229:12,229,4,12,13.0,13.0,,15.0,,,,16.0,,successful,unused,16.0,d,1.0,d,resolved,0.4661620058538445,True,0.4162920712285151,16.0,,remedy_supported,16.0,3.0,3.0,4.0,1,2,base,0
6:18,6,3,18,21.0,21.0,,23.0,,,,24.0,,successful,unused,24.0,d,1.0,d,resolved,0.7432900134788709,True,0.40760183202748823,24.0,,remedy_supported,24.0,3.0,3.0,6.0,1,3,base,0
57:18,57,4,18,20.0,20.0,,22.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9716238885004167,False,0.4162920712285151,22.0,,no_remedy,,,45.0,47.0,1,3,base,0
74:18,74,4,18,25.0,25.0,47.0,27.0,49.0,,49.0,,50.0,closed_unresolved,successful,50.0,e,1.0,d,resolved,0.8132796267732176,True,0.4162920712285151,27.0,50.0,no_remedy,,25.0,25.0,32.0,1,3,base,0
87:18,87,0,18,21.0,21.0,,23.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.26218004152940866,True,0.47042565019858995,23.0,,no_remedy,,,44.0,47.0,2,3,base,0
89:18,89,5,18,21.0,21.0,,23.0,,,,24.0,,successful,unused,24.0,d,1.0,d,resolved,0.4952361511130273,False,0.506188904761806,24.0,,remedy_supported,24.0,3.0,3.0,6.0,2,3,base,0
94:18,94,3,18,19.0,19.0,,21.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5376252371718311,False,0.40760183202748823,21.0,,no_remedy,,,46.0,47.0,1,3,base,0
107:18,107,2,18,25.0,25.0,,27.0,,,,28.0,,successful,unused,28.0,d,1.0,d,resolved,0.8612830384861387,False,0.6,28.0,,remedy_supported,28.0,3.0,3.0,10.0,0,3,base,0
110:18,110,1,18,18.0,18.0,,20.0,,,,21.0,,successful,unused,21.0,d,1.0,d,resolved,0.5941400530441188,False,0.5994915417836008,21.0,,remedy_supported,21.0,3.0,3.0,3.0,0,3,base,0
157:18,157,5,18,21.0,21.0,,23.0,,,,24.0,,successful,unused,24.0,d,1.0,d,resolved,0.2835431020295682,False,0.506188904761806,24.0,,remedy_supported,24.0,3.0,3.0,6.0,2,3,base,0
161:18,161,2,18,21.0,21.0,,23.0,,,,24.0,,successful,unused,24.0,d,1.0,d,resolved,0.37138413573709034,True,0.6,24.0,,remedy_supported,24.0,3.0,3.0,6.0,0,3,base,0
165:18,165,3,18,19.0,19.0,,21.0,,,,22.0,,successful,unused,22.0,d,1.0,d,resolved,0.46889751029360993,True,0.40760183202748823,22.0,,remedy_supported,22.0,3.0,3.0,4.0,1,3,base,0
175:18,175,0,18,26.0,35.0,26.0,37.0,28.0,,,38.0,,successful,closed_unresolved,38.0,d,1.0,e,resolved,0.4812840955143757,True,0.47042565019858995,38.0,28.0,remedy_supported,38.0,12.0,12.0,20.0,2,3,base,0
180:18,180,1,18,21.0,21.0,,23.0,,,,24.0,,successful,unused,24.0,d,1.0,d,resolved,0.5992177196443977,True,0.5994915417836008,24.0,,remedy_supported,24.0,3.0,3.0,6.0,0,3,base,0
189:18,189,3,18,19.0,19.0,,21.0,,,,22.0,,successful,unused,22.0,d,1.0,d,resolved,0.45356990248120477,True,0.40760183202748823,22.0,,remedy_supported,22.0,3.0,3.0,4.0,1,3,base,0
203:18,203,4,18,19.0,19.0,22.0,21.0,24.0,,24.0,,25.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.37653744317011917,True,0.4162920712285151,21.0,25.0,no_remedy,,,46.0,47.0,1,3,base,0
208:18,208,2,18,19.0,48.0,19.0,50.0,21.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.46105822339455416,True,0.6,50.0,21.0,no_remedy,,,46.0,47.0,0,3,base,0
220:18,220,1,18,21.0,,21.0,,23.0,,23.0,,24.0,unused,successful,24.0,e,1.0,e,resolved,0.9905269408351938,True,0.5994915417836008,,24.0,,,3.0,3.0,6.0,0,3,base,0
236:18,236,2,18,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9839076255721144,False,0.6,,,,,,,47.0,0,3,base,0
1:24,1,0,24,24.0,24.0,,26.0,,,,27.0,,successful,unused,27.0,d,1.0,d,resolved,0.8902054536854775,True,0.47042565019858995,27.0,,remedy_supported,27.0,3.0,3.0,3.0,2,4,base,0
23:24,23,0,24,26.0,26.0,45.0,28.0,47.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.47103926075571095,True,0.47042565019858995,28.0,47.0,no_remedy,,,39.0,41.0,2,4,base,0
28:24,28,5,24,26.0,26.0,,28.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4715418883503854,True,0.506188904761806,28.0,,no_remedy,,,39.0,41.0,2,4,base,0
48:24,48,1,24,27.0,,27.0,,29.0,,29.0,,30.0,unused,successful,30.0,e,1.0,e,resolved,0.8368847967177435,True,0.5994915417836008,,30.0,,,3.0,3.0,6.0,0,4,base,0
50:24,50,3,24,27.0,27.0,,29.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4691160105739046,True,0.40760183202748823,29.0,,no_remedy,,,38.0,41.0,1,4,base,0
53:24,53,2,24,26.0,,26.0,,28.0,,28.0,,29.0,unused,successful,29.0,e,1.0,e,resolved,0.9737918633439193,True,0.6,,29.0,,,3.0,3.0,5.0,0,4,base,0
79:24,79,4,24,27.0,30.0,27.0,32.0,29.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6650539493166403,True,0.4162920712285151,32.0,29.0,no_remedy,,,38.0,41.0,1,4,base,0
88:24,88,0,24,25.0,33.0,25.0,35.0,27.0,,27.0,,28.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.7137402053372197,True,0.47042565019858995,35.0,28.0,no_remedy,,,40.0,41.0,2,4,base,0
93:24,93,3,24,24.0,24.0,60.0,26.0,62.0,,62.0,27.0,63.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9693007223167571,True,0.40760183202748823,27.0,63.0,remedy_supported,27.0,,41.0,41.0,1,4,base,0
97:24,97,3,24,27.0,30.0,27.0,32.0,29.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6159449819107115,True,0.40760183202748823,32.0,29.0,no_remedy,,,38.0,41.0,1,4,base,0
101:24,101,2,24,24.0,24.0,,26.0,,,,27.0,,successful,unused,27.0,d,1.0,d,resolved,0.27236421648270515,True,0.6,27.0,,remedy_supported,27.0,3.0,3.0,3.0,0,4,base,0
135:24,135,0,24,25.0,25.0,,27.0,,,,28.0,,successful,unused,28.0,d,1.0,d,resolved,0.2468637276420685,False,0.47042565019858995,28.0,,remedy_supported,28.0,3.0,3.0,4.0,2,4,base,0
162:24,162,5,24,26.0,26.0,26.0,28.0,28.0,,,29.0,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.21541013457894992,True,0.506188904761806,29.0,28.0,remedy_supported,29.0,,39.0,41.0,2,4,base,0
195:24,195,2,24,24.0,24.0,,26.0,,,,27.0,,successful,unused,27.0,d,1.0,d,resolved,0.38462862337734305,True,0.6,27.0,,remedy_supported,27.0,3.0,3.0,3.0,0,4,base,0
197:24,197,1,24,27.0,,27.0,,29.0,,29.0,,30.0,unused,successful,30.0,e,1.0,e,resolved,0.48785807127128183,True,0.5994915417836008,,30.0,,,3.0,3.0,6.0,0,4,base,0
202:24,202,3,24,26.0,26.0,31.0,28.0,33.0,,33.0,,34.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.7621952111211698,True,0.40760183202748823,28.0,34.0,no_remedy,,,39.0,41.0,1,4,base,0
215:24,215,1,24,24.0,,24.0,,26.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5203028346488352,True,0.5994915417836008,,26.0,,,,41.0,41.0,0,4,base,0
226:24,226,5,24,43.0,43.0,,45.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2376853010927655,False,0.506188904761806,45.0,,no_remedy,,,22.0,41.0,2,4,base,0
230:24,230,4,24,26.0,26.0,,28.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8005603473507588,False,0.4162920712285151,28.0,,no_remedy,,,39.0,41.0,1,4,base,0
16:30,16,5,30,32.0,32.0,,34.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3444897561253334,False,0.506188904761806,34.0,,no_remedy,,,33.0,35.0,2,5,base,0
17:30,17,0,30,30.0,30.0,33.0,32.0,35.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.3483218358637366,True,0.47042565019858995,32.0,35.0,no_remedy,,,35.0,35.0,2,5,base,0
18:30,18,4,30,30.0,30.0,33.0,32.0,35.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.565910605081186,True,0.4162920712285151,32.0,35.0,no_remedy,,,35.0,35.0,1,5,base,0
69:30,69,0,30,33.0,48.0,33.0,50.0,35.0,,,51.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.2928181888461059,True,0.47042565019858995,51.0,35.0,remedy_supported,51.0,,32.0,35.0,2,5,base,0
84:30,84,3,30,32.0,32.0,57.0,34.0,59.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.22932519955191122,True,0.40760183202748823,34.0,59.0,no_remedy,,,33.0,35.0,1,5,base,0
102:30,102,4,30,31.0,31.0,,33.0,,,,34.0,,successful,unused,34.0,d,1.0,d,resolved,0.9033355307014705,False,0.4162920712285151,34.0,,remedy_supported,34.0,3.0,3.0,4.0,1,5,base,0
127:30,127,4,30,31.0,31.0,34.0,33.0,,,,34.0,,successful,cancelled_by_resolution,34.0,d,1.0,d,resolved,0.8188890772965436,True,0.4162920712285151,34.0,34.0,remedy_supported,34.0,3.0,3.0,4.0,1,5,base,0
128:30,128,2,30,30.0,30.0,,32.0,,,,33.0,,successful,unused,33.0,d,1.0,d,resolved,0.7625083619950204,True,0.6,33.0,,remedy_supported,33.0,3.0,3.0,3.0,0,5,base,0
149:30,149,2,30,32.0,35.0,32.0,37.0,34.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.8551686927611841,True,0.6,37.0,34.0,no_remedy,,,33.0,35.0,0,5,base,0
164:30,164,5,30,30.0,30.0,,32.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9572656790733756,True,0.506188904761806,32.0,,no_remedy,,,35.0,35.0,2,5,base,0
209:30,209,0,30,33.0,36.0,33.0,38.0,35.0,,,39.0,,successful,closed_unresolved,39.0,d,1.0,e,resolved,0.3124753200187798,True,0.47042565019858995,39.0,35.0,remedy_supported,39.0,6.0,6.0,9.0,2,5,base,0
210:30,210,1,30,32.0,,32.0,,34.0,,34.0,,35.0,unused,successful,35.0,e,1.0,e,resolved,0.7972243286350806,True,0.5994915417836008,,35.0,,,3.0,3.0,5.0,0,5,base,0
216:30,216,0,30,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9251787388289079,True,0.47042565019858995,,,,,,,35.0,2,5,base,0
219:30,219,3,30,32.0,35.0,32.0,37.0,34.0,,34.0,38.0,35.0,successful,closed_unresolved,38.0,d,1.0,e,resolved,0.4685931763882196,True,0.40760183202748823,38.0,35.0,remedy_supported,38.0,6.0,6.0,8.0,1,5,base,0
27:36,27,1,36,36.0,64.0,36.0,,38.0,,,,,submitted,closed_unresolved,,,0.0,e,pending,0.7068430872855871,True,0.5994915417836008,,38.0,,,,29.0,29.0,0,6,base,0
47:36,47,3,36,36.0,36.0,,38.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8417602677675879,True,0.40760183202748823,38.0,,no_remedy,,,29.0,29.0,1,6,base,0
59:36,59,5,36,36.0,36.0,39.0,38.0,41.0,,41.0,,42.0,closed_unresolved,successful,42.0,e,1.0,d,resolved,0.3200681415256143,True,0.506188904761806,38.0,42.0,no_remedy,,6.0,6.0,6.0,2,6,base,0
66:36,66,5,36,37.0,37.0,,39.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6496361069168813,True,0.506188904761806,39.0,,no_remedy,,,28.0,29.0,2,6,base,0
67:36,67,1,36,39.0,39.0,42.0,41.0,44.0,,44.0,,45.0,closed_unresolved,successful,45.0,e,1.0,d,resolved,0.849971468963334,True,0.5994915417836008,41.0,45.0,no_remedy,,6.0,6.0,9.0,0,6,base,0
68:36,68,0,36,36.0,39.0,36.0,41.0,38.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.41322075009759796,True,0.47042565019858995,41.0,38.0,no_remedy,,,29.0,29.0,2,6,base,0
83:36,83,0,36,39.0,39.0,,41.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8169579374413223,True,0.47042565019858995,41.0,,no_remedy,,,26.0,29.0,2,6,base,0
106:36,106,2,36,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.41928840138456647,False,0.6,,,,,,,29.0,0,6,base,0
124:36,124,3,36,37.0,37.0,40.0,39.0,42.0,,42.0,,43.0,closed_unresolved,successful,43.0,e,1.0,d,resolved,0.9474850822505292,True,0.40760183202748823,39.0,43.0,no_remedy,,6.0,6.0,7.0,1,6,base,0
130:36,130,5,36,38.0,41.0,38.0,43.0,40.0,,,44.0,,successful,closed_unresolved,44.0,d,1.0,e,resolved,0.22489185454170935,True,0.506188904761806,44.0,40.0,remedy_supported,44.0,6.0,6.0,8.0,2,6,base,0
154:36,154,3,36,38.0,42.0,38.0,44.0,40.0,,40.0,,41.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9115791961118416,True,0.40760183202748823,44.0,41.0,no_remedy,,,27.0,29.0,1,6,base,0
