scenario,seed,time,new_disputes,new_complaints,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
delayed,3,49,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,4.666666666666667,1.0,0.0,0.0
delayed,4,49,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,5.656565656565657,1.0,0.0,0.0
delayed,5,49,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,5.505263157894737,1.0,0.0,0.0
delayed,6,49,0,0,0,7,0,0,87,87,94,7,7,7,0,0,0,0,87,0.07446808510638298,0.0,5.609195402298851,1.0,0.0,0.0
delayed,7,49,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,5.552941176470588,1.0,0.0,0.0
delayed,8,49,0,0,0,4,0,0,95,95,99,4,4,4,0,0,0,0,95,0.04040404040404041,0.0,5.484210526315789,1.0,0.0,0.0
delayed,9,49,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,4.979381443298969,1.0,0.0,0.0
delayed,10,49,0,0,0,6,0,0,91,91,97,6,6,6,0,0,0,0,91,0.061855670103092786,0.0,5.747252747252747,1.0,0.0,0.0
delayed,11,49,0,0,0,7,0,0,78,78,85,7,7,7,0,0,0,0,78,0.08235294117647059,0.0,5.256410256410256,1.0,0.0,0.0
delayed,12,49,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,6.0,1.0,0.0,0.0
delayed,13,49,0,0,0,3,0,0,93,93,96,3,3,3,0,0,0,0,93,0.03125,0.0,5.301075268817204,1.0,0.0,0.0
delayed,14,49,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,5.247058823529412,1.0,0.0,0.0
delayed,15,49,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,4.5,1.0,0.0,0.0
delayed,16,49,0,0,0,19,0,0,66,66,85,19,19,19,0,0,0,0,66,0.2235294117647059,0.0,4.9393939393939394,1.0,0.0,0.0
delayed,17,49,0,0,0,8,0,0,88,88,96,8,8,8,0,0,0,0,88,0.08333333333333333,0.0,5.534090909090909,1.0,0.0,0.0
delayed,18,49,0,0,0,14,0,0,73,73,87,14,14,14,0,0,0,0,73,0.16091954022988506,0.0,5.109589041095891,1.0,0.0,0.0
delayed,19,49,0,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0.0,0.0,5.392156862745098,1.0,0.0,0.0
delay_2,0,49,0,0,0,55,0,0,46,46,101,55,55,55,0,0,0,0,46,0.5445544554455446,0.0,2.847826086956522,1.0,0.0,0.0
delay_2,1,49,0,0,0,42,0,0,42,42,84,42,42,42,0,0,0,0,42,0.5,0.0,2.9761904761904763,1.0,0.0,0.0
delay_2,2,49,0,0,0,6,0,0,86,86,92,6,6,6,0,0,0,0,86,0.06521739130434782,0.0,3.104651162790698,1.0,0.0,0.0
delay_2,3,49,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,3.6666666666666665,1.0,0.0,0.0
delay_2,4,49,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,3.8484848484848486,1.0,0.0,0.0
delay_2,5,49,0,0,0,19,0,0,77,77,96,19,19,19,0,0,0,0,77,0.19791666666666666,0.0,3.5324675324675323,1.0,0.0,0.0
delay_2,6,49,0,0,0,10,0,0,84,84,94,10,10,10,0,0,0,0,84,0.10638297872340426,0.0,3.7738095238095237,1.0,0.0,0.0
delay_2,7,49,0,0,0,13,0,0,80,80,93,13,13,13,0,0,0,0,80,0.13978494623655913,0.0,3.625,1.0,0.0,0.0
delay_2,8,49,0,0,0,10,0,0,89,89,99,10,10,10,0,0,0,0,89,0.10101010101010101,0.0,2.808988764044944,1.0,0.0,0.0
delay_2,9,49,0,0,0,21,0,0,81,81,102,21,21,21,0,0,0,0,81,0.20588235294117646,0.0,2.8518518518518516,1.0,0.0,0.0
delay_2,10,49,0,0,0,21,0,0,76,76,97,21,21,21,0,0,0,0,76,0.21649484536082475,0.0,2.8947368421052633,1.0,0.0,0.0
delay_2,11,49,0,0,0,13,0,0,72,72,85,13,13,13,0,0,0,0,72,0.15294117647058825,0.0,3.236111111111111,1.0,0.0,0.0
delay_2,12,49,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,3.463917525773196,1.0,0.0,0.0
delay_2,13,49,0,0,0,4,0,0,92,92,96,4,4,4,0,0,0,0,92,0.041666666666666664,0.0,3.8260869565217392,1.0,0.0,0.0
delay_2,14,49,0,0,0,20,0,0,73,73,93,20,20,20,0,0,0,0,73,0.21505376344086022,0.0,2.767123287671233,1.0,0.0,0.0
delay_2,15,49,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,2.875,1.0,0.0,0.0
delay_2,16,49,0,0,0,34,0,0,51,51,85,34,34,34,0,0,0,0,51,0.4,0.0,2.8823529411764706,1.0,0.0,0.0
delay_2,17,49,0,0,0,10,0,0,86,86,96,10,10,10,0,0,0,0,86,0.10416666666666667,0.0,2.941860465116279,1.0,0.0,0.0
delay_2,18,49,0,0,0,24,0,0,63,63,87,24,24,24,0,0,0,0,63,0.27586206896551724,0.0,3.253968253968254,1.0,0.0,0.0
delay_2,19,49,0,0,0,16,0,0,86,86,102,16,16,16,0,0,0,0,86,0.1568627450980392,0.0,3.2325581395348837,1.0,0.0,0.0
delay_8,0,49,0,0,0,3,0,0,98,98,101,3,3,3,0,0,0,0,98,0.0297029702970297,0.0,9.36734693877551,1.0,0.0,0.0
delay_8,1,49,0,0,0,8,0,0,76,76,84,8,8,8,0,0,0,0,76,0.09523809523809523,0.0,8.763157894736842,1.0,0.0,0.0
delay_8,2,49,0,0,0,3,0,0,89,89,92,3,3,3,0,0,0,0,89,0.03260869565217391,0.0,9.393258426966293,1.0,0.0,0.0
delay_8,3,49,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,8.166666666666666,1.0,0.0,0.0
delay_8,4,49,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,9.797979797979798,1.0,0.0,0.0
delay_8,5,49,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,9.25263157894737,1.0,0.0,0.0
delay_8,6,49,0,0,0,7,0,0,87,87,94,7,7,7,0,0,0,0,87,0.07446808510638298,0.0,9.954022988505747,1.0,0.0,0.0
delay_8,7,49,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,9.48235294117647,1.0,0.0,0.0
delay_8,8,49,0,0,0,3,0,0,96,96,99,3,3,3,0,0,0,0,96,0.030303030303030304,0.0,8.822916666666666,1.0,0.0,0.0
delay_8,9,49,0,0,0,4,0,0,98,98,102,4,4,4,0,0,0,0,98,0.0392156862745098,0.0,9.561224489795919,1.0,0.0,0.0
delay_8,10,49,0,0,0,6,0,0,91,91,97,6,6,6,0,0,0,0,91,0.061855670103092786,0.0,10.208791208791208,1.0,0.0,0.0
delay_8,11,49,0,0,0,2,0,0,83,83,85,2,2,2,0,0,0,0,83,0.023529411764705882,0.0,9.25301204819277,1.0,0.0,0.0
delay_8,12,49,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,10.010309278350515,1.0,0.0,0.0
delay_8,13,49,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,9.414893617021276,1.0,0.0,0.0
delay_8,14,49,0,0,0,4,0,0,89,89,93,4,4,4,0,0,0,0,89,0.043010752688172046,0.0,8.898876404494382,1.0,0.0,0.0
delay_8,15,49,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,8.625,1.0,0.0,0.0
delay_8,16,49,0,0,0,13,0,0,72,72,85,13,13,13,0,0,0,0,72,0.15294117647058825,0.0,9.055555555555555,1.0,0.0,0.0
delay_8,17,49,0,0,0,8,0,0,88,88,96,8,8,8,0,0,0,0,88,0.08333333333333333,0.0,9.181818181818182,1.0,0.0,0.0
delay_8,18,49,0,0,0,6,0,0,81,81,87,6,6,6,0,0,0,0,81,0.06896551724137931,0.0,9.530864197530864,1.0,0.0,0.0
delay_8,19,49,0,0,0,0,0,0,102,102,102,0,0,0,0,0,0,0,102,0.0,0.0,9.352941176470589,1.0,0.0,0.0
effect_0,0,49,0,0,0,101,98,0,0,98,101,3,3,3,0,0,0,0,98,1.0,1.0,,1.0,0.0,0.0
effect_0,1,49,0,0,0,84,77,0,0,77,84,7,7,7,0,0,0,0,77,1.0,1.0,,1.0,0.0,0.0
effect_0,2,49,0,0,0,92,89,0,0,89,92,3,3,3,0,0,0,0,89,1.0,1.0,,1.0,0.0,0.0
