time,case_id,employee,event,scenario,seed
3,2:0,2,case_resolved,domestic_only,1
3,14:0,14,case_resolved,domestic_only,1
4,18:0,18,domestic_implementation_success,domestic_only,1
4,20:0,20,domestic_implementation_success,domestic_only,1
4,21:0,21,domestic_implementation_success,domestic_only,1
4,23:0,23,domestic_implementation_failure,domestic_only,1
4,18:0,18,case_resolved,domestic_only,1
4,20:0,20,case_resolved,domestic_only,1
4,21:0,21,case_resolved,domestic_only,1
0,0:0,0,dispute_created,customer_only,1
0,2:0,2,dispute_created,customer_only,1
0,4:0,4,dispute_created,customer_only,1
0,6:0,6,dispute_created,customer_only,1
0,7:0,7,dispute_created,customer_only,1
0,8:0,8,dispute_created,customer_only,1
0,9:0,9,dispute_created,customer_only,1
0,10:0,10,dispute_created,customer_only,1
0,12:0,12,dispute_created,customer_only,1
0,14:0,14,dispute_created,customer_only,1
0,15:0,15,dispute_created,customer_only,1
0,16:0,16,dispute_created,customer_only,1
0,18:0,18,dispute_created,customer_only,1
0,20:0,20,dispute_created,customer_only,1
0,21:0,21,dispute_created,customer_only,1
0,23:0,23,dispute_created,customer_only,1
0,2:0,2,customer_received,customer_only,1
0,9:0,9,customer_received,customer_only,1
0,14:0,14,customer_received,customer_only,1
0,18:0,18,customer_received,customer_only,1
0,21:0,21,customer_received,customer_only,1
0,23:0,23,customer_received,customer_only,1
1,12:0,12,customer_received,customer_only,1
2,2:0,2,customer_reviewed,customer_only,1
2,2:0,2,customer_declined,customer_only,1
2,9:0,9,customer_reviewed,customer_only,1
2,9:0,9,customer_declined,customer_only,1
2,14:0,14,customer_reviewed,customer_only,1
2,14:0,14,customer_intervened,customer_only,1
2,18:0,18,customer_reviewed,customer_only,1
2,18:0,18,customer_intervened,customer_only,1
2,21:0,21,customer_reviewed,customer_only,1
2,21:0,21,customer_declined,customer_only,1
2,23:0,23,customer_reviewed,customer_only,1
2,23:0,23,customer_declined,customer_only,1
3,12:0,12,customer_reviewed,customer_only,1
3,12:0,12,customer_declined,customer_only,1
3,14:0,14,firm_case_processed,customer_only,1
3,14:0,14,customer_firm_success,customer_only,1
3,18:0,18,firm_case_processed,customer_only,1
3,18:0,18,customer_firm_failure,customer_only,1
3,14:0,14,case_resolved,customer_only,1
0,0:0,0,dispute_created,both,1
0,2:0,2,dispute_created,both,1
0,4:0,4,dispute_created,both,1
0,6:0,6,dispute_created,both,1
0,7:0,7,dispute_created,both,1
0,8:0,8,dispute_created,both,1
0,9:0,9,dispute_created,both,1
0,10:0,10,dispute_created,both,1
0,12:0,12,dispute_created,both,1
0,14:0,14,dispute_created,both,1
0,15:0,15,dispute_created,both,1
0,16:0,16,dispute_created,both,1
0,18:0,18,dispute_created,both,1
