variant,grouping,metric,contrast,n,mean,low,high
limited_access,halves,domestic_use,middle_minus_low,20,-0.0400557986699291,-0.10071133149406004,0.021708826481844357
limited_access,halves,domestic_use,middle_minus_high,20,-0.019232012182863543,-0.06951412108035432,0.03254060138114605
limited_access,halves,domestic_use,middle_minus_endpoint_average,20,-0.029643905426396323,-0.08234493906279831,0.022891118367029836
limited_access,halves,customer_use,middle_minus_low,20,-0.047150410368710274,-0.10728993670139854,0.009159851221190212
limited_access,halves,customer_use,middle_minus_high,20,-0.013255473727525812,-0.06516415923556856,0.03850703142102134
limited_access,halves,customer_use,middle_minus_endpoint_average,20,-0.03020294204811804,-0.06665029842483593,0.0033558912175229625
limited_access,halves,resolved,middle_minus_low,20,-0.013279476810487068,-0.07880108827127694,0.051884970687879825
limited_access,halves,resolved,middle_minus_high,20,0.02464622087653449,-0.028741384645009825,0.08276550425315399
limited_access,halves,resolved,middle_minus_endpoint_average,20,0.005683372033023712,-0.045673233861058836,0.06068361993811979
limited_access,halves,customer_success,middle_minus_low,20,0.020341602841602847,-0.08548185495060492,0.1237603889166389
limited_access,halves,customer_success,middle_minus_high,20,0.0408969174100753,-0.04569362741876287,0.1275494845335693
limited_access,halves,customer_success,middle_minus_endpoint_average,20,0.03061926012583907,-0.05230265986056427,0.1142341496276771
limited_access,halves,first_customer,middle_minus_low,20,-0.01229352225600038,-0.06309260930422718,0.04757379025955085
limited_access,halves,first_customer,middle_minus_high,20,0.0026529255693678935,-0.05643807421900873,0.05483090073584037
limited_access,halves,first_customer,middle_minus_endpoint_average,20,-0.004820298343316242,-0.03908632369111572,0.030257424618398063
limited_access,halves,both_use,middle_minus_low,20,-0.0834171646954323,-0.14243757328879827,-0.021562207548923483
limited_access,halves,both_use,middle_minus_high,20,-0.03510863446689265,-0.10188853949543901,0.03522572474876148
limited_access,halves,both_use,middle_minus_endpoint_average,20,-0.05926289958116247,-0.10747819884055834,-0.010244417098022904
limited_access,halves,d_to_e,middle_minus_low,20,-0.025378236604259623,-0.0652726457925067,0.018096601807719104
limited_access,halves,d_to_e,middle_minus_high,20,-0.01006932680845724,-0.05713568877727917,0.03615905365769491
limited_access,halves,d_to_e,middle_minus_endpoint_average,20,-0.017723781706358428,-0.043810550746501684,0.00867971523216804
limited_access,halves,firm_equal_resolved,middle_minus_low,20,-0.011990740740740746,-0.07690839947089949,0.05150231481481478
limited_access,halves,firm_equal_resolved,middle_minus_high,20,0.027195767195767183,-0.027294312169312215,0.08381415343915338
limited_access,halves,firm_equal_resolved,middle_minus_endpoint_average,20,0.007602513227513224,-0.04322883597883598,0.06151264880952378
limited_access,tails,domestic_use,middle_minus_low,20,-0.05606055708996884,-0.13490007082378402,0.016872625230161968
limited_access,tails,domestic_use,middle_minus_high,20,-0.07768148518148518,-0.1578908484285322,-0.0028471797810033696
limited_access,tails,domestic_use,middle_minus_endpoint_average,20,-0.06687102113572703,-0.13696036622691035,1.3747282129582428e-05
limited_access,tails,customer_use,middle_minus_low,20,-0.025809260184260198,-0.09402652831237392,0.0416897391823862
limited_access,tails,customer_use,middle_minus_high,20,-0.0008257306419071214,-0.056979308681514594,0.052474961007130096
limited_access,tails,customer_use,middle_minus_endpoint_average,20,-0.013317495413083653,-0.060121450547002034,0.028446564260902467
limited_access,tails,resolved,middle_minus_low,20,0.008867162249515202,-0.0583026483320601,0.08115942605188922
limited_access,tails,resolved,middle_minus_high,20,0.022767261333437806,-0.04088146453219984,0.08697140706515705
limited_access,tails,resolved,middle_minus_endpoint_average,20,0.0158172117914765,-0.04094310081258609,0.07285077050196531
limited_access,tails,customer_success,middle_minus_low,18,0.03011864678531342,-0.08957040644540645,0.1425855780022446
limited_access,tails,customer_success,middle_minus_high,18,0.08852320518987183,-0.01602011799928469,0.1858872685956019
limited_access,tails,customer_success,middle_minus_endpoint_average,18,0.05932092598759263,-0.03574443303609972,0.14780066384233048
limited_access,tails,first_customer,middle_minus_low,20,-0.006394181798593546,-0.06280389738937532,0.05880353194599517
limited_access,tails,first_customer,middle_minus_high,20,0.014554016245192727,-0.05710323826500295,0.08478808997375174
limited_access,tails,first_customer,middle_minus_endpoint_average,20,0.004079917223299594,-0.04037122456791573,0.04629675369565075
limited_access,tails,both_use,middle_minus_low,20,-0.06937488165429344,-0.14099805402930404,0.015685620751797084
limited_access,tails,both_use,middle_minus_high,20,-0.07292857877416702,-0.15623593930579224,0.0028246208448413834
limited_access,tails,both_use,middle_minus_endpoint_average,20,-0.07115173021423023,-0.13301678932791067,-0.009290908539989456
limited_access,tails,d_to_e,middle_minus_low,20,-0.009943924539512785,-0.0622449122568608,0.048784968911807135
limited_access,tails,d_to_e,middle_minus_high,20,-0.007118057595998756,-0.07435313552868698,0.052678548881673906
limited_access,tails,d_to_e,middle_minus_endpoint_average,20,-0.008530991067755771,-0.05186075367647056,0.035044320263070264
limited_access,tails,firm_equal_resolved,middle_minus_low,20,0.009384920634920638,-0.05865401785714286,0.08182738095238092
limited_access,tails,firm_equal_resolved,middle_minus_high,20,0.0259623015873016,-0.033122519841269835,0.08866840277777774
limited_access,tails,firm_equal_resolved,middle_minus_endpoint_average,20,0.01767361111111112,-0.038564980158730174,0.07388752480158729
main,halves,domestic_use,middle_minus_low,20,-0.015736533119592767,-0.08259398510808527,0.04706249876172636
main,halves,domestic_use,middle_minus_high,20,-0.0011244481670346779,-0.05613808113088176,0.05443487557633127
main,halves,domestic_use,middle_minus_endpoint_average,20,-0.00843049064331372,-0.059698928434793595,0.04126234372987802
main,halves,customer_use,middle_minus_low,20,-0.08621263922322275,-0.15649751643601764,-0.018674454220614145
main,halves,customer_use,middle_minus_high,20,-0.018882002995359425,-0.05973177825538715,0.025683820913255263
main,halves,customer_use,middle_minus_endpoint_average,20,-0.05254732110929108,-0.09461636600717188,-0.00954091711358631
main,halves,resolved,middle_minus_low,20,0.09993545329164188,0.03785706052409173,0.17174762853315861
main,halves,resolved,middle_minus_high,20,0.04832846643268639,-0.00596088590071628,0.09951439193751839
main,halves,resolved,middle_minus_endpoint_average,20,0.07413195986216413,0.02921369185437678,0.11855360798040353
main,halves,customer_success,middle_minus_low,20,0.07656734197175376,-0.005208299053887275,0.15777656779495
main,halves,customer_success,middle_minus_high,20,0.03168829880130191,-0.02404562322030394,0.08681957939291535
main,halves,customer_success,middle_minus_endpoint_average,20,0.05412782038652784,0.00145753783701251,0.11022593363003096
main,halves,first_customer,middle_minus_low,20,-0.014820782605393582,-0.09640864251142173,0.06483112684216258
main,halves,first_customer,middle_minus_high,20,-0.008117488292730604,-0.07453601572337903,0.05490311959287215
main,halves,first_customer,middle_minus_endpoint_average,20,-0.011469135449062093,-0.07238478217287193,0.04829995637240576
main,halves,both_use,middle_minus_low,20,-0.08635871009869867,-0.14827786476649465,-0.01992371120488971
