variant,dependence_mean,seed,period,grouping,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved
limited_access,0.1,0,early,halves,0.05476190476190479,0.07380952380952382,0.07619047619047609,0.1616161616161616,0.08095238095238089,0.1285714285714285,-0.007142857142857201,0.059523809523809534
limited_access,0.1,0,early,tails,0.2142857142857143,0.04395604395604402,0.1758241758241758,0.0,0.027472527472527486,0.2582417582417583,0.016483516483516508,0.17261904761904773
limited_access,0.1,0,late,halves,0.0304347826086957,0.10869565217391303,0.11521739130434794,-0.0111111111111111,0.17608695652173917,0.09565217391304354,-0.023913043478260815,0.09232804232804231
limited_access,0.1,0,late,tails,0.06666666666666665,0.06666666666666665,0.1333333333333333,-0.023809523809523808,0.06666666666666671,0.06666666666666671,0.0,0.1259920634920635
limited_access,0.1,1,early,halves,0.00454545454545463,0.3,0.11363636363636359,0.0,0.21818181818181817,0.30454545454545445,0.03636363636363629,0.10515873015873012
limited_access,0.1,1,early,tails,0.004761904761904634,0.18095238095238098,0.05238095238095242,0.0,0.19047619047619052,0.18571428571428583,-0.00952380952380949,0.03869047619047619
limited_access,0.1,1,late,halves,-0.24183006535947704,0.0326797385620915,-0.2712418300653595,0.0,0.19607843137254904,-0.1470588235294118,-0.16339869281045752,-0.2757936507936508
limited_access,0.1,1,late,tails,-0.16666666666666674,-0.38888888888888895,-0.1388888888888889,0.0,-0.16666666666666669,-0.5277777777777778,-0.2222222222222222,-0.1428571428571428
limited_access,0.1,2,early,halves,-0.018181818181818188,0.18181818181818182,-0.15454545454545449,0.1571428571428572,0.07272727272727278,0.07272727272727278,0.10909090909090911,-0.1693121693121694
limited_access,0.1,2,early,tails,0.19999999999999996,-0.04999999999999999,-0.3666666666666667,0.05714285714285722,-0.25,0.08333333333333337,0.2,-0.36111111111111116
limited_access,0.1,2,late,halves,-0.07142857142857151,0.23809523809523814,0.02380952380952378,0.0909090909090909,-0.0476190476190477,0.1428571428571428,0.2857142857142857,0.01428571428571418
limited_access,0.1,2,late,tails,0.0,0.09999999999999998,0.2,0.1428571428571428,-0.25714285714285723,0.09999999999999998,0.3571428571428571,0.2
limited_access,0.1,3,early,halves,-0.13492063492063489,0.0,-0.0396825396825396,0.07936507936507942,-0.0396825396825396,-0.1507936507936507,0.03968253968253971,-0.1018518518518518
limited_access,0.1,3,early,tails,-0.33333333333333337,-0.18055555555555558,-0.16666666666666669,0.0,-0.18055555555555558,-0.4027777777777778,0.0,-0.20833333333333331
limited_access,0.1,3,late,halves,-0.22077922077922074,0.30303030303030304,-0.0562770562770562,-0.1428571428571428,0.21645021645021648,0.17316017316017318,0.08658008658008659,-0.04365079365079361
limited_access,0.1,3,late,tails,-0.2142857142857143,0.1428571428571429,-0.1428571428571429,-0.1666666666666666,0.2857142857142857,0.07142857142857151,-0.1428571428571428,-0.1190476190476191
limited_access,0.1,4,early,halves,0.125,0.07500000000000001,-0.125,0.0,-0.11249999999999999,0.1625,0.1875,-0.13571428571428568
limited_access,0.1,4,early,tails,0.10389610389610393,0.11688311688311692,-0.19480519480519481,0.0,-0.15584415584415579,0.24025974025974028,0.2727272727272727,-0.22023809523809518
limited_access,0.1,4,late,halves,-0.0304347826086957,0.054347826086956486,0.12826086956521743,0.5714285714285714,0.11739130434782599,-0.026086956521739202,-0.06304347826086959,0.11706349206349198
limited_access,0.1,4,late,tails,-0.13736263736263754,0.11538461538461542,-0.027472527472527486,0.5714285714285714,0.2032967032967033,-0.02197802197802201,-0.0879120879120879,-0.014880952380952439
