case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
28:48,28,5,48,50.0,66.0,50.0,68.0,52.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.4715418883503854,True,0.506188904761806,68.0,52.0,no_remedy,,,57.0,59.0,2,4
48:48,48,1,48,51.0,51.0,,53.0,,,,54.0,,successful,unused,54.0,d,1.0,d,resolved,0.8368847967177435,True,0.5994915417836008,54.0,,remedy_supported,54.0,3.0,3.0,6.0,0,4
50:48,50,3,48,51.0,51.0,,53.0,,,,54.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4691160105739046,True,0.40760183202748823,54.0,,remedy_supported,54.0,,56.0,59.0,1,4
53:48,53,2,48,50.0,54.0,50.0,56.0,52.0,,52.0,,53.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9737918633439193,True,0.6,56.0,53.0,no_remedy,,,57.0,59.0,0,4
79:48,79,4,48,51.0,55.0,51.0,57.0,53.0,,53.0,58.0,54.0,successful,closed_unresolved,58.0,d,1.0,e,resolved,0.6650539493166403,True,0.4162920712285151,58.0,54.0,remedy_supported,58.0,7.0,7.0,10.0,1,4
88:48,88,0,48,49.0,,49.0,,51.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.7137402053372197,True,0.47042565019858995,,51.0,,,,58.0,59.0,2,4
93:48,93,3,48,59.0,79.0,59.0,81.0,61.0,,61.0,,62.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.9693007223167571,True,0.40760183202748823,81.0,62.0,no_remedy,,,48.0,59.0,1,4
97:48,97,3,48,51.0,54.0,51.0,56.0,53.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6159449819107115,True,0.40760183202748823,56.0,53.0,no_remedy,,,56.0,59.0,1,4
101:48,101,2,48,48.0,48.0,51.0,50.0,53.0,,53.0,,54.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.27236421648270515,True,0.6,50.0,54.0,no_remedy,,,59.0,59.0,0,4
135:48,135,0,48,49.0,49.0,,51.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2468637276420685,False,0.47042565019858995,51.0,,no_remedy,,,58.0,59.0,2,4
162:48,162,5,48,50.0,50.0,53.0,52.0,55.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.21541013457894992,True,0.506188904761806,52.0,55.0,no_remedy,,,57.0,59.0,2,4
195:48,195,2,48,48.0,48.0,51.0,50.0,53.0,,53.0,,54.0,closed_unresolved,successful,54.0,e,1.0,d,resolved,0.38462862337734305,True,0.6,50.0,54.0,no_remedy,,6.0,6.0,6.0,0,4
197:48,197,1,48,51.0,51.0,54.0,53.0,56.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.48785807127128183,True,0.5994915417836008,53.0,56.0,no_remedy,,,56.0,59.0,0,4
202:48,202,3,48,50.0,50.0,,52.0,,,,53.0,,successful,unused,53.0,d,1.0,d,resolved,0.7621952111211698,True,0.40760183202748823,53.0,,remedy_supported,53.0,3.0,3.0,5.0,1,4
215:48,215,1,48,50.0,,50.0,,52.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.5203028346488352,True,0.5994915417836008,,52.0,,,,57.0,59.0,0,4
226:48,226,5,48,49.0,49.0,,51.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2376853010927655,False,0.506188904761806,51.0,,no_remedy,,,58.0,59.0,2,4
230:48,230,4,48,81.0,81.0,,83.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8005603473507588,False,0.4162920712285151,83.0,,no_remedy,,,26.0,59.0,1,4
16:60,16,5,60,62.0,62.0,,64.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3444897561253334,False,0.506188904761806,64.0,,no_remedy,,,45.0,47.0,2,5
17:60,17,0,60,60.0,63.0,60.0,65.0,62.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3483218358637366,True,0.47042565019858995,65.0,62.0,no_remedy,,,47.0,47.0,2,5
18:60,18,4,60,60.0,60.0,88.0,62.0,90.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.565910605081186,True,0.4162920712285151,62.0,90.0,no_remedy,,,47.0,47.0,1,5
69:60,69,0,60,63.0,66.0,63.0,68.0,65.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.2928181888461059,True,0.47042565019858995,68.0,65.0,no_remedy,,,44.0,47.0,2,5
84:60,84,3,60,62.0,62.0,,64.0,,,,65.0,,successful,unused,65.0,d,1.0,d,resolved,0.22932519955191122,True,0.40760183202748823,65.0,,remedy_supported,65.0,3.0,3.0,5.0,1,5
102:60,102,4,60,61.0,61.0,,63.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9033355307014705,False,0.4162920712285151,63.0,,no_remedy,,,46.0,47.0,1,5
127:60,127,4,60,61.0,61.0,72.0,63.0,74.0,,,64.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.8188890772965436,True,0.4162920712285151,64.0,74.0,remedy_supported,64.0,,46.0,47.0,1,5
128:60,128,2,60,60.0,60.0,,62.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7625083619950204,True,0.6,62.0,,no_remedy,,,47.0,47.0,0,5
149:60,149,2,60,62.0,66.0,62.0,68.0,64.0,,64.0,69.0,65.0,successful,closed_unresolved,69.0,d,1.0,e,resolved,0.8551686927611841,True,0.6,69.0,65.0,remedy_supported,69.0,7.0,7.0,9.0,0,5
164:60,164,5,60,60.0,60.0,,62.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9572656790733756,True,0.506188904761806,62.0,,no_remedy,,,47.0,47.0,2,5
209:60,209,0,60,63.0,66.0,63.0,68.0,65.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3124753200187798,True,0.47042565019858995,68.0,65.0,no_remedy,,,44.0,47.0,2,5
210:60,210,1,60,62.0,,62.0,,64.0,,,,,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.7972243286350806,True,0.5994915417836008,,64.0,,,,45.0,47.0,0,5
216:60,216,0,60,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9251787388289079,True,0.47042565019858995,,,,,,,47.0,2,5
219:60,219,3,60,62.0,62.0,,64.0,,,,65.0,,successful,unused,65.0,d,1.0,d,resolved,0.4685931763882196,True,0.40760183202748823,65.0,,remedy_supported,65.0,3.0,3.0,5.0,1,5
27:72,27,1,72,72.0,,72.0,,74.0,,74.0,,75.0,unused,successful,75.0,e,1.0,e,resolved,0.7068430872855871,True,0.5994915417836008,,75.0,,,3.0,3.0,3.0,0,6
47:72,47,3,72,72.0,72.0,,74.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8417602677675879,True,0.40760183202748823,74.0,,no_remedy,,,35.0,35.0,1,6
59:72,59,5,72,72.0,75.0,72.0,77.0,74.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.3200681415256143,True,0.506188904761806,77.0,74.0,no_remedy,,,35.0,35.0,2,6
66:72,66,5,72,84.0,107.0,84.0,,86.0,,86.0,,87.0,submitted,closed_unresolved,,,0.0,e,pending,0.6496361069168813,True,0.506188904761806,,87.0,,,,23.0,35.0,2,6
67:72,67,1,72,75.0,75.0,78.0,77.0,80.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.849971468963334,True,0.5994915417836008,77.0,80.0,no_remedy,,,32.0,35.0,0,6
68:72,68,0,72,72.0,72.0,75.0,74.0,77.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.41322075009759796,True,0.47042565019858995,74.0,77.0,no_remedy,,,35.0,35.0,2,6
83:72,83,0,72,75.0,75.0,78.0,77.0,80.0,,80.0,,81.0,closed_unresolved,successful,81.0,e,1.0,d,resolved,0.8169579374413223,True,0.47042565019858995,77.0,81.0,no_remedy,,6.0,6.0,9.0,2,6
106:72,106,2,72,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.41928840138456647,False,0.6,,,,,,,35.0,0,6
124:72,124,3,72,73.0,73.0,,75.0,,,,76.0,,successful,unused,76.0,d,1.0,d,resolved,0.9474850822505292,True,0.40760183202748823,76.0,,remedy_supported,76.0,3.0,3.0,4.0,1,6
130:72,130,5,72,74.0,77.0,74.0,79.0,76.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.22489185454170935,True,0.506188904761806,79.0,76.0,no_remedy,,,33.0,35.0,2,6
