comparison,policy,domestic_capacity,active_customers,metric,n,difference,low,high
topology_3_minus_6,equal,2,3,e_to_d_all,20,0.006647034223488735,0.001737328276575499,0.012189303048014596
topology_3_minus_6,equal,2,3,d_eligible_rounds,20,5.15,-23.705,35.96124999999994
topology_3_minus_6,equal,2,3,e_eligible_rounds,20,18.6,14.85,22.4
topology_1_minus_6,equal,6,1,domestic_use,20,0.011600958863531925,0.00552532377292831,0.018853287431799547
topology_1_minus_6,equal,6,1,customer_use,20,0.025773960989518986,0.013917526848000595,0.037935330109904124
topology_1_minus_6,equal,6,1,resolved_share,20,0.0005844256973986578,-0.015899862563048185,0.017658960930934962
topology_1_minus_6,equal,6,1,d_to_e_all,20,0.025773960989519017,0.014338349758423768,0.03783249314464505
topology_1_minus_6,equal,6,1,e_to_d_all,20,0.01160095886353191,0.005228851843547271,0.018169481477812655
topology_1_minus_6,equal,6,1,d_eligible_rounds,20,11.05,1.55,20.60249999999999
topology_1_minus_6,equal,6,1,e_eligible_rounds,20,304.75,261.79875,353.65
topology_3_minus_6,equal,6,3,domestic_use,20,0.00664703422348874,0.0018396176933725143,0.012013563106484501
topology_3_minus_6,equal,6,3,customer_use,20,0.0026592222572786707,-0.005361304616020918,0.011248010158736329
topology_3_minus_6,equal,6,3,resolved_share,20,0.012611416104108214,0.004324311733838392,0.020690945952036074
topology_3_minus_6,equal,6,3,d_to_e_all,20,0.002659222257278676,-0.0064223382732085214,0.011152523434951694
topology_3_minus_6,equal,6,3,e_to_d_all,20,0.006647034223488735,0.002061254491445851,0.011761586453945018
topology_3_minus_6,equal,6,3,d_eligible_rounds,20,-0.5,-8.151250000000001,7.151249999999994
topology_3_minus_6,equal,6,3,e_eligible_rounds,20,18.25,14.25,22.95
topology_1_minus_6,equal,12,1,domestic_use,20,0.013066087087232076,0.007535709927840171,0.01913349550440879
topology_1_minus_6,equal,12,1,customer_use,20,0.013626205201494762,-0.0037125606912372443,0.030735542991308776
topology_1_minus_6,equal,12,1,resolved_share,20,-0.0025877504464173083,-0.026574215918093134,0.020622808341903286
topology_1_minus_6,equal,12,1,d_to_e_all,20,0.013626205201494778,-0.0022742987072587005,0.03153450530253507
topology_1_minus_6,equal,12,1,e_to_d_all,20,0.01306608708723207,0.006886375305215629,0.019102666529966485
topology_1_minus_6,equal,12,1,d_eligible_rounds,20,-0.3,-3.2,2.55
topology_1_minus_6,equal,12,1,e_eligible_rounds,20,318.35,272.19624999999996,367.20374999999996
topology_3_minus_6,equal,12,3,domestic_use,20,0.008150422139920139,0.002744963605858487,0.013933576064788506
topology_3_minus_6,equal,12,3,customer_use,20,0.0061015131017550465,-0.003287167799820997,0.016854075058263068
topology_3_minus_6,equal,12,3,resolved_share,20,0.004918982616762785,-0.011426146877114832,0.02023527499724336
topology_3_minus_6,equal,12,3,d_to_e_all,20,0.006101513101755052,-0.0030940393055947954,0.016921025813094542
topology_3_minus_6,equal,12,3,e_to_d_all,20,0.00815042213992013,0.002687356876752002,0.013964670506390468
topology_3_minus_6,equal,12,3,d_eligible_rounds,20,-0.35,-2.25,1.5
topology_3_minus_6,equal,12,3,e_eligible_rounds,20,28.25,21.75,35.5
topology_1_minus_6,pooled,2,1,domestic_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,customer_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,resolved_share,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,d_to_e_all,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,e_to_d_all,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,d_eligible_rounds,20,0.0,0.0,0.0
topology_1_minus_6,pooled,2,1,e_eligible_rounds,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,domestic_use,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,customer_use,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,resolved_share,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,d_to_e_all,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,e_to_d_all,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,d_eligible_rounds,20,0.0,0.0,0.0
topology_3_minus_6,pooled,2,3,e_eligible_rounds,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,domestic_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,customer_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,resolved_share,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,d_to_e_all,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,e_to_d_all,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,d_eligible_rounds,20,0.0,0.0,0.0
topology_1_minus_6,pooled,6,1,e_eligible_rounds,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,domestic_use,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,customer_use,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,resolved_share,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,d_to_e_all,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,e_to_d_all,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,d_eligible_rounds,20,0.0,0.0,0.0
topology_3_minus_6,pooled,6,3,e_eligible_rounds,20,0.0,0.0,0.0
topology_1_minus_6,pooled,12,1,domestic_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,12,1,customer_use,20,0.0,0.0,0.0
topology_1_minus_6,pooled,12,1,resolved_share,20,0.0,0.0,0.0
topology_1_minus_6,pooled,12,1,d_to_e_all,20,0.0,0.0,0.0
topology_1_minus_6,pooled,12,1,e_to_d_all,20,0.0,0.0,0.0
