customer,capacity,seed,policy,domestic_capacity,active_customers
2,2,6,equal,6,1
3,2,6,equal,6,1
4,2,6,equal,6,1
5,2,6,equal,6,1
0,2,6,degree,6,6
1,2,6,degree,6,6
2,2,6,degree,6,6
3,2,6,degree,6,6
4,2,6,degree,6,6
5,2,6,degree,6,6
0,4,6,degree,6,3
1,4,6,degree,6,3
2,4,6,degree,6,3
3,0,6,degree,6,3
4,0,6,degree,6,3
5,0,6,degree,6,3
0,12,6,degree,6,1
1,0,6,degree,6,1
2,0,6,degree,6,1
3,0,6,degree,6,1
4,0,6,degree,6,1
5,0,6,degree,6,1
0,2,6,pooled,6,6
1,2,6,pooled,6,6
2,2,6,pooled,6,6
3,2,6,pooled,6,6
4,2,6,pooled,6,6
5,2,6,pooled,6,6
0,2,6,pooled,6,3
1,2,6,pooled,6,3
2,2,6,pooled,6,3
3,2,6,pooled,6,3
4,2,6,pooled,6,3
5,2,6,pooled,6,3
0,2,6,pooled,6,1
1,2,6,pooled,6,1
2,2,6,pooled,6,1
3,2,6,pooled,6,1
4,2,6,pooled,6,1
5,2,6,pooled,6,1
0,2,6,equal,12,6
1,2,6,equal,12,6
2,2,6,equal,12,6
3,2,6,equal,12,6
4,2,6,equal,12,6
5,2,6,equal,12,6
0,2,6,equal,12,3
1,2,6,equal,12,3
2,2,6,equal,12,3
3,2,6,equal,12,3
4,2,6,equal,12,3
5,2,6,equal,12,3
0,2,6,equal,12,1
1,2,6,equal,12,1
2,2,6,equal,12,1
3,2,6,equal,12,1
4,2,6,equal,12,1
5,2,6,equal,12,1
0,2,6,degree,12,6
1,2,6,degree,12,6
2,2,6,degree,12,6
3,2,6,degree,12,6
4,2,6,degree,12,6
5,2,6,degree,12,6
0,4,6,degree,12,3
1,4,6,degree,12,3
2,4,6,degree,12,3
3,0,6,degree,12,3
4,0,6,degree,12,3
5,0,6,degree,12,3
0,12,6,degree,12,1
1,0,6,degree,12,1
2,0,6,degree,12,1
3,0,6,degree,12,1
4,0,6,degree,12,1
5,0,6,degree,12,1
0,2,6,pooled,12,6
1,2,6,pooled,12,6
2,2,6,pooled,12,6
3,2,6,pooled,12,6
4,2,6,pooled,12,6
5,2,6,pooled,12,6
0,2,6,pooled,12,3
1,2,6,pooled,12,3
2,2,6,pooled,12,3
3,2,6,pooled,12,3
4,2,6,pooled,12,3
5,2,6,pooled,12,3
0,2,6,pooled,12,1
1,2,6,pooled,12,1
2,2,6,pooled,12,1
3,2,6,pooled,12,1
4,2,6,pooled,12,1
5,2,6,pooled,12,1
0,2,7,equal,2,6
1,2,7,equal,2,6
2,2,7,equal,2,6
3,2,7,equal,2,6
4,2,7,equal,2,6
5,2,7,equal,2,6
0,2,7,equal,2,3
1,2,7,equal,2,3
2,2,7,equal,2,3
3,2,7,equal,2,3
4,2,7,equal,2,3
5,2,7,equal,2,3
0,2,7,equal,2,1
1,2,7,equal,2,1
2,2,7,equal,2,1
3,2,7,equal,2,1
4,2,7,equal,2,1
5,2,7,equal,2,1
0,2,7,degree,2,6
1,2,7,degree,2,6
2,2,7,degree,2,6
3,2,7,degree,2,6
4,2,7,degree,2,6
5,2,7,degree,2,6
0,4,7,degree,2,3
1,4,7,degree,2,3
2,4,7,degree,2,3
3,0,7,degree,2,3
4,0,7,degree,2,3
5,0,7,degree,2,3
0,12,7,degree,2,1
1,0,7,degree,2,1
2,0,7,degree,2,1
3,0,7,degree,2,1
4,0,7,degree,2,1
5,0,7,degree,2,1
0,2,7,pooled,2,6
1,2,7,pooled,2,6
2,2,7,pooled,2,6
3,2,7,pooled,2,6
4,2,7,pooled,2,6
5,2,7,pooled,2,6
0,2,7,pooled,2,3
1,2,7,pooled,2,3
2,2,7,pooled,2,3
3,2,7,pooled,2,3
4,2,7,pooled,2,3
5,2,7,pooled,2,3
0,2,7,pooled,2,1
1,2,7,pooled,2,1
2,2,7,pooled,2,1
3,2,7,pooled,2,1
4,2,7,pooled,2,1
5,2,7,pooled,2,1
0,2,7,equal,6,6
1,2,7,equal,6,6
2,2,7,equal,6,6
3,2,7,equal,6,6
4,2,7,equal,6,6
5,2,7,equal,6,6
0,2,7,equal,6,3
1,2,7,equal,6,3
2,2,7,equal,6,3
3,2,7,equal,6,3
4,2,7,equal,6,3
5,2,7,equal,6,3
0,2,7,equal,6,1
1,2,7,equal,6,1
2,2,7,equal,6,1
3,2,7,equal,6,1
4,2,7,equal,6,1
5,2,7,equal,6,1
0,2,7,degree,6,6
1,2,7,degree,6,6
2,2,7,degree,6,6
3,2,7,degree,6,6
4,2,7,degree,6,6
5,2,7,degree,6,6
0,4,7,degree,6,3
1,4,7,degree,6,3
2,4,7,degree,6,3
3,0,7,degree,6,3
4,0,7,degree,6,3
5,0,7,degree,6,3
0,12,7,degree,6,1
1,0,7,degree,6,1
2,0,7,degree,6,1
3,0,7,degree,6,1
4,0,7,degree,6,1
5,0,7,degree,6,1
0,2,7,pooled,6,6
1,2,7,pooled,6,6
2,2,7,pooled,6,6
3,2,7,pooled,6,6
4,2,7,pooled,6,6
5,2,7,pooled,6,6
0,2,7,pooled,6,3
1,2,7,pooled,6,3
2,2,7,pooled,6,3
3,2,7,pooled,6,3
4,2,7,pooled,6,3
5,2,7,pooled,6,3
0,2,7,pooled,6,1
1,2,7,pooled,6,1
2,2,7,pooled,6,1
3,2,7,pooled,6,1
4,2,7,pooled,6,1
5,2,7,pooled,6,1
0,2,7,equal,12,6
1,2,7,equal,12,6
2,2,7,equal,12,6
3,2,7,equal,12,6
4,2,7,equal,12,6
5,2,7,equal,12,6
0,2,7,equal,12,3
1,2,7,equal,12,3
2,2,7,equal,12,3
3,2,7,equal,12,3
4,2,7,equal,12,3
5,2,7,equal,12,3
0,2,7,equal,12,1
1,2,7,equal,12,1
2,2,7,equal,12,1
3,2,7,equal,12,1
4,2,7,equal,12,1
5,2,7,equal,12,1
0,2,7,degree,12,6
1,2,7,degree,12,6
2,2,7,degree,12,6
3,2,7,degree,12,6
4,2,7,degree,12,6
5,2,7,degree,12,6
0,4,7,degree,12,3
1,4,7,degree,12,3
2,4,7,degree,12,3
3,0,7,degree,12,3
4,0,7,degree,12,3
5,0,7,degree,12,3
0,12,7,degree,12,1
1,0,7,degree,12,1
2,0,7,degree,12,1
3,0,7,degree,12,1
4,0,7,degree,12,1
5,0,7,degree,12,1
0,2,7,pooled,12,6
1,2,7,pooled,12,6
2,2,7,pooled,12,6
3,2,7,pooled,12,6
4,2,7,pooled,12,6
5,2,7,pooled,12,6
0,2,7,pooled,12,3
1,2,7,pooled,12,3
2,2,7,pooled,12,3
3,2,7,pooled,12,3
4,2,7,pooled,12,3
5,2,7,pooled,12,3
0,2,7,pooled,12,1
1,2,7,pooled,12,1
2,2,7,pooled,12,1
3,2,7,pooled,12,1
4,2,7,pooled,12,1
5,2,7,pooled,12,1
0,2,8,equal,2,6
1,2,8,equal,2,6
2,2,8,equal,2,6
3,2,8,equal,2,6
4,2,8,equal,2,6
5,2,8,equal,2,6
0,2,8,equal,2,3
1,2,8,equal,2,3
2,2,8,equal,2,3
3,2,8,equal,2,3
4,2,8,equal,2,3
5,2,8,equal,2,3
0,2,8,equal,2,1
1,2,8,equal,2,1
2,2,8,equal,2,1
3,2,8,equal,2,1
4,2,8,equal,2,1
5,2,8,equal,2,1
0,2,8,degree,2,6
1,2,8,degree,2,6
2,2,8,degree,2,6
3,2,8,degree,2,6
4,2,8,degree,2,6
5,2,8,degree,2,6
0,4,8,degree,2,3
1,4,8,degree,2,3
2,4,8,degree,2,3
3,0,8,degree,2,3
4,0,8,degree,2,3
5,0,8,degree,2,3
0,12,8,degree,2,1
1,0,8,degree,2,1
2,0,8,degree,2,1
3,0,8,degree,2,1
4,0,8,degree,2,1
5,0,8,degree,2,1
0,2,8,pooled,2,6
1,2,8,pooled,2,6
2,2,8,pooled,2,6
3,2,8,pooled,2,6
4,2,8,pooled,2,6
5,2,8,pooled,2,6
0,2,8,pooled,2,3
1,2,8,pooled,2,3
2,2,8,pooled,2,3
3,2,8,pooled,2,3
4,2,8,pooled,2,3
5,2,8,pooled,2,3
0,2,8,pooled,2,1
1,2,8,pooled,2,1
2,2,8,pooled,2,1
3,2,8,pooled,2,1
4,2,8,pooled,2,1
5,2,8,pooled,2,1
0,2,8,equal,6,6
1,2,8,equal,6,6
2,2,8,equal,6,6
3,2,8,equal,6,6
4,2,8,equal,6,6
5,2,8,equal,6,6
0,2,8,equal,6,3
1,2,8,equal,6,3
2,2,8,equal,6,3
3,2,8,equal,6,3
4,2,8,equal,6,3
5,2,8,equal,6,3
0,2,8,equal,6,1
1,2,8,equal,6,1
2,2,8,equal,6,1
3,2,8,equal,6,1
4,2,8,equal,6,1
5,2,8,equal,6,1
0,2,8,degree,6,6
1,2,8,degree,6,6
2,2,8,degree,6,6
3,2,8,degree,6,6
4,2,8,degree,6,6
5,2,8,degree,6,6
0,4,8,degree,6,3
1,4,8,degree,6,3
2,4,8,degree,6,3
3,0,8,degree,6,3
4,0,8,degree,6,3
5,0,8,degree,6,3
0,12,8,degree,6,1
1,0,8,degree,6,1
2,0,8,degree,6,1
3,0,8,degree,6,1
4,0,8,degree,6,1
5,0,8,degree,6,1
0,2,8,pooled,6,6
1,2,8,pooled,6,6
2,2,8,pooled,6,6
3,2,8,pooled,6,6
4,2,8,pooled,6,6
5,2,8,pooled,6,6
0,2,8,pooled,6,3
1,2,8,pooled,6,3
2,2,8,pooled,6,3
3,2,8,pooled,6,3
4,2,8,pooled,6,3
5,2,8,pooled,6,3
0,2,8,pooled,6,1
1,2,8,pooled,6,1
2,2,8,pooled,6,1
3,2,8,pooled,6,1
4,2,8,pooled,6,1
5,2,8,pooled,6,1
0,2,8,equal,12,6
1,2,8,equal,12,6
2,2,8,equal,12,6
3,2,8,equal,12,6
4,2,8,equal,12,6
5,2,8,equal,12,6
0,2,8,equal,12,3
1,2,8,equal,12,3
2,2,8,equal,12,3
3,2,8,equal,12,3
4,2,8,equal,12,3
5,2,8,equal,12,3
0,2,8,equal,12,1
1,2,8,equal,12,1
2,2,8,equal,12,1
3,2,8,equal,12,1
4,2,8,equal,12,1
5,2,8,equal,12,1
0,2,8,degree,12,6
1,2,8,degree,12,6
2,2,8,degree,12,6
3,2,8,degree,12,6
4,2,8,degree,12,6
5,2,8,degree,12,6
0,4,8,degree,12,3
1,4,8,degree,12,3
2,4,8,degree,12,3
3,0,8,degree,12,3
4,0,8,degree,12,3
5,0,8,degree,12,3
0,12,8,degree,12,1
1,0,8,degree,12,1
2,0,8,degree,12,1
3,0,8,degree,12,1
4,0,8,degree,12,1
5,0,8,degree,12,1
0,2,8,pooled,12,6
1,2,8,pooled,12,6
2,2,8,pooled,12,6
3,2,8,pooled,12,6
4,2,8,pooled,12,6
5,2,8,pooled,12,6
0,2,8,pooled,12,3
1,2,8,pooled,12,3
2,2,8,pooled,12,3
3,2,8,pooled,12,3
4,2,8,pooled,12,3
5,2,8,pooled,12,3
0,2,8,pooled,12,1
1,2,8,pooled,12,1
2,2,8,pooled,12,1
3,2,8,pooled,12,1
4,2,8,pooled,12,1
5,2,8,pooled,12,1
0,2,9,equal,2,6
1,2,9,equal,2,6
2,2,9,equal,2,6
3,2,9,equal,2,6
4,2,9,equal,2,6
5,2,9,equal,2,6
0,2,9,equal,2,3
1,2,9,equal,2,3
2,2,9,equal,2,3
3,2,9,equal,2,3
4,2,9,equal,2,3
5,2,9,equal,2,3
0,2,9,equal,2,1
1,2,9,equal,2,1
2,2,9,equal,2,1
3,2,9,equal,2,1
4,2,9,equal,2,1
5,2,9,equal,2,1
0,2,9,degree,2,6
1,2,9,degree,2,6
2,2,9,degree,2,6
3,2,9,degree,2,6
4,2,9,degree,2,6
5,2,9,degree,2,6
0,4,9,degree,2,3
1,4,9,degree,2,3
2,4,9,degree,2,3
3,0,9,degree,2,3
4,0,9,degree,2,3
5,0,9,degree,2,3
0,12,9,degree,2,1
1,0,9,degree,2,1
2,0,9,degree,2,1
3,0,9,degree,2,1
4,0,9,degree,2,1
5,0,9,degree,2,1
0,2,9,pooled,2,6
1,2,9,pooled,2,6
2,2,9,pooled,2,6
3,2,9,pooled,2,6
4,2,9,pooled,2,6
5,2,9,pooled,2,6
0,2,9,pooled,2,3
1,2,9,pooled,2,3
2,2,9,pooled,2,3
3,2,9,pooled,2,3
4,2,9,pooled,2,3
5,2,9,pooled,2,3
0,2,9,pooled,2,1
1,2,9,pooled,2,1
2,2,9,pooled,2,1
3,2,9,pooled,2,1
4,2,9,pooled,2,1
5,2,9,pooled,2,1
0,2,9,equal,6,6
1,2,9,equal,6,6
2,2,9,equal,6,6
3,2,9,equal,6,6
4,2,9,equal,6,6
5,2,9,equal,6,6
0,2,9,equal,6,3
1,2,9,equal,6,3
2,2,9,equal,6,3
3,2,9,equal,6,3
4,2,9,equal,6,3
5,2,9,equal,6,3
0,2,9,equal,6,1
1,2,9,equal,6,1
2,2,9,equal,6,1
3,2,9,equal,6,1
4,2,9,equal,6,1
5,2,9,equal,6,1
0,2,9,degree,6,6
1,2,9,degree,6,6
2,2,9,degree,6,6
3,2,9,degree,6,6
4,2,9,degree,6,6
5,2,9,degree,6,6
0,4,9,degree,6,3
1,4,9,degree,6,3
2,4,9,degree,6,3
3,0,9,degree,6,3
4,0,9,degree,6,3
5,0,9,degree,6,3
0,12,9,degree,6,1
1,0,9,degree,6,1
2,0,9,degree,6,1
3,0,9,degree,6,1
4,0,9,degree,6,1
5,0,9,degree,6,1
0,2,9,pooled,6,6
1,2,9,pooled,6,6
2,2,9,pooled,6,6
3,2,9,pooled,6,6
4,2,9,pooled,6,6
5,2,9,pooled,6,6
0,2,9,pooled,6,3
1,2,9,pooled,6,3
2,2,9,pooled,6,3
3,2,9,pooled,6,3
4,2,9,pooled,6,3
5,2,9,pooled,6,3
0,2,9,pooled,6,1
1,2,9,pooled,6,1
2,2,9,pooled,6,1
3,2,9,pooled,6,1
4,2,9,pooled,6,1
5,2,9,pooled,6,1
0,2,9,equal,12,6
1,2,9,equal,12,6
2,2,9,equal,12,6
3,2,9,equal,12,6
4,2,9,equal,12,6
5,2,9,equal,12,6
0,2,9,equal,12,3
1,2,9,equal,12,3
2,2,9,equal,12,3
3,2,9,equal,12,3
4,2,9,equal,12,3
5,2,9,equal,12,3
0,2,9,equal,12,1
1,2,9,equal,12,1
2,2,9,equal,12,1
3,2,9,equal,12,1
4,2,9,equal,12,1
5,2,9,equal,12,1
0,2,9,degree,12,6
1,2,9,degree,12,6
2,2,9,degree,12,6
3,2,9,degree,12,6
4,2,9,degree,12,6
5,2,9,degree,12,6
0,4,9,degree,12,3
1,4,9,degree,12,3
2,4,9,degree,12,3
3,0,9,degree,12,3
4,0,9,degree,12,3
5,0,9,degree,12,3
0,12,9,degree,12,1
1,0,9,degree,12,1
2,0,9,degree,12,1
3,0,9,degree,12,1
4,0,9,degree,12,1
5,0,9,degree,12,1
0,2,9,pooled,12,6
1,2,9,pooled,12,6
2,2,9,pooled,12,6
3,2,9,pooled,12,6
4,2,9,pooled,12,6
5,2,9,pooled,12,6
0,2,9,pooled,12,3
1,2,9,pooled,12,3
2,2,9,pooled,12,3
3,2,9,pooled,12,3
4,2,9,pooled,12,3
5,2,9,pooled,12,3
0,2,9,pooled,12,1
1,2,9,pooled,12,1
2,2,9,pooled,12,1
3,2,9,pooled,12,1
4,2,9,pooled,12,1
5,2,9,pooled,12,1
0,2,10,equal,2,6
1,2,10,equal,2,6
2,2,10,equal,2,6
3,2,10,equal,2,6
4,2,10,equal,2,6
5,2,10,equal,2,6
0,2,10,equal,2,3
1,2,10,equal,2,3
2,2,10,equal,2,3
3,2,10,equal,2,3
4,2,10,equal,2,3
5,2,10,equal,2,3
0,2,10,equal,2,1
1,2,10,equal,2,1
2,2,10,equal,2,1
3,2,10,equal,2,1
4,2,10,equal,2,1
5,2,10,equal,2,1
0,2,10,degree,2,6
1,2,10,degree,2,6
2,2,10,degree,2,6
3,2,10,degree,2,6
4,2,10,degree,2,6
5,2,10,degree,2,6
0,4,10,degree,2,3
1,4,10,degree,2,3
2,4,10,degree,2,3
3,0,10,degree,2,3
4,0,10,degree,2,3
5,0,10,degree,2,3
0,12,10,degree,2,1
1,0,10,degree,2,1
2,0,10,degree,2,1
3,0,10,degree,2,1
4,0,10,degree,2,1
5,0,10,degree,2,1
0,2,10,pooled,2,6
1,2,10,pooled,2,6
2,2,10,pooled,2,6
3,2,10,pooled,2,6
4,2,10,pooled,2,6
5,2,10,pooled,2,6
0,2,10,pooled,2,3
1,2,10,pooled,2,3
2,2,10,pooled,2,3
3,2,10,pooled,2,3
4,2,10,pooled,2,3
5,2,10,pooled,2,3
0,2,10,pooled,2,1
1,2,10,pooled,2,1
2,2,10,pooled,2,1
3,2,10,pooled,2,1
4,2,10,pooled,2,1
5,2,10,pooled,2,1
0,2,10,equal,6,6
1,2,10,equal,6,6
2,2,10,equal,6,6
3,2,10,equal,6,6
4,2,10,equal,6,6
5,2,10,equal,6,6
0,2,10,equal,6,3
1,2,10,equal,6,3
2,2,10,equal,6,3
3,2,10,equal,6,3
4,2,10,equal,6,3
5,2,10,equal,6,3
0,2,10,equal,6,1
1,2,10,equal,6,1
2,2,10,equal,6,1
3,2,10,equal,6,1
4,2,10,equal,6,1
5,2,10,equal,6,1
0,2,10,degree,6,6
1,2,10,degree,6,6
2,2,10,degree,6,6
3,2,10,degree,6,6
4,2,10,degree,6,6
5,2,10,degree,6,6
0,4,10,degree,6,3
1,4,10,degree,6,3
2,4,10,degree,6,3
3,0,10,degree,6,3
4,0,10,degree,6,3
5,0,10,degree,6,3
0,12,10,degree,6,1
1,0,10,degree,6,1
2,0,10,degree,6,1
3,0,10,degree,6,1
4,0,10,degree,6,1
5,0,10,degree,6,1
0,2,10,pooled,6,6
1,2,10,pooled,6,6
2,2,10,pooled,6,6
3,2,10,pooled,6,6
4,2,10,pooled,6,6
5,2,10,pooled,6,6
0,2,10,pooled,6,3
1,2,10,pooled,6,3
2,2,10,pooled,6,3
3,2,10,pooled,6,3
4,2,10,pooled,6,3
5,2,10,pooled,6,3
0,2,10,pooled,6,1
1,2,10,pooled,6,1
2,2,10,pooled,6,1
3,2,10,pooled,6,1
4,2,10,pooled,6,1
5,2,10,pooled,6,1
0,2,10,equal,12,6
1,2,10,equal,12,6
2,2,10,equal,12,6
3,2,10,equal,12,6
4,2,10,equal,12,6
5,2,10,equal,12,6
0,2,10,equal,12,3
1,2,10,equal,12,3
2,2,10,equal,12,3
3,2,10,equal,12,3
4,2,10,equal,12,3
5,2,10,equal,12,3
0,2,10,equal,12,1
1,2,10,equal,12,1
2,2,10,equal,12,1
3,2,10,equal,12,1
4,2,10,equal,12,1
5,2,10,equal,12,1
0,2,10,degree,12,6
1,2,10,degree,12,6
2,2,10,degree,12,6
3,2,10,degree,12,6
4,2,10,degree,12,6
5,2,10,degree,12,6
0,4,10,degree,12,3
1,4,10,degree,12,3
2,4,10,degree,12,3
3,0,10,degree,12,3
4,0,10,degree,12,3
5,0,10,degree,12,3
0,12,10,degree,12,1
1,0,10,degree,12,1
2,0,10,degree,12,1
3,0,10,degree,12,1
4,0,10,degree,12,1
5,0,10,degree,12,1
0,2,10,pooled,12,6
1,2,10,pooled,12,6
2,2,10,pooled,12,6
3,2,10,pooled,12,6
4,2,10,pooled,12,6
5,2,10,pooled,12,6
0,2,10,pooled,12,3
1,2,10,pooled,12,3
2,2,10,pooled,12,3
3,2,10,pooled,12,3
4,2,10,pooled,12,3
5,2,10,pooled,12,3
0,2,10,pooled,12,1
1,2,10,pooled,12,1
2,2,10,pooled,12,1
3,2,10,pooled,12,1
4,2,10,pooled,12,1
5,2,10,pooled,12,1
0,2,11,equal,2,6
1,2,11,equal,2,6
2,2,11,equal,2,6
3,2,11,equal,2,6
4,2,11,equal,2,6
5,2,11,equal,2,6
0,2,11,equal,2,3
1,2,11,equal,2,3
2,2,11,equal,2,3
3,2,11,equal,2,3
4,2,11,equal,2,3
5,2,11,equal,2,3
0,2,11,equal,2,1
1,2,11,equal,2,1
2,2,11,equal,2,1
3,2,11,equal,2,1
4,2,11,equal,2,1
5,2,11,equal,2,1
0,2,11,degree,2,6
1,2,11,degree,2,6
2,2,11,degree,2,6
3,2,11,degree,2,6
4,2,11,degree,2,6
5,2,11,degree,2,6
0,4,11,degree,2,3
1,4,11,degree,2,3
2,4,11,degree,2,3
3,0,11,degree,2,3
4,0,11,degree,2,3
5,0,11,degree,2,3
0,12,11,degree,2,1
1,0,11,degree,2,1
2,0,11,degree,2,1
3,0,11,degree,2,1
4,0,11,degree,2,1
5,0,11,degree,2,1
0,2,11,pooled,2,6
1,2,11,pooled,2,6
2,2,11,pooled,2,6
3,2,11,pooled,2,6
4,2,11,pooled,2,6
5,2,11,pooled,2,6
0,2,11,pooled,2,3
1,2,11,pooled,2,3
2,2,11,pooled,2,3
3,2,11,pooled,2,3
4,2,11,pooled,2,3
5,2,11,pooled,2,3
0,2,11,pooled,2,1
1,2,11,pooled,2,1
2,2,11,pooled,2,1
3,2,11,pooled,2,1
4,2,11,pooled,2,1
5,2,11,pooled,2,1
0,2,11,equal,6,6
1,2,11,equal,6,6
2,2,11,equal,6,6
3,2,11,equal,6,6
4,2,11,equal,6,6
5,2,11,equal,6,6
0,2,11,equal,6,3
1,2,11,equal,6,3
2,2,11,equal,6,3
3,2,11,equal,6,3
4,2,11,equal,6,3
5,2,11,equal,6,3
0,2,11,equal,6,1
1,2,11,equal,6,1
2,2,11,equal,6,1
3,2,11,equal,6,1
4,2,11,equal,6,1
5,2,11,equal,6,1
0,2,11,degree,6,6
1,2,11,degree,6,6
2,2,11,degree,6,6
3,2,11,degree,6,6
4,2,11,degree,6,6
5,2,11,degree,6,6
0,4,11,degree,6,3
1,4,11,degree,6,3
2,4,11,degree,6,3
3,0,11,degree,6,3
4,0,11,degree,6,3
5,0,11,degree,6,3
0,12,11,degree,6,1
1,0,11,degree,6,1
2,0,11,degree,6,1
3,0,11,degree,6,1
4,0,11,degree,6,1
5,0,11,degree,6,1
0,2,11,pooled,6,6
1,2,11,pooled,6,6
2,2,11,pooled,6,6
3,2,11,pooled,6,6
4,2,11,pooled,6,6
5,2,11,pooled,6,6
0,2,11,pooled,6,3
1,2,11,pooled,6,3
2,2,11,pooled,6,3
3,2,11,pooled,6,3
4,2,11,pooled,6,3
5,2,11,pooled,6,3
0,2,11,pooled,6,1
1,2,11,pooled,6,1
2,2,11,pooled,6,1
3,2,11,pooled,6,1
4,2,11,pooled,6,1
5,2,11,pooled,6,1
0,2,11,equal,12,6
1,2,11,equal,12,6
2,2,11,equal,12,6
3,2,11,equal,12,6
4,2,11,equal,12,6
5,2,11,equal,12,6
0,2,11,equal,12,3
1,2,11,equal,12,3
2,2,11,equal,12,3
3,2,11,equal,12,3
4,2,11,equal,12,3
5,2,11,equal,12,3
0,2,11,equal,12,1
1,2,11,equal,12,1
2,2,11,equal,12,1
3,2,11,equal,12,1
4,2,11,equal,12,1
5,2,11,equal,12,1
0,2,11,degree,12,6
1,2,11,degree,12,6
2,2,11,degree,12,6
3,2,11,degree,12,6
4,2,11,degree,12,6
5,2,11,degree,12,6
0,4,11,degree,12,3
1,4,11,degree,12,3
2,4,11,degree,12,3
3,0,11,degree,12,3
4,0,11,degree,12,3
5,0,11,degree,12,3
0,12,11,degree,12,1
1,0,11,degree,12,1
2,0,11,degree,12,1
3,0,11,degree,12,1
4,0,11,degree,12,1
5,0,11,degree,12,1
0,2,11,pooled,12,6
1,2,11,pooled,12,6
2,2,11,pooled,12,6
3,2,11,pooled,12,6
4,2,11,pooled,12,6
5,2,11,pooled,12,6
0,2,11,pooled,12,3
1,2,11,pooled,12,3
2,2,11,pooled,12,3
3,2,11,pooled,12,3
4,2,11,pooled,12,3
5,2,11,pooled,12,3
0,2,11,pooled,12,1
1,2,11,pooled,12,1
2,2,11,pooled,12,1
3,2,11,pooled,12,1
4,2,11,pooled,12,1
5,2,11,pooled,12,1
0,2,12,equal,2,6
1,2,12,equal,2,6
2,2,12,equal,2,6
3,2,12,equal,2,6
4,2,12,equal,2,6
5,2,12,equal,2,6
0,2,12,equal,2,3
1,2,12,equal,2,3
2,2,12,equal,2,3
3,2,12,equal,2,3
4,2,12,equal,2,3
5,2,12,equal,2,3
0,2,12,equal,2,1
1,2,12,equal,2,1
2,2,12,equal,2,1
3,2,12,equal,2,1
4,2,12,equal,2,1
5,2,12,equal,2,1
0,2,12,degree,2,6
1,2,12,degree,2,6
2,2,12,degree,2,6
3,2,12,degree,2,6
4,2,12,degree,2,6
5,2,12,degree,2,6
0,4,12,degree,2,3
1,4,12,degree,2,3
2,4,12,degree,2,3
3,0,12,degree,2,3
4,0,12,degree,2,3
5,0,12,degree,2,3
0,12,12,degree,2,1
1,0,12,degree,2,1
2,0,12,degree,2,1
3,0,12,degree,2,1
4,0,12,degree,2,1
5,0,12,degree,2,1
0,2,12,pooled,2,6
1,2,12,pooled,2,6
2,2,12,pooled,2,6
3,2,12,pooled,2,6
4,2,12,pooled,2,6
5,2,12,pooled,2,6
0,2,12,pooled,2,3
1,2,12,pooled,2,3
2,2,12,pooled,2,3
3,2,12,pooled,2,3
4,2,12,pooled,2,3
5,2,12,pooled,2,3
0,2,12,pooled,2,1
1,2,12,pooled,2,1
2,2,12,pooled,2,1
3,2,12,pooled,2,1
4,2,12,pooled,2,1
5,2,12,pooled,2,1
0,2,12,equal,6,6
1,2,12,equal,6,6
2,2,12,equal,6,6
3,2,12,equal,6,6
4,2,12,equal,6,6
5,2,12,equal,6,6
0,2,12,equal,6,3
1,2,12,equal,6,3
2,2,12,equal,6,3
3,2,12,equal,6,3
4,2,12,equal,6,3
5,2,12,equal,6,3
0,2,12,equal,6,1
1,2,12,equal,6,1
2,2,12,equal,6,1
3,2,12,equal,6,1
4,2,12,equal,6,1
5,2,12,equal,6,1
0,2,12,degree,6,6
1,2,12,degree,6,6
2,2,12,degree,6,6
3,2,12,degree,6,6
4,2,12,degree,6,6
5,2,12,degree,6,6
0,4,12,degree,6,3
1,4,12,degree,6,3
2,4,12,degree,6,3
3,0,12,degree,6,3
4,0,12,degree,6,3
5,0,12,degree,6,3
0,12,12,degree,6,1
1,0,12,degree,6,1
2,0,12,degree,6,1
3,0,12,degree,6,1
4,0,12,degree,6,1
5,0,12,degree,6,1
0,2,12,pooled,6,6
1,2,12,pooled,6,6
2,2,12,pooled,6,6
3,2,12,pooled,6,6
4,2,12,pooled,6,6
5,2,12,pooled,6,6
0,2,12,pooled,6,3
1,2,12,pooled,6,3
2,2,12,pooled,6,3
3,2,12,pooled,6,3
4,2,12,pooled,6,3
5,2,12,pooled,6,3
0,2,12,pooled,6,1
1,2,12,pooled,6,1
2,2,12,pooled,6,1
3,2,12,pooled,6,1
4,2,12,pooled,6,1
5,2,12,pooled,6,1
0,2,12,equal,12,6
1,2,12,equal,12,6
2,2,12,equal,12,6
3,2,12,equal,12,6
4,2,12,equal,12,6
5,2,12,equal,12,6
0,2,12,equal,12,3
1,2,12,equal,12,3
2,2,12,equal,12,3
3,2,12,equal,12,3
4,2,12,equal,12,3
5,2,12,equal,12,3
0,2,12,equal,12,1
1,2,12,equal,12,1
2,2,12,equal,12,1
3,2,12,equal,12,1
4,2,12,equal,12,1
5,2,12,equal,12,1
0,2,12,degree,12,6
1,2,12,degree,12,6
2,2,12,degree,12,6
3,2,12,degree,12,6
4,2,12,degree,12,6
5,2,12,degree,12,6
0,4,12,degree,12,3
1,4,12,degree,12,3
2,4,12,degree,12,3
3,0,12,degree,12,3
4,0,12,degree,12,3
5,0,12,degree,12,3
0,12,12,degree,12,1
1,0,12,degree,12,1
2,0,12,degree,12,1
3,0,12,degree,12,1
4,0,12,degree,12,1
5,0,12,degree,12,1
