policy,domestic_capacity,active_customers,domestic_use,customer_use,resolved_share,d_to_e_all,e_to_d_all,d_eligible_rounds,e_eligible_rounds
degree,2,1,0.9806711734105665,0.7403154234711087,0.48837730067406354,0.5264498447383447,0.07840653828363287,1150.9,4.95
degree,2,3,0.9833206286657683,0.7397739339931891,0.489616168233811,0.525908355260425,0.08105599353883466,1148.4,6.65
degree,2,6,0.9821242581485683,0.7382596229772572,0.48571298438768296,0.5243940442444931,0.0798596230216346,1159.55,9.4
degree,6,1,0.9806711734105665,0.6676039191103091,0.49634222860245114,0.45373834037754507,0.07840653828363287,398.35,4.95
degree,6,3,0.9821156344729692,0.6662239920106476,0.4905260394917742,0.45235841327788345,0.0798509993460356,397.45,6.45
degree,6,6,0.9808478353843407,0.666085650995459,0.4920261262204737,0.4522200722626949,0.07858320025740698,397.85,9.35
degree,12,1,0.9779843121047793,0.6330965853421529,0.5103605763745683,0.4192310066093888,0.07571967697784573,177.95,4.95
degree,12,3,0.9813368842376973,0.6345019667656409,0.5053628350035584,0.42063638803287684,0.07907224911076362,177.25,6.75
degree,12,6,0.9787492093726712,0.6341889303814996,0.5016634618283436,0.4203233516487355,0.07648457424573749,178.0,10.7
equal,2,1,0.9918077686068469,0.7654943077964056,0.4835282934742251,0.5516287290636416,0.08954313347991325,1255.0,381.5
equal,2,3,0.9887712923720571,0.7324569655362551,0.48849958358122336,0.5185913868034909,0.08650665724512334,1164.7,28.0
equal,2,6,0.9821242581485683,0.7382596229772572,0.48571298438768296,0.5243940442444931,0.0798596230216346,1159.55,9.4
equal,6,1,0.9924487942478726,0.691859611984978,0.4926105519178724,0.47799403325221396,0.09018415912093888,408.9,314.1
equal,6,3,0.9874948696078294,0.6687448732527377,0.5046375423245819,0.4548792945199736,0.0852302344808957,397.35,27.6
equal,6,6,0.9808478353843407,0.666085650995459,0.4920261262204737,0.4522200722626949,0.07858320025740698,397.85,9.35
equal,12,1,0.9918152964599033,0.6478151355829944,0.49907571138192636,0.43394955685023034,0.08955066133296954,177.7,329.05
equal,12,3,0.9868996315125914,0.6402904434832546,0.5065824444451065,0.4264248647504906,0.08463499638565761,177.65,38.95
equal,12,6,0.9787492093726712,0.6341889303814996,0.5016634618283436,0.4203233516487355,0.07648457424573749,178.0,10.7
pooled,2,1,0.9806711734105665,0.7403154234711087,0.48837730067406354,0.5264498447383447,0.07840653828363287,1150.9,4.95
pooled,2,3,0.9806711734105665,0.7403154234711087,0.48837730067406354,0.5264498447383447,0.07840653828363287,1150.9,4.95
pooled,2,6,0.9806711734105665,0.7403154234711087,0.48837730067406354,0.5264498447383447,0.07840653828363287,1150.9,4.95
pooled,6,1,0.9806711734105665,0.6676039191103091,0.49634222860245114,0.45373834037754507,0.07840653828363287,398.35,4.95
pooled,6,3,0.9806711734105665,0.6676039191103091,0.49634222860245114,0.45373834037754507,0.07840653828363287,398.35,4.95
pooled,6,6,0.9806711734105665,0.6676039191103091,0.49634222860245114,0.45373834037754507,0.07840653828363287,398.35,4.95
pooled,12,1,0.9779843121047793,0.6330965853421529,0.5103605763745683,0.4192310066093888,0.07571967697784573,177.95,4.95
pooled,12,3,0.9779843121047793,0.6330965853421529,0.5103605763745683,0.4192310066093888,0.07571967697784573,177.95,4.95
pooled,12,6,0.9779843121047793,0.6330965853421529,0.5103605763745683,0.4192310066093888,0.07571967697784573,177.95,4.95
