variant,grouping,metric,contrast,n,mean,low,high
limited_access,halves,domestic_use,middle_minus_low,2,-0.07384910485933505,-0.2065217391304348,0.05882352941176472
limited_access,halves,domestic_use,middle_minus_high,2,-0.11473429951690817,-0.17391304347826086,-0.05555555555555547
limited_access,halves,domestic_use,middle_minus_endpoint_average,2,-0.0942917021881216,-0.19021739130434784,0.0016339869281046249
limited_access,halves,customer_use,middle_minus_low,2,-0.07161125319693093,-0.2608695652173913,0.11764705882352944
limited_access,halves,customer_use,middle_minus_high,2,-0.0798948564933219,-0.15652173913043477,-0.0032679738562090277
limited_access,halves,customer_use,middle_minus_endpoint_average,2,-0.07575305484512641,-0.20869565217391303,0.057189542483660205
limited_access,halves,resolved,middle_minus_low,2,0.20147058823529407,0.04999999999999993,0.3529411764705882
limited_access,halves,resolved,middle_minus_high,2,0.05996021597044618,-0.04347826086956513,0.1633986928104575
limited_access,halves,resolved,middle_minus_endpoint_average,2,0.13071540210287014,0.0032608695652174002,0.25816993464052285
limited_access,halves,customer_success,middle_minus_low,2,0.27222222222222225,0.14444444444444451,0.4
limited_access,halves,customer_success,middle_minus_high,2,0.22939144189144198,0.07976190476190492,0.37902097902097903
limited_access,halves,customer_success,middle_minus_endpoint_average,2,0.25080683205683213,0.11210317460317472,0.3895104895104895
limited_access,halves,first_customer,middle_minus_low,2,-0.134846547314578,-0.21086956521739125,-0.058823529411764774
limited_access,halves,first_customer,middle_minus_high,2,0.0941389599317988,0.08043478260869569,0.10784313725490191
limited_access,halves,first_customer,middle_minus_endpoint_average,2,-0.020353793691389607,-0.06521739130434778,0.024509803921568568
limited_access,halves,both_use,middle_minus_low,2,-0.1575447570332481,-0.37391304347826093,0.05882352941176472
limited_access,halves,both_use,middle_minus_high,2,-0.1946291560102302,-0.33043478260869574,-0.05882352941176466
limited_access,halves,both_use,middle_minus_endpoint_average,2,-0.17608695652173917,-0.35217391304347834,2.7755575615628914e-17
limited_access,halves,d_to_e,middle_minus_low,2,0.06323529411764706,-0.04999999999999999,0.1764705882352941
limited_access,halves,d_to_e,middle_minus_high,2,-0.15229468599033816,-0.1934782608695652,-0.1111111111111111
limited_access,halves,d_to_e,middle_minus_endpoint_average,2,-0.04452969593634555,-0.1217391304347826,0.0326797385620915
limited_access,halves,firm_equal_resolved,middle_minus_low,2,0.22175925925925927,0.0851851851851852,0.35833333333333334
limited_access,halves,firm_equal_resolved,middle_minus_high,2,0.04437830687830682,-0.06203703703703711,0.15079365079365076
limited_access,halves,firm_equal_resolved,middle_minus_endpoint_average,2,0.13306878306878306,0.011574074074074042,0.25456349206349205
limited_access,tails,domestic_use,middle_minus_low,2,-0.09999999999999998,-0.19999999999999996,0.0
limited_access,tails,domestic_use,middle_minus_high,2,-0.10833333333333334,-0.1333333333333333,-0.08333333333333337
limited_access,tails,domestic_use,middle_minus_endpoint_average,2,-0.10416666666666666,-0.16666666666666663,-0.041666666666666685
limited_access,tails,customer_use,middle_minus_low,2,-0.0222222222222222,-0.2666666666666666,0.2222222222222222
limited_access,tails,customer_use,middle_minus_high,2,-0.025000000000000022,-0.1333333333333333,0.08333333333333326
limited_access,tails,customer_use,middle_minus_endpoint_average,2,-0.02361111111111111,-0.19999999999999996,0.15277777777777773
limited_access,tails,resolved,middle_minus_low,2,0.16666666666666666,0.0,0.3333333333333333
limited_access,tails,resolved,middle_minus_high,2,0.06944444444444442,0.0,0.13888888888888884
limited_access,tails,resolved,middle_minus_endpoint_average,2,0.11805555555555554,0.0,0.23611111111111108
limited_access,tails,customer_success,middle_minus_low,2,0.35952380952380947,0.1523809523809523,0.5666666666666667
limited_access,tails,customer_success,middle_minus_high,2,0.17792207792207784,0.09220779220779207,0.2636363636363636
limited_access,tails,customer_success,middle_minus_endpoint_average,2,0.2687229437229437,0.12229437229437219,0.41515151515151516
limited_access,tails,first_customer,middle_minus_low,2,-0.06666666666666668,-0.13333333333333336,0.0
limited_access,tails,first_customer,middle_minus_high,2,0.06944444444444445,0.0,0.1388888888888889
limited_access,tails,first_customer,middle_minus_endpoint_average,2,0.001388888888888884,-0.06666666666666668,0.06944444444444445
limited_access,tails,both_use,middle_minus_low,2,-0.11111111111111116,-0.3333333333333334,0.1111111111111111
limited_access,tails,both_use,middle_minus_high,2,-0.13333333333333336,-0.2666666666666667,0.0
limited_access,tails,both_use,middle_minus_endpoint_average,2,-0.12222222222222226,-0.30000000000000004,0.055555555555555525
limited_access,tails,d_to_e,middle_minus_low,2,0.0444444444444444,-0.13333333333333341,0.2222222222222222
limited_access,tails,d_to_e,middle_minus_high,2,-0.09444444444444451,-0.13333333333333341,-0.05555555555555561
limited_access,tails,d_to_e,middle_minus_endpoint_average,2,-0.025000000000000057,-0.13333333333333341,0.0833333333333333
limited_access,tails,firm_equal_resolved,middle_minus_low,2,0.18888888888888888,0.02777777777777779,0.35
limited_access,tails,firm_equal_resolved,middle_minus_high,2,0.07490079365079362,0.006944444444444364,0.14285714285714288
limited_access,tails,firm_equal_resolved,middle_minus_endpoint_average,2,0.13189484126984125,0.017361111111111077,0.24642857142857144
main,halves,domestic_use,middle_minus_low,2,-0.0021099744245524077,-0.06304347826086953,0.05882352941176472
main,halves,domestic_use,middle_minus_high,2,-0.007537652742256373,-0.08043478260869563,0.06535947712418289
main,halves,domestic_use,middle_minus_endpoint_average,2,-0.0048238135834043905,-0.07173913043478258,0.0620915032679738
main,halves,customer_use,middle_minus_low,2,-0.13550724637681158,-0.16666666666666663,-0.10434782608695653
main,halves,customer_use,middle_minus_high,2,-0.06582836032963901,-0.06956521739130428,-0.06209150326797375
main,halves,customer_use,middle_minus_endpoint_average,2,-0.1006678033532253,-0.11437908496732019,-0.0869565217391304
main,halves,resolved,middle_minus_low,2,0.30866013071895426,0.15000000000000002,0.46732026143790856
main,halves,resolved,middle_minus_high,2,-0.00048309178743960457,-0.05652173913043479,0.05555555555555558
main,halves,resolved,middle_minus_endpoint_average,2,0.15408851946575736,0.046739130434782616,0.2614379084967321
main,halves,customer_success,middle_minus_low,2,0.2606635194870489,0.1382101558572147,0.3831168831168831
main,halves,customer_success,middle_minus_high,2,0.041332197214550156,-0.03891402714932127,0.12157842157842158
main,halves,customer_success,middle_minus_endpoint_average,2,0.1509978583507995,0.04964806435394671,0.25234765234765233
main,halves,first_customer,middle_minus_low,2,-0.12796248934356352,-0.2254901960784314,-0.030434782608695643
main,halves,first_customer,middle_minus_high,2,0.09528985507246379,0.023913043478260954,0.16666666666666663
main,halves,first_customer,middle_minus_endpoint_average,2,-0.016336317135549866,-0.029411764705882387,-0.0032608695652173447
main,halves,both_use,middle_minus_low,2,-0.09251207729468594,-0.11111111111111105,-0.07391304347826083
main,halves,both_use,middle_minus_high,2,-0.07614379084967321,-0.10000000000000003,-0.052287581699346386
main,halves,both_use,middle_minus_endpoint_average,2,-0.08432793407217958,-0.08695652173913043,-0.08169934640522872
main,halves,d_to_e,middle_minus_low,2,-0.007544757033248084,-0.07391304347826086,0.05882352941176469
main,halves,d_to_e,middle_minus_high,2,-0.1828573458368855,-0.22875816993464063,-0.13695652173913037
