firm,has_customer,dependence,variant,dependence_mean,seed,high
5,True,0.703094452380903,narrow,0.7,0,True
0,True,0.885212825099295,narrow,0.9,0,False
1,True,0.9497457708918003,narrow,0.9,0,True
2,True,0.9500000000000001,narrow,0.9,0,True
3,True,0.8538009160137442,narrow,0.9,0,False
4,True,0.8581460356142575,narrow,0.9,0,False
5,True,0.903094452380903,narrow,0.9,0,True
0,True,0.07042565019858993,limited_access,0.1,0,False
1,True,0.19949154178360073,limited_access,0.1,0,True
2,True,0.2,limited_access,0.1,0,True
3,True,0.007601832027488251,limited_access,0.1,0,False
4,True,0.016292071228515073,limited_access,0.1,0,False
5,True,0.10618890476180604,limited_access,0.1,0,True
0,True,0.2704256501985899,limited_access,0.3,0,False
1,True,0.39949154178360075,limited_access,0.3,0,True
2,True,0.4,limited_access,0.3,0,True
3,True,0.20760183202748822,limited_access,0.3,0,False
4,True,0.21629207122851507,limited_access,0.3,0,False
5,True,0.30618890476180605,limited_access,0.3,0,True
0,True,0.47042565019858995,limited_access,0.5,0,False
1,True,0.5994915417836008,limited_access,0.5,0,True
2,True,0.6,limited_access,0.5,0,True
3,True,0.40760183202748823,limited_access,0.5,0,False
4,True,0.4162920712285151,limited_access,0.5,0,False
5,True,0.506188904761806,limited_access,0.5,0,True
0,True,0.6704256501985899,limited_access,0.7,0,False
1,True,0.7994915417836007,limited_access,0.7,0,True
2,True,0.7999999999999999,limited_access,0.7,0,True
3,True,0.6076018320274882,limited_access,0.7,0,False
4,True,0.616292071228515,limited_access,0.7,0,False
5,True,0.706188904761806,limited_access,0.7,0,True
0,True,0.87042565019859,limited_access,0.9,0,False
1,True,0.9994915417836008,limited_access,0.9,0,True
2,True,1.0,limited_access,0.9,0,True
3,True,0.8076018320274883,limited_access,0.9,0,False
4,True,0.8162920712285151,limited_access,0.9,0,False
5,True,0.906188904761806,limited_access,0.9,0,True
0,True,0.05424244495930611,main,0.1,1,False
1,True,0.1719954997806675,main,0.1,1,True
2,True,0.0,main,0.1,1,False
3,True,0.19447567077440317,main,0.1,1,True
4,True,0.03745081141156205,main,0.1,1,False
5,True,0.14183557307406122,main,0.1,1,True
0,True,0.2542424449593061,main,0.3,1,False
1,True,0.3719954997806675,main,0.3,1,True
2,True,0.19999999999999998,main,0.3,1,False
3,True,0.39447567077440315,main,0.3,1,True
4,True,0.23745081141156205,main,0.3,1,False
5,True,0.3418355730740612,main,0.3,1,True
0,True,0.4542424449593061,main,0.5,1,False
1,True,0.5719954997806675,main,0.5,1,True
2,True,0.4,main,0.5,1,False
3,True,0.5944756707744032,main,0.5,1,True
4,True,0.43745081141156206,main,0.5,1,False
5,True,0.5418355730740612,main,0.5,1,True
0,True,0.6542424449593061,main,0.7,1,False
1,True,0.7719954997806675,main,0.7,1,True
2,True,0.6,main,0.7,1,False
3,True,0.7944756707744032,main,0.7,1,True
4,True,0.637450811411562,main,0.7,1,False
5,True,0.7418355730740611,main,0.7,1,True
0,True,0.8542424449593061,main,0.9,1,False
1,True,0.9719954997806675,main,0.9,1,True
2,True,0.8,main,0.9,1,False
3,True,0.9944756707744031,main,0.9,1,True
4,True,0.8374508114115621,main,0.9,1,False
5,True,0.9418355730740613,main,0.9,1,True
0,True,0.05424244495930611,no_perceived,0.1,1,False
1,True,0.1719954997806675,no_perceived,0.1,1,True
2,True,0.0,no_perceived,0.1,1,False
3,True,0.19447567077440317,no_perceived,0.1,1,True
4,True,0.03745081141156205,no_perceived,0.1,1,False
5,True,0.14183557307406122,no_perceived,0.1,1,True
0,True,0.2542424449593061,no_perceived,0.3,1,False
1,True,0.3719954997806675,no_perceived,0.3,1,True
2,True,0.19999999999999998,no_perceived,0.3,1,False
3,True,0.39447567077440315,no_perceived,0.3,1,True
4,True,0.23745081141156205,no_perceived,0.3,1,False
5,True,0.3418355730740612,no_perceived,0.3,1,True
0,True,0.4542424449593061,no_perceived,0.5,1,False
1,True,0.5719954997806675,no_perceived,0.5,1,True
2,True,0.4,no_perceived,0.5,1,False
3,True,0.5944756707744032,no_perceived,0.5,1,True
4,True,0.43745081141156206,no_perceived,0.5,1,False
5,True,0.5418355730740612,no_perceived,0.5,1,True
0,True,0.6542424449593061,no_perceived,0.7,1,False
1,True,0.7719954997806675,no_perceived,0.7,1,True
2,True,0.6,no_perceived,0.7,1,False
3,True,0.7944756707744032,no_perceived,0.7,1,True
4,True,0.637450811411562,no_perceived,0.7,1,False
5,True,0.7418355730740611,no_perceived,0.7,1,True
0,True,0.8542424449593061,no_perceived,0.9,1,False
1,True,0.9719954997806675,no_perceived,0.9,1,True
2,True,0.8,no_perceived,0.9,1,False
3,True,0.9944756707744031,no_perceived,0.9,1,True
4,True,0.8374508114115621,no_perceived,0.9,1,False
5,True,0.9418355730740613,no_perceived,0.9,1,True
0,True,0.05424244495930611,no_objective,0.1,1,False
1,True,0.1719954997806675,no_objective,0.1,1,True
2,True,0.0,no_objective,0.1,1,False
3,True,0.19447567077440317,no_objective,0.1,1,True
4,True,0.03745081141156205,no_objective,0.1,1,False
5,True,0.14183557307406122,no_objective,0.1,1,True
0,True,0.2542424449593061,no_objective,0.3,1,False
1,True,0.3719954997806675,no_objective,0.3,1,True
2,True,0.19999999999999998,no_objective,0.3,1,False
