variant,dependence_mean,seed,period,grouping,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved
limited_access,0.1,0,early,halves,0.05476190476190479,0.07380952380952382,0.07619047619047609,0.1616161616161616,0.08095238095238089,0.1285714285714285,-0.007142857142857201,0.059523809523809534
limited_access,0.1,0,early,tails,0.2142857142857143,0.04395604395604402,0.1758241758241758,0.0,0.027472527472527486,0.2582417582417583,0.016483516483516508,0.17261904761904773
limited_access,0.1,0,late,halves,0.0304347826086957,0.10869565217391303,0.11521739130434794,-0.0111111111111111,0.17608695652173917,0.09565217391304354,-0.023913043478260815,0.09232804232804231
limited_access,0.1,0,late,tails,0.06666666666666665,0.06666666666666665,0.1333333333333333,-0.023809523809523808,0.06666666666666671,0.06666666666666671,0.0,0.1259920634920635
limited_access,0.1,1,early,halves,0.00454545454545463,0.3,0.11363636363636359,0.0,0.21818181818181817,0.30454545454545445,0.03636363636363629,0.10515873015873012
limited_access,0.1,1,early,tails,0.004761904761904634,0.18095238095238098,0.05238095238095242,0.0,0.19047619047619052,0.18571428571428583,-0.00952380952380949,0.03869047619047619
limited_access,0.1,1,late,halves,-0.24183006535947704,0.0326797385620915,-0.2712418300653595,0.0,0.19607843137254904,-0.1470588235294118,-0.16339869281045752,-0.2757936507936508
limited_access,0.1,1,late,tails,-0.16666666666666674,-0.38888888888888895,-0.1388888888888889,0.0,-0.16666666666666669,-0.5277777777777778,-0.2222222222222222,-0.1428571428571428
limited_access,0.3,0,early,halves,0.05476190476190479,0.023809523809523836,0.02857142857142847,0.08181818181818179,0.030952380952380898,0.07857142857142851,-0.007142857142857201,0.017857142857142794
limited_access,0.3,0,early,tails,0.2142857142857143,-0.027472527472527486,0.1758241758241758,0.013888888888888895,-0.04395604395604391,0.18681318681318693,0.016483516483516508,0.17261904761904773
limited_access,0.3,0,late,halves,-0.03260869565217395,-0.021739130434782594,0.14565217391304353,-0.0666666666666666,0.13913043478260873,-0.09130434782608698,-0.1608695652173913,0.13597883597883603
limited_access,0.3,0,late,tails,0.06666666666666665,-0.06666666666666665,0.06666666666666665,-0.1071428571428572,0.06666666666666671,-0.06666666666666671,-0.13333333333333341,0.06646825396825401
limited_access,0.3,1,early,halves,0.10454545454545461,0.2863636363636364,-0.03636363636363643,-0.2857142857142857,0.11363636363636359,0.39090909090909093,0.1272727272727272,-0.04761904761904767
limited_access,0.3,1,early,tails,0.14761904761904754,0.09999999999999998,-0.16190476190476188,-0.2857142857142857,-0.02380952380952378,0.24761904761904763,0.12380952380952381,-0.19047619047619052
limited_access,0.3,1,late,halves,-0.18627450980392157,0.09150326797385622,-0.2679738562091503,-0.009090909090909108,0.19607843137254904,-0.1470588235294118,-0.10457516339869281,-0.24801587301587308
limited_access,0.3,1,late,tails,-0.08333333333333337,-0.38888888888888895,-0.02777777777777779,0.15,-0.2777777777777778,-0.5277777777777778,-0.1111111111111111,-0.017857142857142794
limited_access,0.5,0,early,halves,0.10476190476190472,-0.1261904761904762,0.02857142857142847,0.027972027972027996,-0.06904761904761914,-0.02142857142857152,-0.05714285714285722,0.003968253968253954
limited_access,0.5,0,early,tails,0.2857142857142857,-0.17032967032967028,0.1758241758241758,-0.056818181818181795,-0.18681318681318682,0.11538461538461542,0.016483516483516508,0.1517857142857143
limited_access,0.5,0,late,halves,-0.1760869565217391,-0.15217391304347827,0.16521739130434787,0.13333333333333341,-0.034782608695652084,-0.2782608695652174,-0.0739130434782608,0.1775132275132275
