scenario,population,metric,comparison,n,mean,low,high
base,all,domestic_use,early_level,20,0.7918487719229313,0.7654481112335446,0.815630099703434
base,all,domestic_use,late_level,20,0.8050592591116462,0.7818282999718541,0.8297455505122519
base,all,domestic_use,late_minus_early,20,0.0132104871887148,-0.0254990378381314,0.0537887244144795
base,all,customer_use,early_level,20,0.508635529149507,0.4646208094360947,0.5519084059965577
base,all,customer_use,late_level,20,0.4908901987161701,0.45117319176528,0.5289613066187531
base,all,customer_use,late_minus_early,20,-0.0177453304333371,-0.0493160815092372,0.0184778964760598
base,all,customer_minus_domestic,early_level,20,-0.2832132427734242,-0.3461977971797063,-0.2206882025653615
base,all,customer_minus_domestic,late_level,20,-0.3141690603954762,-0.3669906375968345,-0.2602190103481888
base,all,customer_minus_domestic,late_minus_early,20,-0.0309558176220519,-0.0942754402687643,0.0334246320870688
base,both_reachable,domestic_use,early_level,20,0.7541346928035789,0.7242429700602201,0.783351388981754
base,both_reachable,domestic_use,late_level,20,0.7678342813107407,0.7312442361809145,0.8035259673219161
base,both_reachable,domestic_use,late_minus_early,20,0.0136995885071617,-0.0410146253100646,0.0711026342911669
base,both_reachable,customer_use,early_level,20,0.7041259033512208,0.6714634590272377,0.7349869585230611
base,both_reachable,customer_use,late_level,20,0.6802083004288837,0.6435287409590799,0.7148969366802341
base,both_reachable,customer_use,late_minus_early,20,-0.0239176029223371,-0.0649945334558587,0.0181781561787681
base,both_reachable,customer_minus_domestic,early_level,20,-0.0500087894523581,-0.0981604847252983,0.0004471373802567
base,both_reachable,customer_minus_domestic,late_level,20,-0.0876259808818569,-0.1515931533059148,-0.0253301176002219
base,both_reachable,customer_minus_domestic,late_minus_early,20,-0.0376171914294988,-0.1163267486671662,0.0459125678568386
base,all,domestic_use,trend_base_minus_no_social,20,0.0284062450057066,-0.0141478554719973,0.0728652883291006
base,all,customer_use,trend_base_minus_no_social,20,-0.0016985293368492,-0.0308940320128218,0.0267276873924505
base,all,customer_minus_domestic,trend_base_minus_no_social,20,-0.0301047743425558,-0.0924149119647795,0.0315074781679169
base,both_reachable,domestic_use,trend_base_minus_no_social,20,0.0328948353128363,-0.0228161829158717,0.0927900008991576
base,both_reachable,customer_use,trend_base_minus_no_social,20,-0.0003243965877724,-0.0406265212581952,0.0393770181375094
base,both_reachable,customer_minus_domestic,trend_base_minus_no_social,20,-0.0332192319006088,-0.1151060573097927,0.047762782192976
