time,mean_belief_d,mean_belief_e,arriving_belief_d,arriving_belief_e,scenario,seed
0,0.49432223875416587,0.48020459955799005,0.49642848992237115,0.4862533664144058,base,0
1,0.49432223875416587,0.48020459955799005,,,base,0
2,0.49432223875416587,0.48020459955799005,,,base,0
3,0.49432223875416587,0.47412369896782186,,,base,0
4,0.4875962360496188,0.4739439483912786,,,base,0
5,0.4675045033534647,0.45828012074070995,,,base,0
6,0.4639473514048665,0.45797000001429544,0.3868161467013016,0.4874904880031175,base,0
7,0.47433146443364615,0.45254058318126034,,,base,0
8,0.4690642434514086,0.43718747407731084,,,base,0
9,0.4690642434514086,0.43663119421669105,,,base,0
10,0.454929002170338,0.43175651950590016,,,base,0
11,0.4610432577463374,0.4269477041303085,,,base,0
12,0.4593283906751387,0.4041467836269718,0.45756774397483635,0.3593129347572672,base,0
13,0.4593283906751387,0.40181688421749334,,,base,0
14,0.4593283906751387,0.40670190272985257,,,base,0
15,0.44563188332733056,0.404671576144386,,,base,0
16,0.4555293150971844,0.3999597005894365,,,base,0
17,0.46496590954380024,0.39517004547985995,,,base,0
18,0.4734743142510089,0.4008716465674275,0.4667831107390881,0.4136311309218916,base,0
19,0.4879142762952858,0.4008716465674275,,,base,0
20,0.4818431296205395,0.4008716465674275,,,base,0
21,0.4788732387064692,0.4042615214908904,,,base,0
22,0.47373672512590076,0.39676454625001856,,,base,0
23,0.49179247056788455,0.4079229117802893,,,base,0
24,0.4922669586356052,0.40301736674579774,0.462873251732191,0.3969990004624699,base,0
25,0.5028929564439415,0.4144451406376034,,,base,0
26,0.5030898850672872,0.4190679580118216,,,base,0
27,0.4976824936663463,0.41549732724182104,,,base,0
28,0.5137407438462678,0.4191560009089449,,,base,0
29,0.4992218344572809,0.4092018967978114,,,base,0
30,0.4929718301724567,0.4242499092467445,0.4931631933416344,0.45504978590237316,base,0
31,0.4929718301724567,0.44163132425711626,,,base,0
32,0.4993725924886421,0.437751246617484,,,base,0
33,0.49183811450655823,0.4400118601369879,,,base,0
34,0.48710075127942426,0.4456849121025101,,,base,0
35,0.48070229698987277,0.44228249631714234,,,base,0
36,0.4698779277614656,0.4201503930549375,0.45410285648649246,0.5059638209482987,base,0
37,0.4575317283786523,0.4201503930549375,,,base,0
38,0.4576169443427849,0.4201503930549375,,,base,0
39,0.46395604857641976,0.4069702660186742,,,base,0
40,0.47041495789586896,0.4106788837388956,,,base,0
41,0.4671147233205346,0.4044499163509689,,,base,0
42,0.4615318580173779,0.38982143273726444,0.43188153317348943,0.3678276637414898,base,0
43,0.456252399438429,0.38594490256322067,,,base,0
44,0.4600209354460864,0.39601338226747346,,,base,0
45,0.459102617435067,0.3971569985247674,,,base,0
46,0.45359307970651297,0.403472067621065,,,base,0
47,0.45891918566412465,0.4198437589693493,,,base,0
48,0.45784710808168755,0.41890577377549715,,,base,0
49,0.46160989255232643,0.4143014274737784,,,base,0
50,0.45886283013939055,0.4143014274737784,,,base,0
51,0.47505903338795635,0.4240474685011049,,,base,0
52,0.466114262916568,0.4240474685011049,,,base,0
53,0.4652985315396844,0.4318051986931563,,,base,0
54,0.471077266866822,0.44988032886448154,,,base,0
55,0.471077266866822,0.44988032886448154,,,base,0
56,0.4788076353800887,0.44988032886448154,,,base,0
57,0.47931390892651593,0.46376812202998624,,,base,0
58,0.482226078521413,0.46735181861509645,,,base,0
59,0.482226078521413,0.4749992284125517,,,base,0
60,0.49827928822676765,0.49294478630376043,,,base,0
61,0.4831606499051164,0.4942116766019396,,,base,0
62,0.48651563163431244,0.48788073056692394,,,base,0
63,0.48570877387058575,0.49367950454870774,,,base,0
64,0.4854461122660662,0.4865188170757911,,,base,0
65,0.4854461122660662,0.48370147396794394,,,base,0
0,0.49432223875416587,0.48020459955799005,0.49642848992237115,0.4862533664144058,no_social,0
1,0.49432223875416587,0.48020459955799005,,,no_social,0
2,0.49432223875416587,0.48020459955799005,,,no_social,0
3,0.49432223875416587,0.48020459955799005,,,no_social,0
4,0.49432223875416587,0.48020459955799005,,,no_social,0
