scenario,seed,population,period,cases,domestic_use,customer_use,first_d,first_e,first_both,no_submission,d_to_e,e_to_d,resolved,customer_minus_domestic
base,0,all,early,41,0.8536585365853658,0.5853658536585366,0.5853658536585366,0.4146341463414634,0.0,0.0,0.17073170731707316,0.26829268292682923,0.4146341463414634,-0.26829268292682923
base,0,all,late,43,0.7441860465116279,0.5813953488372093,0.5348837209302325,0.4186046511627907,0.023255813953488372,0.023255813953488372,0.1395348837209302,0.18604651162790695,0.5116279069767442,-0.1627906976744186
base,0,both_reachable,early,34,0.8235294117647058,0.7058823529411765,0.5,0.5,0.0,0.0,0.20588235294117646,0.32352941176470584,0.41176470588235287,-0.11764705882352941
base,0,both_reachable,late,36,0.7222222222222222,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777766,0.0,0.16666666666666663,0.2222222222222222,0.5555555555555556,-0.027777777777777776
base,1,all,early,42,0.8809523809523809,0.5476190476190477,0.6428571428571429,0.35714285714285715,0.0,0.0,0.19047619047619047,0.23809523809523808,0.40476190476190477,-0.3333333333333333
base,1,all,late,35,0.8,0.6285714285714286,0.5714285714285714,0.4,0.0,0.02857142857142854,0.22857142857142856,0.22857142857142856,0.42857142857142855,-0.17142857142857137
base,1,both_reachable,early,32,0.84375,0.71875,0.53125,0.46875,0.0,0.0,0.24999999999999997,0.31249999999999994,0.40625,-0.125
base,1,both_reachable,late,27,0.7407407407407407,0.8148148148148148,0.4444444444444444,0.5185185185185185,0.0,0.03703703703703702,0.2962962962962963,0.2962962962962962,0.4074074074074074,0.07407407407407404
base,2,all,early,42,0.6904761904761905,0.5,0.5476190476190477,0.3571428571428571,0.0,0.0952380952380952,0.1428571428571428,0.1428571428571428,0.35714285714285704,-0.19047619047619044
base,2,all,late,35,0.9142857142857143,0.45714285714285713,0.6285714285714286,0.3428571428571428,0.0,0.02857142857142857,0.11428571428571425,0.2857142857142857,0.4857142857142857,-0.4571428571428571
base,2,both_reachable,early,32,0.65625,0.65625,0.46875,0.46875,0.0,0.06249999999999995,0.18749999999999992,0.18749999999999992,0.40625,4.163336342344337e-17
base,2,both_reachable,late,29,0.9310344827586207,0.5517241379310345,0.5862068965517241,0.41379310344827586,0.0,0.0,0.1379310344827586,0.3448275862068966,0.4482758620689655,-0.3793103448275862
base,3,all,early,32,0.6875,0.6875,0.40625,0.53125,0.0,0.0625,0.15625,0.28125,0.375,0.0
base,3,all,late,32,0.71875,0.59375,0.53125,0.40625,0.0,0.06249999999999996,0.18749999999999997,0.18749999999999997,0.25,-0.12500000000000006
base,3,both_reachable,early,25,0.68,0.88,0.32,0.68,0.0,0.0,0.19999999999999993,0.36,0.44,0.19999999999999993
base,3,both_reachable,late,27,0.7037037037037037,0.7037037037037037,0.48148148148148145,0.48148148148148145,0.0,0.037037037037037035,0.2222222222222222,0.2222222222222222,0.2222222222222222,-3.289549702593056e-17
base,4,all,early,36,0.8333333333333334,0.4722222222222222,0.6666666666666666,0.25,0.0,0.08333333333333331,0.22222222222222218,0.1666666666666666,0.22222222222222218,-0.36111111111111105
base,4,all,late,43,0.7906976744186046,0.4186046511627907,0.6511627906976745,0.32558139534883723,0.0,0.02325581395348836,0.09302325581395343,0.13953488372093018,0.5348837209302325,-0.3720930232558139
base,4,both_reachable,early,22,0.8181818181818182,0.7727272727272727,0.5454545454545454,0.4090909090909091,0.0,0.045454545454545435,0.36363636363636354,0.2727272727272727,0.2727272727272727,-0.045454545454545435
base,4,both_reachable,late,23,0.6521739130434783,0.782608695652174,0.391304347826087,0.6086956521739131,0.0,0.0,0.17391304347826084,0.2608695652173913,0.6086956521739131,0.13043478260869565
base,5,all,early,41,0.8048780487804879,0.5121951219512195,0.5853658536585366,0.36585365853658536,0.0,0.04878048780487804,0.1463414634146341,0.21951219512195116,0.3170731707317073,-0.2926829268292683
base,5,all,late,36,0.7777777777777778,0.5277777777777778,0.5277777777777778,0.4444444444444444,0.0,0.027777777777777776,0.08333333333333333,0.25,0.4722222222222222,-0.2499999999999999
base,5,both_reachable,early,30,0.7666666666666667,0.7,0.4666666666666667,0.5,0.0,0.0333333333333333,0.2,0.3,0.4,-0.06666666666666664
base,5,both_reachable,late,26,0.7307692307692307,0.7307692307692307,0.38461538461538464,0.6153846153846154,0.0,0.0,0.11538461538461534,0.34615384615384615,0.5,-4.2700885562506023e-17
base,6,all,early,30,0.7666666666666667,0.5666666666666667,0.5333333333333333,0.36666666666666664,0.0,0.09999999999999995,0.19999999999999993,0.2333333333333333,0.3333333333333333,-0.20000000000000004
base,6,all,late,40,0.8,0.5,0.6,0.4,0.0,0.0,0.1,0.2,0.575,-0.29999999999999993
base,6,both_reachable,early,23,0.782608695652174,0.7391304347826086,0.4782608695652174,0.4782608695652174,0.0,0.04347826086956521,0.2608695652173913,0.30434782608695654,0.30434782608695643,-0.04347826086956521
base,6,both_reachable,late,31,0.7419354838709677,0.6451612903225806,0.4838709677419355,0.5161290322580645,0.0,0.0,0.1290322580645161,0.2580645161290322,0.6451612903225806,-0.0967741935483871
base,7,all,early,41,0.8780487804878049,0.3658536585365853,0.7073170731707317,0.26829268292682923,0.0,0.024390243902438994,0.09756097560975606,0.1707317073170731,0.4146341463414634,-0.5121951219512195
base,7,all,late,43,0.8372093023255814,0.3720930232558139,0.7441860465116279,0.2325581395348837,0.0,0.023255813953488365,0.1395348837209302,0.09302325581395346,0.3488372093023256,-0.46511627906976744
base,7,both_reachable,early,26,0.8461538461538461,0.5769230769230769,0.5769230769230769,0.4230769230769231,0.0,0.0,0.1538461538461538,0.2692307692307692,0.38461538461538464,-0.26923076923076916
base,7,both_reachable,late,25,0.76,0.64,0.6,0.4,0.0,0.0,0.23999999999999996,0.15999999999999998,0.32,-0.11999999999999997
base,8,all,early,39,0.7435897435897436,0.4102564102564102,0.6153846153846154,0.358974358974359,0.0,0.025641025641025633,0.051282051282051246,0.12820512820512817,0.38461538461538464,-0.3333333333333333
base,8,all,late,43,0.8604651162790697,0.3720930232558139,0.7209302325581395,0.2093023255813953,0.04651162790697674,0.023255813953488372,0.11627906976744182,0.09302325581395347,0.20930232558139536,-0.4883720930232558
base,8,both_reachable,early,23,0.6086956521739131,0.6956521739130435,0.391304347826087,0.6086956521739131,0.0,0.0,0.08695652173913042,0.21739130434782608,0.5652173913043478,0.08695652173913042
base,8,both_reachable,late,22,0.7727272727272727,0.7272727272727273,0.5,0.4090909090909091,0.09090909090909088,0.0,0.22727272727272724,0.18181818181818177,0.2727272727272727,-0.045454545454545414
base,9,all,early,38,0.8157894736842105,0.47368421052631576,0.631578947368421,0.2631578947368421,0.05263157894736839,0.05263157894736839,0.15789473684210525,0.13157894736842105,0.3157894736842105,-0.34210526315789475
base,9,all,late,35,0.8,0.5428571428571428,0.6571428571428571,0.22857142857142856,0.05714285714285714,0.057142857142857106,0.2571428571428571,0.08571428571428567,0.4,-0.2571428571428571
base,9,both_reachable,early,26,0.7692307692307693,0.6923076923076923,0.5,0.38461538461538464,0.0769230769230769,0.03846153846153845,0.23076923076923073,0.19230769230769232,0.3076923076923077,-0.0769230769230769
base,9,both_reachable,late,24,0.7916666666666666,0.7916666666666666,0.5833333333333334,0.3333333333333333,0.0833333333333333,0.0,0.375,0.12499999999999999,0.4583333333333333,0.0
base,10,all,early,37,0.8648648648648649,0.35135135135135137,0.7567567567567568,0.2432432432432432,0.0,0.0,0.10810810810810807,0.1081081081081081,0.4864864864864865,-0.5135135135135135
base,10,all,late,45,0.7555555555555555,0.37777777777777777,0.6,0.3111111111111111,0.0,0.08888888888888886,0.06666666666666665,0.1555555555555555,0.3111111111111111,-0.37777777777777777
base,10,both_reachable,early,22,0.7727272727272727,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.0,0.0,0.18181818181818177,0.1818181818181818,0.5454545454545454,-0.18181818181818182
base,10,both_reachable,late,30,0.7666666666666667,0.5666666666666667,0.5333333333333333,0.4666666666666667,0.0,0.0,0.09999999999999996,0.23333333333333334,0.36666666666666664,-0.19999999999999998
base,11,all,early,31,0.8387096774193549,0.4516129032258064,0.7096774193548387,0.2580645161290322,0.0,0.03225806451612902,0.1935483870967741,0.12903225806451607,0.4516129032258064,-0.3870967741935483
base,11,all,late,36,0.7222222222222222,0.4166666666666667,0.6666666666666666,0.2777777777777778,0.0,0.05555555555555555,0.1388888888888889,0.05555555555555555,0.3055555555555556,-0.3055555555555555
base,11,both_reachable,early,18,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.4444444444444444,0.0,0.0,0.3333333333333333,0.2222222222222222,0.5555555555555556,-1.850371707708594e-17
base,11,both_reachable,late,20,0.55,0.75,0.45,0.5,0.0,0.05,0.25,0.09999999999999995,0.35,0.2
base,12,all,early,34,0.7941176470588235,0.4411764705882353,0.6470588235294118,0.2647058823529412,0.02941176470588232,0.058823529411764705,0.14705882352941177,0.11764705882352941,0.3235294117647059,-0.35294117647058826
base,12,all,late,39,0.7948717948717948,0.5641025641025641,0.5897435897435898,0.3333333333333333,0.025641025641025633,0.051282051282051246,0.2051282051282051,0.17948717948717943,0.41025641025641024,-0.23076923076923064
base,12,both_reachable,early,24,0.75,0.625,0.5416666666666666,0.375,0.04166666666666665,0.041666666666666664,0.2083333333333333,0.16666666666666663,0.375,-0.12499999999999999
base,12,both_reachable,late,30,0.8,0.7333333333333333,0.5333333333333333,0.43333333333333335,0.03333333333333333,0.0,0.26666666666666666,0.23333333333333328,0.43333333333333335,-0.06666666666666668
base,13,all,early,40,0.75,0.55,0.575,0.4,0.0,0.02499999999999997,0.14999999999999994,0.175,0.475,-0.19999999999999996
base,13,all,late,43,0.8837209302325582,0.4883720930232558,0.7674418604651163,0.20930232558139536,0.0,0.023255813953488344,0.2790697674418604,0.11627906976744184,0.3255813953488372,-0.3953488372093023
base,13,both_reachable,early,29,0.6551724137931034,0.7586206896551724,0.41379310344827586,0.5517241379310345,0.0,0.034482758620689655,0.20689655172413793,0.2413793103448276,0.5517241379310345,0.10344827586206894
base,13,both_reachable,late,30,0.8666666666666667,0.7,0.7,0.3,0.0,0.0,0.4,0.1666666666666666,0.43333333333333335,-0.16666666666666669
base,14,all,early,32,0.75,0.625,0.53125,0.46875,0.0,0.0,0.15624999999999994,0.21875,0.40625,-0.12500000000000006
base,14,all,late,38,0.8157894736842105,0.5,0.6842105263157895,0.3157894736842105,0.0,0.0,0.18421052631578946,0.13157894736842105,0.2631578947368421,-0.3157894736842105
base,14,both_reachable,early,26,0.6923076923076923,0.7692307692307693,0.4230769230769231,0.5769230769230769,0.0,0.0,0.19230769230769224,0.26923076923076916,0.3461538461538461,0.07692307692307684
base,14,both_reachable,late,32,0.78125,0.59375,0.625,0.375,0.0,0.0,0.21874999999999994,0.15624999999999997,0.24999999999999994,-0.18749999999999994
base,15,all,early,36,0.7777777777777778,0.4722222222222222,0.5833333333333334,0.33333333333333326,0.027777777777777776,0.055555555555555546,0.11111111111111109,0.16666666666666663,0.3888888888888889,-0.3055555555555556
base,15,all,late,40,0.725,0.625,0.5,0.4,0.02499999999999996,0.07499999999999996,0.19999999999999998,0.19999999999999996,0.3,-0.09999999999999991
base,15,both_reachable,early,27,0.7407407407407407,0.6296296296296297,0.48148148148148145,0.4444444444444444,0.03703703703703702,0.03703703703703699,0.1481481481481481,0.2222222222222222,0.48148148148148145,-0.1111111111111111
base,15,both_reachable,late,32,0.71875,0.78125,0.4375,0.5,0.031249999999999965,0.031249999999999965,0.24999999999999994,0.25,0.375,0.06249999999999995
base,16,all,early,29,0.8275862068965517,0.3793103448275862,0.6896551724137931,0.2068965517241379,0.03448275862068964,0.06896551724137931,0.1379310344827586,0.10344827586206894,0.5172413793103449,-0.4482758620689655
base,16,all,late,42,0.8571428571428571,0.35714285714285704,0.6190476190476191,0.30952380952380953,0.0,0.0714285714285714,0.047619047619047596,0.23809523809523805,0.3333333333333333,-0.5
base,16,both_reachable,early,16,0.75,0.6875,0.5,0.375,0.0625,0.0625,0.25,0.1875,0.625,-0.0625
base,16,both_reachable,late,26,0.8846153846153846,0.5769230769230769,0.5,0.5,0.0,0.0,0.07692307692307687,0.38461538461538464,0.34615384615384615,-0.3076923076923077
base,17,all,early,41,0.8048780487804879,0.4146341463414634,0.6585365853658537,0.19512195121951215,0.0,0.1463414634146341,0.21951219512195116,0.1463414634146341,0.36585365853658536,-0.3902439024390244
base,17,all,late,33,0.7878787878787878,0.36363636363636365,0.6363636363636364,0.1818181818181818,0.06060606060606061,0.12121212121212122,0.1212121212121212,0.09090909090909091,0.30303030303030304,-0.42424242424242425
base,17,both_reachable,early,26,0.8846153846153846,0.6538461538461539,0.6538461538461539,0.3076923076923076,0.0,0.03846153846153844,0.34615384615384615,0.23076923076923073,0.34615384615384615,-0.2307692307692307
base,17,both_reachable,late,20,0.75,0.6,0.5,0.3,0.1,0.1,0.2,0.15,0.4,-0.15
base,18,all,early,46,0.717391304347826,0.717391304347826,0.45652173913043476,0.5,0.0217391304347826,0.0217391304347826,0.1956521739130434,0.23913043478260865,0.5,-9.895466089050308e-17
base,18,all,late,41,0.8292682926829268,0.5853658536585366,0.6829268292682927,0.31707317073170727,0.0,0.0,0.2682926829268293,0.1463414634146341,0.3658536585365853,-0.2439024390243902
base,18,both_reachable,early,42,0.7142857142857143,0.7857142857142857,0.42857142857142855,0.5476190476190477,0.02380952380952378,0.0,0.21428571428571427,0.2619047619047619,0.5238095238095238,0.07142857142857142
base,18,both_reachable,late,37,0.8108108108108109,0.6486486486486487,0.6486486486486487,0.35135135135135137,0.0,0.0,0.2972972972972973,0.16216216216216217,0.3783783783783784,-0.16216216216216206
base,19,all,early,37,0.7567567567567568,0.6486486486486487,0.6216216216216216,0.2972972972972973,0.027027027027027025,0.05405405405405406,0.32432432432432434,0.10810810810810811,0.40540540540540543,-0.10810810810810799
base,19,all,late,44,0.8863636363636364,0.5454545454545454,0.75,0.22727272727272724,0.02272727272727272,0.0,0.29545454545454547,0.11363636363636359,0.4772727272727272,-0.340909090909091
base,19,both_reachable,early,36,0.75,0.6666666666666666,0.6111111111111112,0.3055555555555556,0.027777777777777776,0.05555555555555555,0.3333333333333333,0.1111111111111111,0.3888888888888889,-0.08333333333333329
base,19,both_reachable,late,42,0.8809523809523809,0.5714285714285714,0.7380952380952381,0.23809523809523805,0.0238095238095238,0.0,0.30952380952380953,0.119047619047619,0.47619047619047616,-0.30952380952380953
cost_high,0,all,early,41,0.7560975609756098,0.4634146341463415,0.6097560975609756,0.34146341463414637,0.0,0.048780487804878044,0.12195121951219512,0.14634146341463414,0.43902439024390244,-0.2926829268292683
cost_high,0,all,late,43,0.6511627906976745,0.5581395348837209,0.4883720930232558,0.4418604651162791,0.0,0.0697674418604651,0.11627906976744186,0.1627906976744186,0.4883720930232558,-0.09302325581395351
