axis,level,mode,period,population,metric,mean,low,high,n
implementation,0,disabled,late,both_reachable,customer_use,0.6639651883041096,0.6274180658692629,0.6988416784693442,20
implementation,0,disabled,late,both_reachable,first_d,0.5333447149434539,0.4895551787354118,0.578949344939567,20
implementation,0,disabled,late,both_reachable,first_e,0.43581619366705154,0.39485724022500124,0.47541039908356897,20
implementation,0,disabled,late,both_reachable,first_both,0.010101010101010093,0.0,0.02235795454545449,20
implementation,0,disabled,late,both_reachable,neither,0.0207380812884845,0.008508157568238209,0.034988657551006316,20
implementation,0,disabled,late,both_reachable,d_to_e,0.21804798453604796,0.1844328037481594,0.25499662546906365,20
implementation,0,disabled,late,both_reachable,e_to_d,0.21192100945718187,0.17889480252571988,0.244506096546758,20
implementation,0,disabled,late,both_reachable,both_use,0.44007000409424,0.40609326117610695,0.4764830094988843,20
implementation,0,disabled,late,both_reachable,resolved,0.4387813150570895,0.3966975253251654,0.4861133363161793,20
implementation,0,disabled,late,both_reachable,unresolved,0.5612186849429105,0.5138866636838206,0.6033024746748346,20
implementation,0,disabled,late,both_reachable,customer_route_success,0.25797875810475895,0.2175261184872059,0.3015039547911165,20
implementation,0,disabled,late,both_reachable,customer_only_resolution,0.25797875810475895,0.2175261184872059,0.3015039547911165,20
implementation,0,disabled,late,both_reachable,joint_resolution,0.0,0.0,0.0,20
implementation,0,disabled,late,both_reachable,customer_user_any_resolution,0.37618974751006073,0.33240192956108866,0.4212702207629874,20
implementation,0,disabled,late,both_reachable,customer_unresolved,0.623810252489939,0.5787297792370124,0.6675980704389112,20
implementation,0,disabled,late,both_reachable,material_at_review,0.017036315433614453,0.00172413793103448,0.03542436212234436,20
implementation,0,disabled,late,both_reachable,standardized_no_material_score,0.24595964778199558,0.2404183522140024,0.25190140679329587,20
implementation,0,disabled,late,both_reachable,mechanical_material_increment,0.0,0.0,0.0,20
implementation,0,disabled,late,both_reachable,mean_customer_merit,0.5976907644394762,0.5755131624978472,0.6213986348254898,20
implementation,0,disabled,late,both_reachable,mean_customer_dependence,0.49915159288029926,0.4917500256904919,0.507401500344812,20
implementation,0,full,early,all,domestic_use,0.7969582973532645,0.7686866521259937,0.8237735993812406,20
implementation,0,full,early,all,customer_use,0.5164868100789809,0.47416421802449354,0.5626975461393171,20
implementation,0,full,early,all,first_d,0.602712781475496,0.5653232494771891,0.6373237707810433,20
implementation,0,full,early,all,first_e,0.3387289948843227,0.29859604393007927,0.38203591234287027,20
implementation,0,full,early,all,first_both,0.00833771240199217,0.00294117647058823,0.01404598712326957,20
implementation,0,full,early,all,neither,0.05022051123818916,0.03477774310369523,0.06695832431637938,20
implementation,0,full,early,all,d_to_e,0.1694201027926661,0.14529332192695385,0.19661527595973588,20
implementation,0,full,early,all,e_to_d,0.1859078034757764,0.15839610909874563,0.2175497182089867,20
implementation,0,full,early,all,both_use,0.3636656186704347,0.3303067558972728,0.39886566375446925,20
implementation,0,full,early,all,resolved,0.40181129440062274,0.36171263071747084,0.43804885005631106,20
implementation,0,full,early,all,unresolved,0.5981887055993772,0.561951149943689,0.6382873692825293,20
implementation,0,full,early,all,customer_route_success,0.24716740754272717,0.1969453428835302,0.2972699295660292,20
implementation,0,full,early,all,customer_only_resolution,0.24716740754272717,0.1969453428835302,0.2972699295660292,20
implementation,0,full,early,all,joint_resolution,0.0,0.0,0.0,20
implementation,0,full,early,all,customer_user_any_resolution,0.3890563268785775,0.3327771244367312,0.44651954948646116,20
implementation,0,full,early,all,customer_unresolved,0.6109436731214226,0.5534804505135387,0.6672228755632688,20
implementation,0,full,early,all,material_at_review,0.021434873949579818,0.00808333333333333,0.037085416666666635,20
implementation,0,full,early,all,standardized_no_material_score,0.24702665925802866,0.24010246492025725,0.25325885656753355,20
implementation,0,full,early,all,mechanical_material_increment,0.003246149916852445,0.001281949406198515,0.005608129503179861,20
implementation,0,full,early,all,mean_customer_merit,0.602036567777868,0.5727432062017948,0.6292135458590826,20
implementation,0,full,early,all,mean_customer_dependence,0.500019663673881,0.49446939302216564,0.5055267623510457,20
implementation,0,full,early,both_reachable,domestic_use,0.7645254838764354,0.7273203212082976,0.8034339427881428,20
implementation,0,full,early,both_reachable,customer_use,0.7159819178090024,0.6879341395016547,0.7447650142984502,20
implementation,0,full,early,both_reachable,first_d,0.49510894622757434,0.4574823485046452,0.5320351311862627,20
implementation,0,full,early,both_reachable,first_e,0.46863465548192484,0.42522756071808976,0.5137480795449699,20
implementation,0,full,early,both_reachable,first_both,0.011562627187627177,0.00423115079365079,0.01995697878510376,20
implementation,0,full,early,both_reachable,neither,0.02469377110287351,0.012452576138950998,0.03756836890219872,20
implementation,0,full,early,both_reachable,d_to_e,0.2357846351394503,0.20273002009425822,0.269308259211572,20
implementation,0,full,early,both_reachable,e_to_d,0.25785391046123357,0.22386824702447067,0.29505041749908895,20
implementation,0,full,early,both_reachable,both_use,0.5052011727883111,0.469228285499642,0.5409760990548509,20
implementation,0,full,early,both_reachable,resolved,0.4341119966852891,0.38626353889071546,0.4771332816806655,20
implementation,0,full,early,both_reachable,unresolved,0.5658880033147109,0.5228667183193345,0.6137364611092844,20
implementation,0,full,early,both_reachable,customer_route_success,0.24716740754272717,0.1969453428835302,0.2972699295660292,20
implementation,0,full,early,both_reachable,customer_only_resolution,0.24716740754272717,0.1969453428835302,0.2972699295660292,20
implementation,0,full,early,both_reachable,joint_resolution,0.0,0.0,0.0,20
implementation,0,full,early,both_reachable,customer_user_any_resolution,0.3890563268785775,0.3327771244367312,0.44651954948646116,20
implementation,0,full,early,both_reachable,customer_unresolved,0.6109436731214226,0.5534804505135387,0.6672228755632688,20
implementation,0,full,early,both_reachable,material_at_review,0.021434873949579818,0.00808333333333333,0.037085416666666635,20
implementation,0,full,early,both_reachable,standardized_no_material_score,0.24702665925802866,0.24010246492025725,0.25325885656753355,20
implementation,0,full,early,both_reachable,mechanical_material_increment,0.003246149916852445,0.001281949406198515,0.005608129503179861,20
implementation,0,full,early,both_reachable,mean_customer_merit,0.602036567777868,0.5727432062017948,0.6292135458590826,20
