metric,mean,low,high
resolved,-0.002426900584795319,-0.007026383788929691,0.0023255813953488415
customer_use,-0.0002922077922077909,-0.0042857142857142955,0.003409090909090923
customer_route_success,-0.0005771663504111422,-0.012959236326109399,0.012632417440660449
material_at_review,0.0014516129032258046,0.0,0.004354838709677414
