block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
population_double,customer_only,14,44,0,0,0,0,0,0,122,0,48,74,0,0,0,0,0,0,0,25,99,147,0,0,99,0,99,0,0.673469387755102,1.0,0.0,0.0,1.0,0.0,0.32653061224489793,,,0.25252525252525254,0.25252525252525254,0.41414141414141414,0.0,0.5763488320346609,0.5090522188146561,0.8299319727891157,0.7474747474747475,0.7474747474747475,4.6,5.0,5605,387,0.0,0.673469387755102,0.0,0.673469387755102,0.0,0.32653061224489793,0,0,0.0,0.0,,0.0,0.0,0.17006802721088435
population_double,both,14,44,0,0,0,0,0,0,77,0,0,77,0,0,0,0,0,0,0,70,147,147,0,0,147,142,76,71,0.5170068027210885,0.5170068027210885,0.9659863945578231,0.8231292517006803,0.10884353741496598,0.06802721088435375,0.0,0.4132231404958678,5.18,0.27631578947368424,0.4473684210526316,0.5,0.0,0.5742612845268384,0.508395759168459,0.5238095238095238,0.5238095238095238,0.5526315789473685,5.585714285714285,5.5,3856,781,0.9659863945578231,0.5170068027210885,0.8231292517006803,0.10884353741496598,0.06802721088435375,0.0,50,11,0.3401360544217687,0.07482993197278912,0.4132231404958678,0.6875,0.48299319727891155,0.47619047619047616
population_double,domestic_only,15,44,0,0,0,0,0,0,84,0,0,84,0,0,0,0,0,0,0,58,142,142,0,0,142,142,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5915492957746479,0.5915492957746479,,5.603448275862069,6.0,4105,698,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.4084507042253521
population_double,customer_only,15,44,0,0,0,0,0,0,116,0,47,69,0,0,0,0,0,0,0,26,95,142,0,0,95,0,95,0,0.6690140845070423,1.0,0.0,0.0,1.0,0.0,0.33098591549295775,,,0.2736842105263158,0.2736842105263158,0.4631578947368421,0.0,0.5967684991258035,0.5090751751954113,0.8169014084507042,0.7263157894736842,0.7263157894736842,4.346153846153846,4.0,5337,366,0.0,0.6690140845070423,0.0,0.6690140845070423,0.0,0.33098591549295775,0,0,0.0,0.0,,0.0,0.0,0.18309859154929578
population_double,both,15,44,0,0,0,0,0,0,79,0,0,79,0,0,0,0,0,0,0,63,142,142,0,0,142,140,73,71,0.5140845070422535,0.5140845070422535,0.9859154929577465,0.7816901408450704,0.09859154929577464,0.11971830985915492,0.0,0.3783783783783784,5.238095238095238,0.1643835616438356,0.410958904109589,0.37681159420289856,0.0,0.6085208463936362,0.5117317941978435,0.5563380281690141,0.5563380281690141,0.589041095890411,5.301587301587301,5.0,3889,738,0.9859154929577465,0.5140845070422535,0.7816901408450704,0.09859154929577464,0.11971830985915492,0.0,42,12,0.29577464788732394,0.08450704225352113,0.3783783783783784,0.8571428571428571,0.5,0.44366197183098594
population_double,domestic_only,16,44,0,0,0,0,0,0,98,0,0,98,0,0,0,0,0,0,0,55,153,153,0,0,153,153,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6405228758169934,0.6405228758169934,,5.6909090909090905,6.0,4723,785,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.35947712418300654
population_double,customer_only,16,44,0,0,0,0,0,0,131,0,76,55,0,0,0,0,0,0,0,22,77,153,0,0,77,0,77,0,0.5032679738562091,1.0,0.0,0.0,1.0,0.0,0.49673202614379086,,,0.2857142857142857,0.2857142857142857,0.4935064935064935,0.0,0.5980974594843554,0.4754037134342702,0.8562091503267973,0.7142857142857143,0.7142857142857143,3.5454545454545454,3.0,5983,262,0.0,0.5032679738562091,0.0,0.5032679738562091,0.0,0.49673202614379086,0,0,0.0,0.0,,0.0,0.0,0.1437908496732026
population_double,both,16,44,0,0,0,0,0,0,91,0,0,91,0,0,0,0,0,0,0,62,153,153,0,0,153,148,58,53,0.3790849673202614,0.3790849673202614,0.9673202614379085,0.8431372549019608,0.0784313725490196,0.0784313725490196,0.0,0.26356589147286824,5.382352941176471,0.2413793103448276,0.3620689655172414,0.5178571428571429,0.0,0.6100407219297423,0.476826646114037,0.5947712418300654,0.5947712418300654,0.6379310344827587,5.467741935483871,6.0,4434,807,0.9673202614379085,0.3790849673202614,0.8431372549019608,0.0784313725490196,0.0784313725490196,0.0,34,7,0.2222222222222222,0.0457516339869281,0.26356589147286824,0.5833333333333334,0.3464052287581699,0.40522875816993464
population_double,domestic_only,17,44,0,0,0,0,0,0,97,0,0,97,0,0,0,0,0,0,0,56,153,153,0,0,153,153,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6339869281045751,0.6339869281045751,,5.767857142857143,6.0,4688,780,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3660130718954248
population_double,customer_only,17,44,0,0,0,0,0,0,140,0,74,66,0,0,0,0,0,0,0,13,79,153,0,0,79,0,79,0,0.5163398692810458,1.0,0.0,0.0,1.0,0.0,0.48366013071895425,,,0.16455696202531644,0.16455696202531644,0.35443037974683544,0.0,0.5594799981014755,0.5247881909183838,0.9150326797385621,0.8354430379746836,0.8354430379746836,3.923076923076923,4.0,6351,274,0.0,0.5163398692810458,0.0,0.5163398692810458,0.0,0.48366013071895425,0,0,0.0,0.0,,0.0,0.0,0.08496732026143791
