block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
base,both - domestic_only,domestic_use,20,-0.015534808635972435,0.017302334678798558,0.0038689196511245564,-0.023248848032319577,-0.008658301532923204
base,both - domestic_only,customer_use,20,0.4610690344884061,0.08746798455731215,0.019558435932505183,0.422971361664295,0.49773293764556903
base,both - domestic_only,resolved_share,20,0.0817826621104096,0.06107256900957324,0.013656241586595275,0.054202351168071275,0.1085091703327908
base,both - domestic_only,d_to_e_all,20,0.30377583153726617,0.0714090622712367,0.015967551744800076,0.2733838820116158,0.33577125223968457
base,both - domestic_only,e_to_d_all,20,0.058840848986731656,0.025600819022236352,0.005724517161339018,0.048659752575328924,0.07020920776311848
base,both - domestic_only,both_use,20,0.4455342258524337,0.08257631274795028,0.01846462486356993,0.40995565276690243,0.48114712838011453
base,both - customer_only,domestic_use,20,0.9844651913640277,0.017302334678798558,0.0038689196511245564,0.9767511519676806,0.991341698467077
base,both - customer_only,customer_use,20,-0.17744414270442938,0.05002958642412853,0.011186955613055202,-0.1981846710884202,-0.15622093732873613
base,both - customer_only,resolved_share,20,0.32446346924642333,0.0643054039651746,0.014379125458671493,0.29809794048327515,0.35340303950772095
base,both - customer_only,d_to_e_all,20,0.30377583153726617,0.0714090622712367,0.015967551744800076,0.2733838820116158,0.33577125223968457
base,both - customer_only,e_to_d_all,20,0.058840848986731656,0.025600819022236352,0.005724517161339018,0.048659752575328924,0.07020920776311848
base,both - customer_only,both_use,20,0.4455342258524337,0.08257631274795028,0.01846462486356993,0.40995565276690243,0.48114712838011453
no_escalation,both - domestic_only,domestic_use,20,-0.07437565762270407,0.030145475656538783,0.006740733278208582,-0.0871468654493819,-0.06183176759309728
no_escalation,both - domestic_only,customer_use,20,0.15729320295113994,0.030809684564145266,0.006889254905075479,0.14389818373045676,0.17003776558761644
no_escalation,both - domestic_only,resolved_share,20,-0.004044300465779807,0.05019575376057855,0.011224111759049433,-0.024760772469396397,0.017797120053672916
no_escalation,both - domestic_only,d_to_e_all,20,0.0,0.0,0.0,0.0,0.0
no_escalation,both - domestic_only,e_to_d_all,20,0.0,0.0,0.0,0.0,0.0
no_escalation,both - domestic_only,both_use,20,0.08291754532843586,0.03853501011841159,0.008616690213841052,0.0665157448662019,0.09969921544726724
no_escalation,both - customer_only,domestic_use,20,0.9256243423772957,0.030145475656538783,0.006740733278208582,0.912853134550618,0.9381682324069028
no_escalation,both - customer_only,customer_use,20,-0.4812199742416955,0.09646719386686545,0.021570720308496192,-0.5201239602776989,-0.4385883668347945
no_escalation,both - customer_only,resolved_share,20,0.23863650667023398,0.06245361749658534,0.013965053416313504,0.21225292526792836,0.2662186622994229
no_escalation,both - customer_only,d_to_e_all,20,0.0,0.0,0.0,0.0,0.0
no_escalation,both - customer_only,e_to_d_all,20,0.0,0.0,0.0,0.0,0.0
no_escalation,both - customer_only,both_use,20,0.08291754532843586,0.03853501011841159,0.008616690213841052,0.0665157448662019,0.09969921544726724
no_social,both - domestic_only,domestic_use,20,-0.016925814733533412,0.018152878983901485,0.004059107139533103,-0.025258602531686443,-0.009498484469102479
no_social,both - domestic_only,customer_use,20,0.43419759610769076,0.08577484985326228,0.019179839503173233,0.39805512607693605,0.4703763084420906
no_social,both - domestic_only,resolved_share,20,0.07932941029127305,0.0617641744578586,0.013810889266192805,0.052694366962900835,0.10647012770115945
no_social,both - domestic_only,d_to_e_all,20,0.2769043931565508,0.06955564578977778,0.015553115220484016,0.24801302450647794,0.30731213179182176
no_social,both - domestic_only,e_to_d_all,20,0.057449842889170676,0.026582649531840124,0.005944061137524747,0.04688554530211708,0.06936086003404661
no_social,both - domestic_only,both_use,20,0.4172717813741572,0.08387806393005445,0.01875570527686749,0.38088543851246753,0.4533472386241005
no_social,both - customer_only,domestic_use,20,0.9830741852664667,0.018152878983901485,0.004059107139533103,0.9747413974683137,0.9905015155308976
no_social,both - customer_only,customer_use,20,-0.16044878376311478,0.04442851102190849,0.009934517078408603,-0.17928943245371273,-0.14174416934418776
no_social,both - customer_only,resolved_share,20,0.3276610599891959,0.05425159431754744,0.012131025278177738,0.30569565648363023,0.3523352785935964
no_social,both - customer_only,d_to_e_all,20,0.2769043931565508,0.06955564578977778,0.015553115220484016,0.24801302450647794,0.30731213179182176
no_social,both - customer_only,e_to_d_all,20,0.057449842889170676,0.026582649531840124,0.005944061137524747,0.04688554530211708,0.06936086003404661
no_social,both - customer_only,both_use,20,0.4172717813741572,0.08387806393005445,0.01875570527686749,0.38088543851246753,0.4533472386241005
neither,both - domestic_only,domestic_use,20,-0.07437565762270407,0.030145475656538783,0.006740733278208582,-0.0871468654493819,-0.06183176759309728
neither,both - domestic_only,customer_use,20,0.15729320295113994,0.030809684564145266,0.006889254905075479,0.14389818373045676,0.17003776558761644
neither,both - domestic_only,resolved_share,20,-0.004044300465779807,0.05019575376057855,0.011224111759049433,-0.024760772469396397,0.017797120053672916
neither,both - domestic_only,d_to_e_all,20,0.0,0.0,0.0,0.0,0.0
neither,both - domestic_only,e_to_d_all,20,0.0,0.0,0.0,0.0,0.0
neither,both - domestic_only,both_use,20,0.08291754532843586,0.03853501011841159,0.008616690213841052,0.0665157448662019,0.09969921544726724
neither,both - customer_only,domestic_use,20,0.9256243423772957,0.030145475656538783,0.006740733278208582,0.912853134550618,0.9381682324069028
neither,both - customer_only,customer_use,20,-0.43735317691966547,0.08828871710896377,0.01974195731018917,-0.4734299549632965,-0.39884594402834833
neither,both - customer_only,resolved_share,20,0.24428734923214313,0.06344528668735971,0.014186797388489877,0.21836766612562386,0.2722390507920616
neither,both - customer_only,d_to_e_all,20,0.0,0.0,0.0,0.0,0.0
neither,both - customer_only,e_to_d_all,20,0.0,0.0,0.0,0.0,0.0
neither,both - customer_only,both_use,20,0.08291754532843586,0.03853501011841159,0.008616690213841052,0.0665157448662019,0.09969921544726724
network_ws,both - domestic_only,domestic_use,20,-0.013318801275976472,0.017220065421944458,0.0038505236860461407,-0.021072256489103477,-0.006836418197166226
network_ws,both - domestic_only,customer_use,20,0.46402311017961406,0.09364163717793633,0.02093890662542372,0.4236782939950839,0.5036754019433033
network_ws,both - domestic_only,resolved_share,20,0.085570012684164,0.06383345266163833,0.014273593938993818,0.057844591732988636,0.11385431524561067
network_ws,both - domestic_only,d_to_e_all,20,0.30672990722847404,0.07817973362969109,0.017481519885881563,0.27384035120779593,0.3403829229220775
network_ws,both - domestic_only,e_to_d_all,20,0.06105685634672762,0.02587022787839698,0.00578475881295058,0.050297962614211135,0.07189157683930472
network_ws,both - domestic_only,both_use,20,0.4507043089036375,0.09008798128065346,0.020144285009926967,0.4111947678042174,0.4897094091020354
network_ws,both - customer_only,domestic_use,20,0.9866811987240236,0.017220065421944455,0.00385052368604614,0.9789277435108967,0.9931635818028337
network_ws,both - customer_only,customer_use,20,-0.178590562809476,0.04869431960372329,0.01088838087520259,-0.19937266590294922,-0.1580492221954182
network_ws,both - customer_only,resolved_share,20,0.32266065258995025,0.05546665272250596,0.01240272059718971,0.2990685258736046,0.3480599409112771
network_ws,both - customer_only,d_to_e_all,20,0.30672990722847404,0.07817973362969109,0.017481519885881563,0.27384035120779593,0.3403829229220775
network_ws,both - customer_only,e_to_d_all,20,0.06105685634672762,0.02587022787839698,0.00578475881295058,0.050297962614211135,0.07189157683930472
network_ws,both - customer_only,both_use,20,0.4507043089036375,0.09008798128065346,0.020144285009926967,0.4111947678042174,0.4897094091020354
network_ba,both - domestic_only,domestic_use,20,-0.015534510385707323,0.01829057799086607,0.004089897573533806,-0.023921489080793622,-0.008384302817773562
network_ba,both - domestic_only,customer_use,20,0.46355617753119205,0.09346186070519344,0.020898707384042894,0.42230834675439965,0.5044569087523284
network_ba,both - domestic_only,resolved_share,20,0.08283154375283709,0.059357113850879405,0.013272654151876066,0.05634752101656499,0.10834625912397154
network_ba,both - domestic_only,d_to_e_all,20,0.30626297458005214,0.07620809177703293,0.017040647364898836,0.2744410118363425,0.3403818431509381
network_ba,both - domestic_only,e_to_d_all,20,0.05884114723699677,0.02683334907717337,0.00600011926005409,0.048071107703598556,0.07057691254555204
network_ba,both - domestic_only,both_use,20,0.44802166714548475,0.09068096431962416,0.020276880048391257,0.4079989416969599,0.4876053217840645
network_ba,both - customer_only,domestic_use,20,0.9844654896142927,0.018290577990866072,0.004089897573533806,0.9760785109192064,0.9916156971822265
network_ba,both - customer_only,customer_use,20,-0.17084671173123522,0.05369032977975038,0.012005522712190315,-0.19324555688687228,-0.14837774778874643
network_ba,both - customer_only,resolved_share,20,0.32244616342834054,0.0574947775394541,0.012856223092944747,0.29939693269533574,0.3484426572285231
network_ba,both - customer_only,d_to_e_all,20,0.30626297458005214,0.07620809177703293,0.017040647364898836,0.2744410118363425,0.3403818431509381
network_ba,both - customer_only,e_to_d_all,20,0.05884114723699677,0.02683334907717337,0.00600011926005409,0.048071107703598556,0.07057691254555204
network_ba,both - customer_only,both_use,20,0.44802166714548475,0.09068096431962416,0.020276880048391257,0.4079989416969599,0.4876053217840645
population_double,both - domestic_only,domestic_use,20,-0.019237061382623367,0.008912844429307705,0.0019929726016812348,-0.023102560467693937,-0.015501117383137846
population_double,both - domestic_only,customer_use,20,0.46526169052869,0.07630953398691338,0.017063330532606887,0.4330200157479879,0.49733326620901475
population_double,both - domestic_only,resolved_share,20,0.10505924231843769,0.03747642519198474,0.008379983428296349,0.0892092712593097,0.1204683312906825
population_double,both - domestic_only,d_to_e_all,20,0.3054344815800206,0.06570163844797852,0.014691332980279375,0.2782774280235284,0.33484028933813664
population_double,both - domestic_only,e_to_d_all,20,0.0646776480879653,0.02072992821484086,0.004635352865707502,0.05623527533680231,0.07338823620516817
population_double,both - domestic_only,both_use,20,0.4460246291460666,0.07422843796339376,0.01659798331497745,0.4144418586885151,0.47766207886233264
population_double,both - customer_only,domestic_use,20,0.9807629386173765,0.008912844429307705,0.0019929726016812348,0.9768974395323061,0.9844988826168624
population_double,both - customer_only,customer_use,20,-0.17406786345822628,0.042363299293124795,0.009472721697059582,-0.19261400159269662,-0.15669020056921032
population_double,both - customer_only,resolved_share,20,0.2940924235107568,0.045244159446502806,0.010116901610721953,0.27467483142515975,0.312741338586491
population_double,both - customer_only,d_to_e_all,20,0.3054344815800206,0.06570163844797852,0.014691332980279375,0.2782774280235284,0.33484028933813664
population_double,both - customer_only,e_to_d_all,20,0.0646776480879653,0.02072992821484086,0.004635352865707502,0.05623527533680231,0.07338823620516817
population_double,both - customer_only,both_use,20,0.4460246291460666,0.07422843796339376,0.01659798331497745,0.4144418586885151,0.47766207886233264
horizon_double,both - domestic_only,domestic_use,20,-0.015534808635972435,0.017302334678798558,0.0038689196511245564,-0.023248848032319577,-0.008658301532923204
horizon_double,both - domestic_only,customer_use,20,0.4610690344884061,0.08746798455731215,0.019558435932505183,0.422971361664295,0.49773293764556903
horizon_double,both - domestic_only,resolved_share,20,0.0817826621104096,0.06107256900957324,0.013656241586595275,0.054202351168071275,0.1085091703327908
horizon_double,both - domestic_only,d_to_e_all,20,0.30377583153726617,0.0714090622712367,0.015967551744800076,0.2733838820116158,0.33577125223968457
horizon_double,both - domestic_only,e_to_d_all,20,0.058840848986731656,0.025600819022236352,0.005724517161339018,0.048659752575328924,0.07020920776311848
horizon_double,both - domestic_only,both_use,20,0.4455342258524337,0.08257631274795028,0.01846462486356993,0.40995565276690243,0.48114712838011453
horizon_double,both - customer_only,domestic_use,20,0.9844651913640277,0.017302334678798558,0.0038689196511245564,0.9767511519676806,0.991341698467077
horizon_double,both - customer_only,customer_use,20,-0.17744414270442938,0.05002958642412853,0.011186955613055202,-0.1981846710884202,-0.15622093732873613
horizon_double,both - customer_only,resolved_share,20,0.32446346924642333,0.0643054039651746,0.014379125458671493,0.29809794048327515,0.35340303950772095
horizon_double,both - customer_only,d_to_e_all,20,0.30377583153726617,0.0714090622712367,0.015967551744800076,0.2733838820116158,0.33577125223968457
horizon_double,both - customer_only,e_to_d_all,20,0.058840848986731656,0.025600819022236352,0.005724517161339018,0.048659752575328924,0.07020920776311848
horizon_double,both - customer_only,both_use,20,0.4455342258524337,0.08257631274795028,0.01846462486356993,0.40995565276690243,0.48114712838011453
costs_up20,both - domestic_only,domestic_use,20,-0.022063186739191852,0.016897118303301244,0.003778310515003749,-0.029750726542810867,-0.015213707789572707
costs_up20,both - domestic_only,customer_use,20,0.3692357031227348,0.08687140207314992,0.019425036033627937,0.3311187827702135,0.40653439956268267
costs_up20,both - domestic_only,resolved_share,20,0.058872466083110996,0.05976678157525836,0.013364258639865964,0.03210745696664522,0.08484004330351626
costs_up20,both - domestic_only,d_to_e_all,20,0.2509440624142967,0.08152080618972897,0.018228606422081958,0.2151680526299118,0.28568192262870873
costs_up20,both - domestic_only,e_to_d_all,20,0.06753059531478658,0.024274688629707032,0.005427985390866614,0.05747011775252847,0.07782652169806072
costs_up20,both - domestic_only,both_use,20,0.34717251638354296,0.08553259732490161,0.019125670191059665,0.31019969179209494,0.3848036935586765
costs_up20,both - customer_only,domestic_use,20,0.9779368132608081,0.016897118303301244,0.003778310515003749,0.9702492734571893,0.9847862922104275
costs_up20,both - customer_only,customer_use,20,-0.17719980157455412,0.052784000435218,0.011802861309752593,-0.2004688521665089,-0.15542159092904284
costs_up20,both - customer_only,resolved_share,20,0.31684806374269436,0.06439828842525717,0.014399895055351292,0.29156487700777095,0.346408953859089
costs_up20,both - customer_only,d_to_e_all,20,0.2509440624142967,0.08152080618972897,0.018228606422081958,0.2151680526299118,0.28568192262870873
costs_up20,both - customer_only,e_to_d_all,20,0.06753059531478658,0.024274688629707032,0.005427985390866614,0.05747011775252847,0.07782652169806072
costs_up20,both - customer_only,both_use,20,0.34717251638354296,0.08553259732490161,0.019125670191059665,0.31019969179209494,0.3848036935586765
priors_down10,both - domestic_only,domestic_use,20,-0.021329886979216322,0.01738217907693234,0.0038867734013095256,-0.029480467337630524,-0.01433354322227802
priors_down10,both - domestic_only,customer_use,20,0.3383471351987547,0.08027784265195488,0.01795067132568031,0.3039746248119036,0.37334526487379066
priors_down10,both - domestic_only,resolved_share,20,0.05523558949084263,0.059658993843712975,0.013340156570378367,0.030296535709055217,0.08215605089018262
priors_down10,both - domestic_only,d_to_e_all,20,0.19566673707483728,0.06655543640872497,0.014882248008207349,0.16810722619405155,0.2238336235259051
priors_down10,both - domestic_only,e_to_d_all,20,0.06260845427143402,0.021022862424460463,0.004700854946271963,0.05375127911589045,0.07141958598290904
priors_down10,both - domestic_only,both_use,20,0.3170172482195384,0.07969651466757409,0.01782068243665047,0.2826995559910813,0.3519632836016206
priors_down10,both - customer_only,domestic_use,20,0.978081877726666,0.018065263064821247,0.0040395156244356495,0.9698039636844241,0.9852943439697357
priors_down10,both - customer_only,customer_use,20,-0.1545422004907478,0.05756290687147424,0.012871457274710613,-0.1783786601834293,-0.13034524782184037
priors_down10,both - customer_only,resolved_share,20,0.3219087868695608,0.05314248508375694,0.011883020914054913,0.29781832643326994,0.34270638720600877
priors_down10,both - customer_only,d_to_e_all,20,0.19566673707483728,0.06655543640872497,0.014882248008207349,0.16810722619405155,0.2238336235259051
priors_down10,both - customer_only,e_to_d_all,20,0.06260845427143402,0.021022862424460463,0.004700854946271963,0.05375127911589045,0.07141958598290904
priors_down10,both - customer_only,both_use,20,0.3170172482195384,0.07969651466757409,0.01782068243665047,0.2826995559910813,0.3519632836016206
expected_wait_double,both - domestic_only,domestic_use,20,-0.0162014753026391,0.01746911229363425,0.003906212259514345,-0.02415566024682349,-0.009173860517231333
expected_wait_double,both - domestic_only,customer_use,20,0.3937275914449521,0.08760651299638932,0.019589411833164528,0.3552097267178494,0.43033325892223184
expected_wait_double,both - domestic_only,resolved_share,20,0.07087385409454328,0.06492663906582252,0.01451803785017726,0.042352308582879174,0.09920135069558494
expected_wait_double,both - domestic_only,d_to_e_all,20,0.23850617650334263,0.06896621379805079,0.015421314220322552,0.20922206843261226,0.2671521543238244
expected_wait_double,both - domestic_only,e_to_d_all,20,0.05953341996915771,0.02596135875388967,0.005805136296195653,0.04928564255763706,0.07100041045665567
expected_wait_double,both - domestic_only,both_use,20,0.37752611614231313,0.08426482107175098,0.01884218680282919,0.3408471354196605,0.4135274377504217
expected_wait_double,both - customer_only,domestic_use,20,0.983798524697361,0.01746911229363425,0.003906212259514345,0.9758443397531765,0.9908261394827687
expected_wait_double,both - customer_only,customer_use,20,-0.19703637096736246,0.052228722593166896,0.011678697409630026,-0.21859452011078856,-0.17469103410154932
expected_wait_double,both - customer_only,resolved_share,20,0.326455710577357,0.059169181520490166,0.013230631205284038,0.301663545574764,0.35329084825051926
expected_wait_double,both - customer_only,d_to_e_all,20,0.23850617650334263,0.06896621379805079,0.015421314220322552,0.20922206843261226,0.2671521543238244
expected_wait_double,both - customer_only,e_to_d_all,20,0.05953341996915771,0.02596135875388967,0.005805136296195653,0.04928564255763706,0.07100041045665567
expected_wait_double,both - customer_only,both_use,20,0.37752611614231313,0.08426482107175098,0.01884218680282919,0.3408471354196605,0.4135274377504217
symmetric,both - domestic_only,domestic_use,20,-0.1574565925581631,0.03317849963153061,0.007418938056755417,-0.17171111854274979,-0.14396965073639686
symmetric,both - domestic_only,customer_use,20,0.7920298506349581,0.050778168294546754,0.011354343607953109,0.770160815120532,0.8132766883120731
symmetric,both - domestic_only,resolved_share,20,0.2138447302394332,0.05459243398567483,0.01220723934491387,0.18978451244260963,0.23611976097392143
