block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
no_social,11,e,75,7,0,6,1,-0.09333333333333334
no_social,12,d,77,1,0,1,0,-0.012987012987012988
no_social,12,e,77,19,0,15,4,-0.24675324675324675
no_social,13,d,88,6,0,6,0,-0.06818181818181818
no_social,13,e,88,18,0,16,2,-0.20454545454545456
no_social,14,d,69,2,0,2,0,-0.028985507246376812
no_social,14,e,69,14,0,13,1,-0.2028985507246377
no_social,15,d,78,2,0,2,0,-0.02564102564102564
no_social,15,e,78,12,0,10,2,-0.15384615384615385
no_social,16,d,81,1,0,1,0,-0.012345679012345678
no_social,16,e,81,9,0,9,0,-0.1111111111111111
no_social,17,d,85,1,0,1,0,-0.011764705882352941
no_social,17,e,85,9,0,9,0,-0.10588235294117647
no_social,18,d,71,1,0,1,0,-0.014084507042253521
no_social,18,e,71,12,0,11,1,-0.16901408450704225
no_social,19,d,75,1,0,1,0,-0.013333333333333334
no_social,19,e,75,17,0,16,1,-0.22666666666666666
neither,0,d,69,6,0,0,6,-0.08695652173913043
neither,0,e,69,39,0,18,21,-0.5652173913043478
neither,1,d,81,3,0,1,2,-0.037037037037037035
neither,1,e,81,37,0,9,28,-0.4567901234567901
neither,2,d,75,4,0,0,4,-0.05333333333333334
neither,2,e,75,32,0,14,18,-0.4266666666666667
neither,3,d,84,6,0,4,2,-0.07142857142857142
neither,3,e,84,38,0,12,26,-0.4523809523809524
neither,4,d,82,6,0,3,3,-0.07317073170731707
neither,4,e,82,25,0,7,18,-0.3048780487804878
neither,5,d,85,8,0,1,7,-0.09411764705882353
neither,5,e,85,36,0,12,24,-0.4235294117647059
neither,6,d,86,7,0,1,6,-0.08139534883720931
neither,6,e,86,39,0,17,22,-0.45348837209302323
neither,7,d,84,4,0,0,4,-0.047619047619047616
neither,7,e,84,31,0,10,21,-0.36904761904761907
neither,8,d,71,1,0,0,1,-0.014084507042253521
neither,8,e,71,25,0,13,12,-0.352112676056338
neither,9,d,64,4,0,2,2,-0.0625
neither,9,e,64,35,0,10,25,-0.546875
neither,10,d,77,2,0,0,2,-0.025974025974025976
neither,10,e,77,22,0,9,13,-0.2857142857142857
neither,11,d,75,6,0,0,6,-0.08
neither,11,e,75,25,0,7,18,-0.3333333333333333
neither,12,d,77,7,0,1,6,-0.09090909090909091
neither,12,e,77,37,0,16,21,-0.4805194805194805
neither,13,d,88,12,0,6,6,-0.13636363636363635
neither,13,e,88,44,0,17,27,-0.5
neither,14,d,69,6,0,2,4,-0.08695652173913043
neither,14,e,69,31,0,13,18,-0.4492753623188406
neither,15,d,78,6,0,2,4,-0.07692307692307693
neither,15,e,78,41,0,13,28,-0.5256410256410257
