case_id,employee,firm,created,first_submitted_single,d_submitted_single,e_submitted_single,d_responded_single,e_responded_single,material_at_single,customer_intervened_at_single,d_due_single,e_due_single,d_status_single,e_status_single,resolved_single,resolved_by_single,compensation_single,initial_choice_single,status_single,merit_single,reachable_single,dependence_single,d_finished_single,e_finished_single,d_institution_outcome_single,d_implementation_at_single,processing_time_single,observed_wait_single,dispute_age_observed_single,first_submitted_both,d_submitted_both,e_submitted_both,d_responded_both,e_responded_both,material_at_both,customer_intervened_at_both,d_due_both,e_due_both,d_status_both,e_status_both,resolved_both,resolved_by_both,compensation_both,initial_choice_both,status_both,merit_both,reachable_both,dependence_both,d_finished_both,e_finished_both,d_institution_outcome_both,d_implementation_at_both,processing_time_both,observed_wait_both,dispute_age_observed_both,path_single,path_both
0:0,0,0,0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.992760059691461,True,0.47042565019858995,3,,remedy_supported,3.0,3.0,3.0,3.0,0,0,,2,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.992760059691461,True,0.47042565019858995,3,,remedy_supported,3.0,3.0,3.0,3.0,d_only,d_only
100:0,100,1,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.3437810370402954,False,0.5994915417836008,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.3437810370402954,False,0.5994915417836008,7,,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_only
101:0,101,1,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6530162742182607,True,0.5994915417836008,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6530162742182607,True,0.5994915417836008,7,,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_only
102:0,102,3,0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.22262950080139038,False,0.40760183202748823,6,,no_remedy,,,44.0,44.0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.22262950080139038,False,0.40760183202748823,6,,no_remedy,,,44.0,44.0,d_only,d_only
103:0,103,5,0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.7324613089902952,True,0.506188904761806,7,,remedy_supported,7.0,7.0,7.0,7.0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.7324613089902952,True,0.506188904761806,7,,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_only
104:0,104,5,0,0,0,,7,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5808246765612821,True,0.506188904761806,7,,no_remedy,,,44.0,44.0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5808246765612821,True,0.506188904761806,6,,no_remedy,,,44.0,44.0,d_only,d_only
106:0,106,5,0,0,0,,7,,,,8.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9872708237055297,False,0.506188904761806,8,,remedy_supported,8.0,,44.0,44.0,0,0,,6,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9872708237055297,False,0.506188904761806,6,,no_remedy,,,44.0,44.0,d_only,d_only
107:0,107,0,0,0,0,,7,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9241244578930374,False,0.47042565019858995,7,,no_remedy,,,44.0,44.0,0,0,,6,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.9241244578930374,False,0.47042565019858995,7,,remedy_supported,7.0,7.0,7.0,7.0,d_only,d_only
108:0,108,4,0,0,0,,7,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.28682579742600656,True,0.4162920712285151,8,,remedy_supported,8.0,8.0,8.0,8.0,0,0,7.0,6,9.0,,9.0,,10.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.28682579742600656,True,0.4162920712285151,6,10.0,no_remedy,,,44.0,44.0,d_only,d_to_e
10:0,10,1,0,0,0,,2,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6438525166688605,True,0.5994915417836008,2,,no_remedy,,,44.0,44.0,0,0,3.0,2,5.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6438525166688605,True,0.5994915417836008,2,5.0,no_remedy,,,44.0,44.0,d_only,d_to_e
