scenario,seed,period,rho,feedback,cases,employees,domestic_users,customer_users,customer_employees,domestic_employees,domestic_use,customer_use,both_use,first_customer,d_to_e,resolved,unresolved,potential,blocked,prevented,mean_prevention,knowledge_share
none_r0.0_f1,1,early_after,0.0,True,38,37,29,4,4,28,0.7631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.3157894736842105,0.6842105263157895,62,20,4,0.06117388106726289,0.1583333333333333
none_r0.0_f1,1,late_after,0.0,True,44,42,35,3,3,33,0.7954545454545454,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.0,0.2727272727272727,0.7272727272727273,67,23,0,0.0652413617475082,0.1583333333333333
none_r0.6_f0,1,before,0.6,False,55,49,44,28,26,40,0.8,0.509090909090909,0.32727272727272727,0.3090909090909091,0.18181818181818182,0.43636363636363634,0.5636363636363636,75,20,0,0.0,1.0
none_r0.6_f0,1,early_after,0.6,False,44,42,41,18,17,39,0.9318181818181818,0.4090909090909091,0.38636363636363635,0.25,0.1590909090909091,0.45454545454545453,0.5454545454545454,62,18,0,0.0,1.0
none_r0.6_f0,1,late_after,0.6,False,44,42,34,30,30,32,0.7727272727272727,0.6818181818181818,0.4772727272727273,0.45454545454545453,0.20454545454545456,0.4772727272727273,0.5227272727272727,67,23,0,0.0,1.0
none_r0.6_f1,1,before,0.6,True,40,37,34,18,18,31,0.85,0.45,0.35,0.2,0.225,0.4,0.6,75,18,17,0.4284152305024788,1.0
none_r0.6_f1,1,early_after,0.6,True,27,26,25,12,12,24,0.9259259259259259,0.4444444444444444,0.4074074074074074,0.2962962962962963,0.14814814814814814,0.4074074074074074,0.5925925925925926,62,16,19,0.48311810574028163,1.0
none_r0.6_f1,1,late_after,0.6,True,37,36,24,23,23,23,0.6486486486486487,0.6216216216216216,0.35135135135135137,0.4594594594594595,0.16216216216216217,0.43243243243243246,0.5675675675675675,67,21,9,0.42945628094888477,1.0
objective_r0.0_f0,1,before,0.0,False,54,50,46,3,3,42,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
objective_r0.0_f0,1,early_after,0.0,False,41,39,31,5,4,30,0.7560975609756098,0.12195121951219512,0.04878048780487805,0.12195121951219512,0.0,0.36585365853658536,0.6341463414634146,62,21,0,0.0,0.1583333333333333
objective_r0.0_f0,1,late_after,0.0,False,43,41,35,2,2,33,0.813953488372093,0.046511627906976744,0.023255813953488372,0.046511627906976744,0.0,0.2558139534883721,0.7441860465116279,67,24,0,0.0,0.1583333333333333
objective_r0.0_f1,1,before,0.0,True,54,50,46,3,3,42,0.8518518518518519,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.0,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
objective_r0.0_f1,1,early_after,0.0,True,38,37,29,4,4,28,0.7631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.3684210526315789,0.631578947368421,62,20,4,0.07926440881916363,0.1583333333333333
objective_r0.0_f1,1,late_after,0.0,True,42,40,34,2,2,32,0.8095238095238095,0.047619047619047616,0.023809523809523808,0.047619047619047616,0.0,0.2619047619047619,0.7380952380952381,67,24,1,0.07040712051778737,0.1583333333333333
objective_r0.6_f0,1,before,0.6,False,55,49,44,28,26,40,0.8,0.509090909090909,0.32727272727272727,0.3090909090909091,0.18181818181818182,0.43636363636363634,0.5636363636363636,75,20,0,0.0,1.0
objective_r0.6_f0,1,early_after,0.6,False,44,42,41,18,17,39,0.9318181818181818,0.4090909090909091,0.38636363636363635,0.25,0.1590909090909091,0.5,0.5,62,18,0,0.0,1.0
objective_r0.6_f0,1,late_after,0.6,False,47,46,31,35,35,30,0.6595744680851063,0.7446808510638298,0.425531914893617,0.5531914893617021,0.19148936170212766,0.5106382978723404,0.48936170212765956,67,20,0,0.0,1.0
objective_r0.6_f1,1,before,0.6,True,40,37,34,18,18,31,0.85,0.45,0.35,0.2,0.225,0.4,0.6,75,18,17,0.4284152305024788,1.0
objective_r0.6_f1,1,early_after,0.6,True,27,26,24,14,14,23,0.8888888888888888,0.5185185185185185,0.4444444444444444,0.2962962962962963,0.2222222222222222,0.48148148148148145,0.5185185185185185,62,16,19,0.533108485172519,1.0
objective_r0.6_f1,1,late_after,0.6,True,29,27,25,16,15,23,0.8620689655172413,0.5517241379310345,0.4482758620689655,0.27586206896551724,0.27586206896551724,0.4827586206896552,0.5172413793103449,67,16,22,0.5797313773059647,1.0
information_r0.0_f0,1,before,0.0,False,54,50,46,4,4,42,0.8518518518518519,0.07407407407407407,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
information_r0.0_f0,1,early_after,0.0,False,41,39,30,8,7,29,0.7317073170731707,0.1951219512195122,0.07317073170731707,0.1951219512195122,0.0,0.34146341463414637,0.6585365853658537,62,21,0,0.0,0.3416666666666667
information_r0.0_f0,1,late_after,0.0,False,44,42,34,7,7,32,0.7727272727272727,0.1590909090909091,0.09090909090909091,0.13636363636363635,0.022727272727272728,0.25,0.75,67,23,0,0.0,0.3416666666666667
information_r0.0_f1,1,before,0.0,True,54,50,46,4,4,42,0.8518518518518519,0.07407407407407407,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.3333333333333333,0.6666666666666666,75,21,0,0.0,0.1583333333333333
information_r0.0_f1,1,early_after,0.0,True,34,33,28,5,5,27,0.8235294117647058,0.14705882352941177,0.08823529411764706,0.14705882352941177,0.0,0.38235294117647056,0.6176470588235294,62,20,8,0.28798982941676066,0.3416666666666667
information_r0.0_f1,1,late_after,0.0,True,36,35,29,5,5,28,0.8055555555555556,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.027777777777777776,0.25,0.75,67,23,8,0.161516555191402,0.3416666666666667
information_r0.6_f0,1,before,0.6,False,55,49,44,28,26,40,0.8,0.509090909090909,0.32727272727272727,0.3090909090909091,0.18181818181818182,0.43636363636363634,0.5636363636363636,75,20,0,0.0,1.0
information_r0.6_f0,1,early_after,0.6,False,44,42,41,18,17,39,0.9318181818181818,0.4090909090909091,0.38636363636363635,0.25,0.1590909090909091,0.45454545454545453,0.5454545454545454,62,18,0,0.0,1.0
information_r0.6_f0,1,late_after,0.6,False,44,42,34,30,30,32,0.7727272727272727,0.6818181818181818,0.4772727272727273,0.45454545454545453,0.20454545454545456,0.4772727272727273,0.5227272727272727,67,23,0,0.0,1.0
information_r0.6_f1,1,before,0.6,True,40,37,34,18,18,31,0.85,0.45,0.35,0.2,0.225,0.4,0.6,75,18,17,0.4284152305024788,1.0
information_r0.6_f1,1,early_after,0.6,True,27,26,25,12,12,24,0.9259259259259259,0.4444444444444444,0.4074074074074074,0.2962962962962963,0.14814814814814814,0.4074074074074074,0.5925925925925926,62,16,19,0.48311810574028163,1.0
information_r0.6_f1,1,late_after,0.6,True,37,36,24,23,23,23,0.6486486486486487,0.6216216216216216,0.35135135135135137,0.4594594594594595,0.16216216216216217,0.43243243243243246,0.5675675675675675,67,21,9,0.42945628094888477,1.0
objective_r0.6_f0_h96,1,before,0.6,False,55,49,44,28,26,40,0.8,0.509090909090909,0.32727272727272727,0.3090909090909091,0.18181818181818182,0.43636363636363634,0.5636363636363636,75,20,0,0.0,1.0
objective_r0.6_f0_h96,1,early_after,0.6,False,29,27,25,12,11,23,0.8620689655172413,0.41379310344827586,0.3448275862068966,0.3448275862068966,0.06896551724137931,0.4827586206896552,0.5172413793103449,62,33,0,0.0,1.0
objective_r0.6_f0_h96,1,late_after,0.6,False,35,33,25,27,26,24,0.7142857142857143,0.7714285714285715,0.4857142857142857,0.5428571428571428,0.22857142857142856,0.42857142857142855,0.5714285714285714,67,32,0,0.0,1.0
objective_r0.6_f1_h96,1,before,0.6,True,40,37,34,18,18,31,0.85,0.45,0.35,0.2,0.225,0.4,0.6,75,18,17,0.4284152305024788,1.0
objective_r0.6_f1_h96,1,early_after,0.6,True,17,16,16,7,7,15,0.9411764705882353,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.6470588235294118,0.35294117647058826,62,33,12,0.4389812377509355,1.0
objective_r0.6_f1_h96,1,late_after,0.6,True,30,29,21,22,21,21,0.7,0.7333333333333333,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.5,0.5,67,24,13,0.4773002703518119,1.0
