scenario,contrast,metric,n,mean,low,high
information_r0.0_f1,late_minus_before,d_to_e,2,0.0015102000396118014,-0.006238859180035597,0.0092592592592592
information_r0.0_f1,late_minus_early_after,d_to_e,2,0.0102409180726554,-0.0072959416324668985,0.0277777777777777
information_r0.0_f1,late_minus_before,resolved,2,-0.022727272727272707,-0.08333333333333331,0.0378787878787879
information_r0.0_f1,late_minus_early_after,resolved,2,-0.01578887368901044,-0.1323529411764705,0.10077519379844962
information_r0.0_f1,late_minus_before,unresolved,2,0.022727272727272707,-0.037878787878787956,0.08333333333333337
information_r0.0_f1,late_minus_early_after,unresolved,2,0.01578887368901044,-0.10077519379844968,0.13235294117647056
information_r0.0_f1,late_minus_before,potential,2,6.5,-8.0,21.0
information_r0.0_f1,late_minus_early_after,potential,2,2.5,0.0,5.0
information_r0.0_f1,late_minus_before,blocked,2,7.5,2.0,13.0
information_r0.0_f1,late_minus_early_after,blocked,2,0.5,-2.0,3.0
information_r0.0_f1,late_minus_before,prevented,2,4.5,1.0,8.0
information_r0.0_f1,late_minus_early_after,prevented,2,-3.0,-6.0,0.0
information_r0.0_f1,late_minus_before,mean_prevention,2,0.06514309784438305,-0.031230359502635904,0.161516555191402
information_r0.0_f1,late_minus_early_after,mean_prevention,2,-0.17807719954357748,-0.22968112486179637,-0.1264732742253586
information_r0.0_f1,late_minus_before,knowledge_share,2,0.1750000000000001,0.1666666666666668,0.18333333333333338
information_r0.0_f1,late_minus_early_after,knowledge_share,2,0.0,0.0,0.0
information_r0.0_f1,shock_difference_in_changes,cases,2,-3.5,-8.0,1.0
information_r0.0_f1,shock_difference_in_changes,customer_users,2,3.0,1.0,5.0
information_r0.0_f1,shock_difference_in_changes,customer_employees,2,3.0,1.0,5.0
information_r0.0_f1,shock_difference_in_changes,domestic_use,2,-0.0027926322043969054,-0.015686274509803977,0.010101010101010166
information_r0.0_f1,shock_difference_in_changes,customer_use,2,0.0725737769855417,0.0521885521885523,0.0929590017825311
information_r0.0_f1,shock_difference_in_changes,both_use,2,0.062392552980788295,0.054919786096256695,0.0698653198653199
information_r0.0_f1,shock_difference_in_changes,first_customer,2,0.06969994058229355,0.04292929292929301,0.09647058823529409
information_r0.0_f1,shock_difference_in_changes,d_to_e,2,0.0028738364032481513,-0.003511586452762897,0.0092592592592592
information_r0.0_f1,shock_difference_in_changes,resolved,2,0.03530303030303031,-0.022727272727272707,0.09333333333333332
information_r0.0_f1,shock_difference_in_changes,unresolved,2,-0.035303030303030336,-0.09333333333333338,0.022727272727272707
information_r0.0_f1,shock_difference_in_changes,potential,2,0.0,0.0,0.0
information_r0.0_f1,shock_difference_in_changes,blocked,2,-1.5,-3.0,0.0
information_r0.0_f1,shock_difference_in_changes,prevented,2,5.0,2.0,8.0
information_r0.0_f1,shock_difference_in_changes,mean_prevention,2,0.0655688912679133,0.03486258909193281,0.0962751934438938
information_r0.0_f1,shock_difference_in_changes,knowledge_share,2,0.1750000000000001,0.1666666666666668,0.18333333333333338
information_r0.6_f0,late_minus_before,cases,2,-0.5,-11.0,10.0
information_r0.6_f0,late_minus_early_after,cases,2,3.0,0.0,6.0
information_r0.6_f0,late_minus_before,customer_users,2,4.0,2.0,6.0
information_r0.6_f0,late_minus_early_after,customer_users,2,10.0,8.0,12.0
information_r0.6_f0,late_minus_before,customer_employees,2,5.0,4.0,6.0
information_r0.6_f0,late_minus_early_after,customer_employees,2,9.0,5.0,13.0
information_r0.6_f0,late_minus_before,domestic_use,2,-0.025021208727815714,-0.027272727272727337,-0.02276969018290409
information_r0.6_f0,late_minus_early_after,domestic_use,2,-0.11721315320386527,-0.15909090909090906,-0.07533539731682148
information_r0.6_f0,late_minus_before,customer_use,2,0.07927143778207607,-0.014184397163120588,0.17272727272727273
information_r0.6_f0,late_minus_early_after,customer_use,2,0.1755793226381461,0.07843137254901955,0.27272727272727265
information_r0.6_f0,late_minus_before,both_use,2,0.0565229563269877,-0.03695408734602468,0.15000000000000008
information_r0.6_f0,late_minus_early_after,both_use,2,0.04700253307064456,0.0030959752321981227,0.090909090909091
information_r0.6_f0,late_minus_before,first_customer,2,0.1268519461128643,0.1082493467711832,0.1454545454545454
information_r0.6_f0,late_minus_early_after,first_customer,2,0.1714161741251524,0.1382868937048503,0.20454545454545447
information_r0.6_f0,late_minus_before,d_to_e,2,-0.03921493773117518,-0.10115714818962307,0.022727272727272707
information_r0.6_f0,late_minus_early_after,d_to_e,2,0.002603433717984757,-0.0402476780185759,0.045454545454545414
information_r0.6_f0,late_minus_before,resolved,2,0.001977501781533164,-0.03695408734602468,0.040909090909091006
information_r0.6_f0,late_minus_early_after,resolved,2,0.052127310254245274,0.022727272727272818,0.08152734778121773
information_r0.6_f0,late_minus_before,unresolved,2,-0.0019775017815331086,-0.040909090909090895,0.03695408734602468
information_r0.6_f0,late_minus_early_after,unresolved,2,-0.05212731025424522,-0.08152734778121773,-0.022727272727272707
information_r0.6_f0,late_minus_before,potential,2,6.5,-8.0,21.0
information_r0.6_f0,late_minus_early_after,potential,2,2.5,0.0,5.0
information_r0.6_f0,late_minus_before,blocked,2,7.0,3.0,11.0
information_r0.6_f0,late_minus_early_after,blocked,2,-0.5,-6.0,5.0
information_r0.6_f0,late_minus_before,prevented,2,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,prevented,2,0.0,0.0,0.0
information_r0.6_f0,late_minus_before,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,late_minus_before,knowledge_share,2,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,knowledge_share,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,cases,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_users,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_employees,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,domestic_use,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_use,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,both_use,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,first_customer,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,d_to_e,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,resolved,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,unresolved,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,potential,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,blocked,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,prevented,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,mean_prevention,2,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,knowledge_share,2,0.0,0.0,0.0
information_r0.6_f1,late_minus_before,cases,2,0.5,-3.0,4.0
information_r0.6_f1,late_minus_early_after,cases,2,1.0,-8.0,10.0
information_r0.6_f1,late_minus_before,customer_users,2,2.5,0.0,5.0
information_r0.6_f1,late_minus_early_after,customer_users,2,1.5,-8.0,11.0
information_r0.6_f1,late_minus_before,customer_employees,2,3.0,1.0,5.0
information_r0.6_f1,late_minus_early_after,customer_employees,2,1.5,-8.0,11.0
information_r0.6_f1,late_minus_before,domestic_use,2,-0.09987052269660962,-0.2013513513513513,0.0016103059581320522
information_r0.6_f1,late_minus_early_after,domestic_use,2,-0.19683969683969688,-0.27727727727727736,-0.1164021164021164
information_r0.6_f1,late_minus_before,customer_use,2,0.031060408234321296,-0.109500805152979,0.1716216216216216
information_r0.6_f1,late_minus_early_after,customer_use,2,0.046260546260546265,-0.08465608465608465,0.17717717717717718
information_r0.6_f1,late_minus_before,both_use,2,-0.07500870435653048,-0.1513687600644123,0.0013513513513513375
information_r0.6_f1,late_minus_early_after,both_use,2,-0.12855712855712859,-0.2010582010582011,-0.05605605605605607
information_r0.6_f1,late_minus_before,first_customer,2,0.19011620315968147,0.12077294685990347,0.2594594594594595
information_r0.6_f1,late_minus_early_after,first_customer,2,0.11650221650221654,0.06984126984126987,0.1631631631631632
information_r0.6_f1,late_minus_before,d_to_e,2,-0.1248166644905776,-0.18679549114331728,-0.06283783783783792
information_r0.6_f1,late_minus_early_after,d_to_e,2,-0.07024167024167027,-0.15449735449735452,0.014014014014013976
information_r0.6_f1,late_minus_before,resolved,2,-0.034508421464943206,-0.10144927536231879,0.03243243243243238
information_r0.6_f1,late_minus_early_after,resolved,2,-0.006535106535106527,-0.03809523809523807,0.025025025025025016
information_r0.6_f1,late_minus_before,unresolved,2,0.034508421464943206,-0.032432432432432434,0.10144927536231885
information_r0.6_f1,late_minus_early_after,unresolved,2,0.006535106535106527,-0.025025025025025016,0.03809523809523807
information_r0.6_f1,late_minus_before,potential,2,6.5,-8.0,21.0
information_r0.6_f1,late_minus_early_after,potential,2,2.5,0.0,5.0
information_r0.6_f1,late_minus_before,blocked,2,7.0,3.0,11.0
information_r0.6_f1,late_minus_early_after,blocked,2,0.5,-4.0,5.0
information_r0.6_f1,late_minus_before,prevented,2,-1.0,-8.0,6.0
information_r0.6_f1,late_minus_early_after,prevented,2,1.0,-10.0,12.0
information_r0.6_f1,late_minus_before,mean_prevention,2,-0.010916096451971113,-0.022873243350348127,0.0010410504464059
information_r0.6_f1,late_minus_early_after,mean_prevention,2,0.06961291618389659,-0.05366182479139686,0.19288765715919004
information_r0.6_f1,late_minus_before,knowledge_share,2,0.0,0.0,0.0
information_r0.6_f1,late_minus_early_after,knowledge_share,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,cases,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_users,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_employees,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,domestic_use,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_use,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,both_use,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,first_customer,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,d_to_e,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,resolved,2,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,unresolved,2,0.0,0.0,0.0
