block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,t0_first_e,t0_first_both,t0_first_count,pre_first_e,pre_first_both,pre_first_count,post_first_e,post_first_both,post_first_count,pre_domestic_cohort_count,pre_domestic_later_e,post_customer_submissions,post_mean_belief_d,final_belief_d,final_informed
main,unchanged,0,49,1,1,1,1,1,0,79,5,0,74,4,4,0,0,1,2,1,41,99,120,4,3,120,104,86,70,0.7166666666666667,0.7166666666666667,0.8666666666666667,0.575,0.2916666666666667,0.13333333333333333,0.0,0.5072463768115942,3.1714285714285713,0.2441860465116279,0.32558139534883723,0.6265060240963856,0.26506024096385544,0.6333918835892851,0.5078157078883293,0.6583333333333333,0.6583333333333333,0.6744186046511628,4.121951219512195,3.0,2863,430,0.28125,0.0625,32,0.3050847457627119,0.0847457627118644,59,0.2786885245901639,0.18032786885245902,61,36,0.16666666666666666,48,0.41913372477140104,0.4160098498581547,0.0
main,unchanged,1,49,1,1,1,0,1,0,87,5,0,82,3,2,1,1,0,3,0,39,101,126,6,2,126,116,75,65,0.5952380952380952,0.5952380952380952,0.9206349206349206,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.39285714285714285,3.9393939393939394,0.25333333333333335,0.32,0.5352112676056338,0.2676056338028169,0.5343760589613903,0.5017813707029878,0.6904761904761905,0.6904761904761905,0.68,4.230769230769231,3.0,3078,444,0.23809523809523808,0.09523809523809523,42,0.22580645161290322,0.08064516129032258,62,0.21875,0.140625,64,43,0.023255813953488372,41,0.40108434419481503,0.4008024365042279,0.0
main,unchanged,2,49,2,2,2,2,2,1,80,5,2,73,3,3,0,0,0,3,1,49,100,129,2,3,127,120,81,74,0.627906976744186,0.6377952755905512,0.9448818897637795,0.6929133858267716,0.2283464566929134,0.07874015748031496,0.015503875968992248,0.4772727272727273,3.4285714285714284,0.2222222222222222,0.35802469135802467,0.4794520547945205,0.3013698630136986,0.6058550397930614,0.502180594252589,0.6201550387596899,0.6141732283464567,0.6419753086419753,3.979591836734694,3.0,2748,455,0.21212121212121213,0.030303030303030304,33,0.19148936170212766,0.0425531914893617,47,0.25,0.1,80,36,0.1111111111111111,54,0.38784444883544567,0.388193457765549,0.0
main,unchanged,3,49,2,2,2,2,0,0,75,3,2,70,2,2,0,0,1,1,1,59,103,134,1,1,132,122,87,77,0.6492537313432836,0.6590909090909091,0.9242424242424242,0.696969696969697,0.24242424242424243,0.06060606060606061,0.014925373134328358,0.5108695652173914,4.297872340425532,0.28735632183908044,0.41379310344827586,0.5542168674698795,0.3855421686746988,0.6028583854200176,0.4830574395363527,0.5597014925373134,0.553030303030303,0.5862068965517241,4.728813559322034,3.0,2851,502,0.1794871794871795,0.07692307692307693,39,0.19047619047619047,0.09523809523809523,63,0.2898550724637681,0.028985507246376812,69,45,0.1111111111111111,50,0.40017430375922014,0.4042452621467372,0.0
main,unchanged,4,49,0,0,0,0,0,0,79,3,2,74,1,0,1,1,0,2,0,53,100,132,1,5,130,124,64,58,0.48484848484848486,0.49230769230769234,0.9538461538461539,0.7846153846153846,0.13846153846153847,0.07692307692307693,0.015151515151515152,0.35294117647058826,3.7222222222222223,0.265625,0.4375,0.5689655172413793,0.3448275862068966,0.5793488329900432,0.4980456555216227,0.5984848484848485,0.5923076923076923,0.5625,4.132075471698113,3.0,2667,441,0.13333333333333333,0.03333333333333333,30,0.1836734693877551,0.061224489795918366,49,0.1111111111111111,0.08641975308641975,81,37,0.05405405405405406,41,0.4080331749057231,0.4092136856760682,0.0
main,unchanged,5,49,2,2,2,2,0,0,90,4,1,85,4,3,1,1,1,0,1,47,107,137,3,0,136,121,87,72,0.635036496350365,0.6397058823529411,0.8897058823529411,0.7058823529411765,0.27941176470588236,0.014705882352941176,0.0072992700729927005,0.4895833333333333,3.4680851063829787,0.27586206896551724,0.3333333333333333,0.6046511627906976,0.3023255813953488,0.5904733250026872,0.49877829851195327,0.656934306569343,0.6544117647058824,0.6666666666666666,4.446808510638298,4.0,3578,533,0.20408163265306123,0.0,49,0.23943661971830985,0.014084507042253521,71,0.3230769230769231,0.015384615384615385,65,53,0.09433962264150944,48,0.4011777617071144,0.4074821471779559,0.0
main,unchanged,6,49,1,1,1,1,1,1,81,6,0,75,4,3,1,1,0,2,0,47,102,128,6,3,128,118,76,66,0.59375,0.59375,0.921875,0.6640625,0.234375,0.1015625,0.0,0.38823529411764707,3.242424242424242,0.2894736842105263,0.35526315789473684,0.547945205479452,0.2602739726027397,0.6115465841468555,0.5054136355902678,0.6328125,0.6328125,0.6447368421052632,4.085106382978723,3.0,2931,444,0.2571428571428571,0.08571428571428572,35,0.2692307692307692,0.11538461538461539,52,0.21052631578947367,0.09210526315789473,76,32,0.125,47,0.40850385827424107,0.41262785315950395,0.0
main,unchanged,7,49,0,0,0,0,0,0,76,2,2,72,1,0,1,1,0,1,0,35,94,111,2,1,109,102,59,52,0.5315315315315315,0.5412844036697247,0.9357798165137615,0.6972477064220184,0.1834862385321101,0.11926605504587157,0.018018018018018018,0.34210526315789475,4.461538461538462,0.2711864406779661,0.3728813559322034,0.4482758620689655,0.22413793103448276,0.5966375476176246,0.48658837761143225,0.6846846846846847,0.6788990825688074,0.6271186440677966,4.3428571428571425,3.0,3014,362,0.20588235294117646,0.08823529411764706,34,0.13114754098360656,0.09836065573770492,61,0.25,0.14583333333333334,48,47,0.10638297872340426,36,0.41377805663033373,0.4114913123617622,0.0
main,unchanged,8,49,0,0,0,0,0,0,77,1,0,76,0,0,0,0,0,1,0,30,93,107,2,1,107,101,54,48,0.5046728971962616,0.5046728971962616,0.9439252336448598,0.7663551401869159,0.14018691588785046,0.09345794392523364,0.0,0.35365853658536583,3.8275862068965516,0.24074074074074073,0.3333333333333333,0.6,0.34,0.6003918232543394,0.5130728789736831,0.719626168224299,0.719626168224299,0.6666666666666666,4.1,3.0,2992,362,0.1891891891891892,0.02702702702702703,37,0.13559322033898305,0.06779661016949153,59,0.14583333333333334,0.125,48,47,0.06382978723404255,26,0.41171244145959357,0.41296518040915847,0.0
main,unchanged,9,49,1,1,1,1,0,0,82,2,2,78,2,2,0,0,0,0,0,45,101,127,3,2,125,120,79,74,0.6220472440944882,0.632,0.96,0.712,0.208,0.08,0.015748031496062992,0.48314606741573035,5.488372093023256,0.25316455696202533,0.3291139240506329,0.5316455696202531,0.34177215189873417,0.6079218754837016,0.47692381902302433,0.6456692913385826,0.64,0.6708860759493671,4.977777777777778,3.0,3047,459,0.17857142857142858,0.10714285714285714,28,0.21153846153846154,0.11538461538461539,52,0.2054794520547945,0.0547945205479452,73,35,0.2,51,0.4138535174686679,0.42092355089549494,0.0
