block,treatment,control,metric,mean_difference,sd_difference,n,se_difference
main,no_notice,unchanged,post_mean_belief_d,0.006634822731980497,0.0014548514291523476,20,0.0003253146692747368
main,no_notice,unchanged,post_first_e,-0.01592187827113486,0.021583365371894318,20,0.004826187215477072
main,no_notice,unchanged,post_first_both,-0.003393291053273912,0.010895213163392715,20,0.002436243726269663
main,no_notice,unchanged,pre_domestic_later_e,-0.013122627129050251,0.019262417735735084,20,0.004307207546810123
main,no_notice,unchanged,customer_share_all_cases,-0.0590888938120949,0.02058444763972341,20,0.004602822420170664
main,no_notice,unchanged,unresolved_fraction,-0.1303664085747594,0.024251758261974246,20,0.005422858004766657
main,no_notice,unchanged,post_customer_submissions,-3.25,3.209771265829914,20,0.7177266742621236
main,immediate,no_notice,post_mean_belief_d,0.2719590980370759,0.0012804327754334767,20,0.00028631347264879766
main,immediate,no_notice,post_first_e,-0.18777642644331408,0.05813619609363775,20,0.012999648641863173
main,immediate,no_notice,post_first_both,-0.03908294524620206,0.053232262370929796,20,0.011903095725750315
main,immediate,no_notice,pre_domestic_later_e,-0.00043789387827926595,0.010550656683532597,20,0.002359198555164137
main,immediate,no_notice,customer_share_all_cases,-0.08773855277833024,0.0347189477699686,20,0.007763392732091453
main,immediate,no_notice,unresolved_fraction,-0.016710493911643833,0.023563202169735516,20,0.005268892181909915
main,immediate,no_notice,post_customer_submissions,-11.0,5.12989176042577,20,1.1470786693528088
main,network_notice,no_notice,post_mean_belief_d,0.2520442562296351,0.0029037614644463164,20,0.0006493008024946302
main,network_notice,no_notice,post_first_e,-0.17622071966789782,0.05606651772270941,20,0.012536854488967493
main,network_notice,no_notice,post_first_both,-0.03861680451736697,0.04663001274701054,20,0.010426787829399728
main,network_notice,no_notice,pre_domestic_later_e,0.0006259359089547768,0.00934236629516985,20,0.0020890166106702648
main,network_notice,no_notice,customer_share_all_cases,-0.08347771712287194,0.03318151830774649,20,0.007419613053277493
main,network_notice,no_notice,unresolved_fraction,-0.013814897050748851,0.026862694920541795,20,0.006006681190116977
main,network_notice,no_notice,post_customer_submissions,-10.7,4.846051023907588,20,1.0836099511889825
main,immediate,network_notice,post_mean_belief_d,0.019914841807440797,0.002785933161987392,20,0.0006229535930974741
main,immediate,network_notice,post_first_e,-0.01155570677541627,0.013574628299272558,20,0.0030353791646465797
main,immediate,network_notice,post_first_both,-0.00046614072883508704,0.015135791654009705,20,0.003384465903163968
main,immediate,network_notice,pre_domestic_later_e,-0.0010638297872340428,0.004757591441488915,20,0.0010638297872340428
main,immediate,network_notice,customer_share_all_cases,-0.004260835655458317,0.009938831181914335,20,0.002222390213965503
main,immediate,network_notice,unresolved_fraction,-0.002895596860894983,0.014055116601421287,20,0.0031428196152463814
main,immediate,network_notice,post_customer_submissions,-0.3,1.5252264715358452,20,0.3410510071436298
learning_off,no_notice,unchanged,post_mean_belief_d,0.0,0.0,20,0.0
learning_off,no_notice,unchanged,post_first_e,-0.01142583183353801,0.010858469812868908,20,0.00242802766332043
learning_off,no_notice,unchanged,post_first_both,-0.00366726631086221,0.010594424129475944,20,0.002368985253597224
learning_off,no_notice,unchanged,pre_domestic_later_e,-0.009837684524996244,0.014359132388262877,20,0.0032107996118074696
learning_off,no_notice,unchanged,customer_share_all_cases,-0.05526813990792699,0.017186030136110104,20,0.003842913164770215
learning_off,no_notice,unchanged,unresolved_fraction,-0.12593561326281014,0.029630341330120494,20,0.006625545741067096
learning_off,no_notice,unchanged,post_customer_submissions,-3.05,2.3502519461807316,20,0.5255323115911293
learning_off,immediate,no_notice,post_mean_belief_d,0.2800000000000001,9.86459044048525e-17,20,2.205789479511961e-17
learning_off,immediate,no_notice,post_first_e,-0.19336473311789498,0.05980654723848313,20,0.01337315051248006
learning_off,immediate,no_notice,post_first_both,-0.03996878438127354,0.05516108501430403,20,0.012334393580462876
learning_off,immediate,no_notice,pre_domestic_later_e,-0.004907160067043788,0.013406787404390311,20,0.00299784879961047
learning_off,immediate,no_notice,customer_share_all_cases,-0.09160261038106166,0.039304698617714955,20,0.008788797794435265
learning_off,immediate,no_notice,unresolved_fraction,-0.025200735007024095,0.02445463376852997,20,0.005468222347129487
learning_off,immediate,no_notice,post_customer_submissions,-11.05,6.073887162530919,20,1.3581624583082448
learning_off,network_notice,no_notice,post_mean_belief_d,0.2595658333333334,0.0027393532606346527,20,0.0006125380105164781
learning_off,network_notice,no_notice,post_first_e,-0.1827583302058171,0.054312642763296774,20,0.01214467612563936
learning_off,network_notice,no_notice,post_first_both,-0.03823422904983596,0.052096943708079095,20,0.01164923075512448
learning_off,network_notice,no_notice,pre_domestic_later_e,-0.002702702702702703,0.012086853932431295,20,0.0027027027027027024
learning_off,network_notice,no_notice,customer_share_all_cases,-0.08635607494329015,0.03745137596989447,20,0.008374382251958615
learning_off,network_notice,no_notice,unresolved_fraction,-0.02154857182457766,0.02812274848530439,20,0.006288437732726986
learning_off,network_notice,no_notice,post_customer_submissions,-10.7,5.84987629198934,20,1.3080721048852573
learning_off,immediate,network_notice,post_mean_belief_d,0.020434166666666677,0.0027393532606346527,20,0.0006125380105164781
learning_off,immediate,network_notice,post_first_e,-0.010606402912077897,0.013222776173818939,20,0.002956702637592372
learning_off,immediate,network_notice,post_first_both,-0.0017345553314375875,0.013546609039400762,20,0.0030291138676713228
learning_off,immediate,network_notice,pre_domestic_later_e,-0.0022044573643410855,0.00679654716901817,20,0.001519754148220838
learning_off,immediate,network_notice,customer_share_all_cases,-0.005246535437771491,0.010539508062770063,20,0.002356705647776098
learning_off,immediate,network_notice,unresolved_fraction,-0.0036521631824464355,0.013130248462200844,20,0.0029360128122943164
learning_off,immediate,network_notice,post_customer_submissions,-0.35,1.5312533566021211,20,0.3423986596137069
closed_cohort,no_notice,unchanged,post_mean_belief_d,1.875000000000071e-05,8.385254915624531e-05,20,1.8750000000000713e-05
closed_cohort,no_notice,unchanged,post_first_e,,,0,
closed_cohort,no_notice,unchanged,post_first_both,,,0,
closed_cohort,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,customer_share_all_cases,0.0,0.0,20,0.0
closed_cohort,no_notice,unchanged,unresolved_fraction,-0.0011627906976744208,0.005200158087208821,20,0.0011627906976744203
closed_cohort,no_notice,unchanged,post_customer_submissions,0.0,0.0,20,0.0
