time,expected_wait_d,expected_wait_e,scenario,seed
44,2.7925646113146114,2.8201007326007326,wait_learning,0
45,2.8183943089430894,2.833855981416957,wait_learning,0
46,2.7715695488721805,2.826942355889724,wait_learning,0
47,2.8181324404761905,2.8540922619047615,wait_learning,0
48,2.825731497418244,2.8495768789443487,wait_learning,0
49,2.8156919642857146,2.856019345238095,wait_learning,0
50,2.8223553345388788,2.868015370705244,wait_learning,0
51,2.8431199752628324,2.8671846011131725,wait_learning,0
52,2.841713048855906,2.8671846011131725,wait_learning,0
53,2.8545454545454545,2.872047000618429,wait_learning,0
54,2.8592764378478663,2.8946815089672233,wait_learning,0
55,2.8592764378478663,2.8946815089672233,wait_learning,0
56,2.870021645021645,2.8946815089672233,wait_learning,0
57,2.868382807668522,2.918491032776747,wait_learning,0
58,2.8822510822510825,2.8968460111317254,wait_learning,0
59,2.884632034632035,2.9267316017316016,wait_learning,0
60,2.900877192982456,2.959100877192982,wait_learning,0
61,2.8874999999999997,2.9092105263157895,wait_learning,0
62,2.8925555555555555,2.9317777777777776,wait_learning,0
63,2.8987777777777777,2.9623333333333335,wait_learning,0
64,2.930405405405405,2.9600225225225225,wait_learning,0
65,2.910698198198198,2.927027027027027,wait_learning,0
0,3.0,3.0,wait_no_outcomes,0
1,2.888888888888889,3.0,wait_no_outcomes,0
2,2.9333333333333336,2.9,wait_no_outcomes,0
3,2.9466666666666668,2.9666666666666663,wait_no_outcomes,0
4,2.81969696969697,2.9696969696969693,wait_no_outcomes,0
5,2.8400000000000003,2.8455555555555554,wait_no_outcomes,0
6,2.851754385964912,2.869736842105263,wait_no_outcomes,0
7,2.8612318840579714,2.9181159420289853,wait_no_outcomes,0
8,2.8126984126984125,2.90515873015873,wait_no_outcomes,0
9,2.8150793650793653,2.9119047619047618,wait_no_outcomes,0
10,2.8043478260869565,2.8942028985507244,wait_no_outcomes,0
11,2.8203809523809524,2.873666666666667,wait_no_outcomes,0
12,2.8504464285714284,2.8481770833333333,wait_no_outcomes,0
13,2.7744922969187678,2.8761554621848737,wait_no_outcomes,0
14,2.778417818740399,2.833333333333333,wait_no_outcomes,0
15,2.7961399711399713,2.8383838383838387,wait_no_outcomes,0
16,2.7705627705627704,2.878787878787879,wait_no_outcomes,0
17,2.8000355596784168,2.8545918367346936,wait_no_outcomes,0
18,2.8205793840662263,2.867763157894737,wait_no_outcomes,0
19,2.8113169238169236,2.8453296703296704,wait_no_outcomes,0
20,2.799450113378685,2.8372448979591836,wait_no_outcomes,0
21,2.815895562770563,2.8787608225108223,wait_no_outcomes,0
