cohort,onset,followup,population,cases,domestic_users,customer_users,first_d,first_e,first_both,no_submission,domestic_use,customer_use,both_use,domestic_only,customer_only,d_to_e,e_to_d,resolved,unresolved,customer_minus_domestic,scenario,seed
0,0,24,all,24,20,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.5416666666666666,0.375,0.4583333333333333,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.29166666666666674,legacy,0
0,0,24,both_reachable,19,15,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.6842105263157895,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.5789473684210527,-0.10526315789473684,legacy,0
1,6,24,all,17,15,11,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.5882352941176471,-0.23529411764705876,legacy,0
1,6,24,both_reachable,15,13,11,0.4,0.6,0.0,0.0,0.8666666666666667,0.7333333333333333,0.6,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.4,0.6,-0.13333333333333341,legacy,0
2,12,24,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,legacy,0
2,12,24,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,legacy,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.7222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.3888888888888889,-0.6111111111111112,legacy,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.4545454545454546,legacy,0
4,24,24,all,19,15,10,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.5263157894736842,0.3157894736842105,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.26315789473684215,legacy,0
4,24,24,both_reachable,16,12,10,0.5,0.4375,0.0625,0.0,0.75,0.625,0.375,0.375,0.25,0.125,0.1875,0.375,0.625,-0.125,legacy,0
5,30,24,all,14,12,8,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.5,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.5714285714285714,-0.2857142857142857,legacy,0
5,30,24,both_reachable,12,10,8,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.25,0.08333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.16666666666666674,legacy,0
6,36,24,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.25,0.25,0.15,0.25,0.45,0.55,0.0,legacy,0
6,36,24,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.0,legacy,0
7,42,24,all,23,18,11,0.6521739130434783,0.34782608695652173,0.0,0.0,0.782608695652174,0.4782608695652174,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.5652173913043478,0.43478260869565216,-0.30434782608695654,legacy,0
7,42,24,both_reachable,17,12,11,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.35294117647058826,-0.05882352941176472,legacy,0
0,0,24,all,24,20,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.5416666666666666,0.375,0.4583333333333333,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.29166666666666674,base,0
0,0,24,both_reachable,19,15,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.6842105263157895,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.5789473684210527,-0.10526315789473684,base,0
1,6,24,all,17,15,11,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.5882352941176471,-0.23529411764705876,base,0
1,6,24,both_reachable,15,13,11,0.4,0.6,0.0,0.0,0.8666666666666667,0.7333333333333333,0.6,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.4,0.6,-0.13333333333333341,base,0
2,12,24,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,base,0
2,12,24,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,base,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.7222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.3888888888888889,-0.6111111111111112,base,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.4545454545454546,base,0
4,24,24,all,19,15,10,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.5263157894736842,0.3157894736842105,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.26315789473684215,base,0
4,24,24,both_reachable,16,12,10,0.5,0.4375,0.0625,0.0,0.75,0.625,0.375,0.375,0.25,0.125,0.1875,0.375,0.625,-0.125,base,0
5,30,24,all,14,12,8,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.5,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.5714285714285714,-0.2857142857142857,base,0
5,30,24,both_reachable,12,10,8,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.25,0.08333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.16666666666666674,base,0
6,36,24,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.25,0.25,0.15,0.25,0.45,0.55,0.0,base,0
6,36,24,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.0,base,0
7,42,24,all,23,18,11,0.6521739130434783,0.34782608695652173,0.0,0.0,0.782608695652174,0.4782608695652174,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.5652173913043478,0.43478260869565216,-0.30434782608695654,base,0
7,42,24,both_reachable,17,12,11,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.35294117647058826,-0.05882352941176472,base,0
0,0,24,all,24,21,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.875,0.5416666666666666,0.4166666666666667,0.4583333333333333,0.125,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.5833333333333334,-0.33333333333333337,wait_learning,0
0,0,24,both_reachable,19,16,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8421052631578947,0.6842105263157895,0.5263157894736842,0.3157894736842105,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.42105263157894735,0.5789473684210527,-0.1578947368421052,wait_learning,0
1,6,24,all,17,15,11,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8823529411764706,0.6470588235294118,0.5294117647058824,0.35294117647058826,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.4117647058823529,0.5882352941176471,-0.23529411764705876,wait_learning,0
1,6,24,both_reachable,15,13,11,0.4,0.6,0.0,0.0,0.8666666666666667,0.7333333333333333,0.6,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.4,0.6,-0.13333333333333341,wait_learning,0
2,12,24,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,wait_learning,0
2,12,24,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,wait_learning,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.7222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6111111111111112,0.3888888888888889,-0.6111111111111112,wait_learning,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.4545454545454546,wait_learning,0
4,24,24,all,19,15,10,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.5263157894736842,0.3157894736842105,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.26315789473684215,wait_learning,0
4,24,24,both_reachable,16,12,10,0.5,0.4375,0.0625,0.0,0.75,0.625,0.375,0.375,0.25,0.125,0.1875,0.375,0.625,-0.125,wait_learning,0
5,30,24,all,14,12,8,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5714285714285714,0.5,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.42857142857142855,0.5714285714285714,-0.2857142857142857,wait_learning,0
5,30,24,both_reachable,12,10,8,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.25,0.08333333333333333,0.25,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.16666666666666674,wait_learning,0
6,36,24,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.25,0.25,0.15,0.25,0.45,0.55,0.0,wait_learning,0
6,36,24,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.0,wait_learning,0
7,42,24,all,23,18,11,0.6521739130434783,0.34782608695652173,0.0,0.0,0.782608695652174,0.4782608695652174,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.5652173913043478,0.43478260869565216,-0.30434782608695654,wait_learning,0
7,42,24,both_reachable,17,12,11,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.35294117647058826,-0.05882352941176472,wait_learning,0
0,0,24,all,24,19,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.7916666666666666,0.5,0.2916666666666667,0.5,0.20833333333333334,0.16666666666666666,0.125,0.4166666666666667,0.5833333333333334,-0.29166666666666663,wait_no_outcomes,0
0,0,24,both_reachable,19,14,12,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7368421052631579,0.631578947368421,0.3684210526315789,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.42105263157894735,0.5789473684210527,-0.10526315789473684,wait_no_outcomes,0
1,6,24,all,17,12,11,0.47058823529411764,0.47058823529411764,0.0,0.058823529411764705,0.7058823529411765,0.6470588235294118,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.5882352941176471,-0.05882352941176472,wait_no_outcomes,0
1,6,24,both_reachable,15,10,11,0.4,0.5333333333333333,0.0,0.06666666666666667,0.6666666666666666,0.7333333333333333,0.4666666666666667,0.2,0.26666666666666666,0.2,0.26666666666666666,0.4,0.6,0.06666666666666665,wait_no_outcomes,0
2,12,24,all,19,16,8,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.0,0.8421052631578947,0.42105263157894735,0.2631578947368421,0.5789473684210527,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.631578947368421,0.3684210526315789,-0.42105263157894735,wait_no_outcomes,0
2,12,24,both_reachable,18,15,8,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.0,0.8333333333333334,0.4444444444444444,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,-0.38888888888888895,wait_no_outcomes,0
3,18,24,all,18,12,4,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.6111111111111112,0.16666666666666666,0.05555555555555555,0.0,0.6111111111111112,0.3888888888888889,-0.4444444444444444,wait_no_outcomes,0
3,18,24,both_reachable,11,8,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.7272727272727273,0.2727272727272727,-0.36363636363636365,wait_no_outcomes,0
4,24,24,all,19,11,10,0.5263157894736842,0.3684210526315789,0.0,0.10526315789473684,0.5789473684210527,0.5263157894736842,0.21052631578947367,0.3684210526315789,0.3157894736842105,0.15789473684210525,0.05263157894736842,0.3684210526315789,0.631578947368421,-0.052631578947368474,wait_no_outcomes,0
4,24,24,both_reachable,16,9,10,0.5,0.4375,0.0,0.0625,0.5625,0.625,0.25,0.3125,0.375,0.1875,0.0625,0.3125,0.6875,0.0625,wait_no_outcomes,0
5,30,24,all,14,12,7,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.5,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.5,0.5,-0.3571428571428571,wait_no_outcomes,0
5,30,24,both_reachable,12,10,7,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.5833333333333334,0.5,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,-0.25,wait_no_outcomes,0
6,36,24,all,20,15,12,0.55,0.35,0.05,0.05,0.75,0.6,0.4,0.35,0.2,0.2,0.15,0.45,0.55,-0.15000000000000002,wait_no_outcomes,0
6,36,24,both_reachable,19,15,12,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.631578947368421,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.47368421052631576,0.5263157894736842,-0.1578947368421053,wait_no_outcomes,0
7,42,24,all,23,16,11,0.5652173913043478,0.43478260869565216,0.0,0.0,0.6956521739130435,0.4782608695652174,0.17391304347826086,0.5217391304347826,0.30434782608695654,0.043478260869565216,0.13043478260869565,0.4782608695652174,0.5217391304347826,-0.21739130434782605,wait_no_outcomes,0
7,42,24,both_reachable,17,10,11,0.4117647058823529,0.5882352941176471,0.0,0.0,0.5882352941176471,0.6470588235294118,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.5294117647058824,0.47058823529411764,0.05882352941176472,wait_no_outcomes,0
0,0,12,all,24,20,13,0.6666666666666666,0.3333333333333333,0.0,0.0,0.8333333333333334,0.5416666666666666,0.375,0.4583333333333333,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.4166666666666667,0.5833333333333334,-0.29166666666666674,followup_12,0
0,0,12,both_reachable,19,15,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.6842105263157895,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.42105263157894735,0.5789473684210527,-0.10526315789473684,followup_12,0
1,6,12,all,17,11,11,0.35294117647058826,0.5294117647058824,0.0,0.11764705882352941,0.6470588235294118,0.6470588235294118,0.4117647058823529,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.35294117647058826,0.6470588235294118,0.0,followup_12,0
1,6,12,both_reachable,15,9,11,0.26666666666666666,0.6,0.0,0.13333333333333333,0.6,0.7333333333333333,0.4666666666666667,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1333333333333333,followup_12,0
2,12,12,all,19,17,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.8947368421052632,0.3684210526315789,0.2631578947368421,0.631578947368421,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.5789473684210527,0.42105263157894735,-0.5263157894736843,followup_12,0
2,12,12,both_reachable,18,16,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.8888888888888888,0.3888888888888889,0.2777777777777778,0.6111111111111112,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.6111111111111112,0.3888888888888889,-0.49999999999999994,followup_12,0
3,18,12,all,18,14,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.7777777777777778,0.2222222222222222,0.05555555555555555,0.7222222222222222,0.16666666666666666,0.05555555555555555,0.0,0.5555555555555556,0.4444444444444444,-0.5555555555555556,followup_12,0
3,18,12,both_reachable,11,8,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.7272727272727273,0.36363636363636365,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.5454545454545454,0.45454545454545453,-0.36363636363636365,followup_12,0
4,24,12,all,19,14,9,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.47368421052631576,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.2631578947368421,followup_12,0
4,24,12,both_reachable,16,12,9,0.5,0.4375,0.0625,0.0,0.75,0.5625,0.3125,0.4375,0.25,0.0625,0.1875,0.375,0.625,-0.1875,followup_12,0
5,30,12,all,14,11,8,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.7857142857142857,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.5714285714285714,-0.2142857142857143,followup_12,0
5,30,12,both_reachable,12,9,8,0.5,0.4166666666666667,0.0,0.08333333333333333,0.75,0.6666666666666666,0.5,0.25,0.16666666666666666,0.25,0.25,0.4166666666666667,0.5833333333333334,-0.08333333333333337,followup_12,0
6,36,12,all,20,14,14,0.4,0.5,0.05,0.05,0.7,0.7,0.45,0.25,0.25,0.15,0.25,0.45,0.55,0.0,followup_12,0
6,36,12,both_reachable,19,14,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.7368421052631579,0.7368421052631579,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.47368421052631576,0.5263157894736842,0.0,followup_12,0
7,42,12,all,23,17,9,0.6521739130434783,0.34782608695652173,0.0,0.0,0.7391304347826086,0.391304347826087,0.13043478260869565,0.6086956521739131,0.2608695652173913,0.043478260869565216,0.08695652173913043,0.5217391304347826,0.4782608695652174,-0.3478260869565217,followup_12,0
7,42,12,both_reachable,17,11,9,0.5294117647058824,0.47058823529411764,0.0,0.0,0.6470588235294118,0.5294117647058824,0.17647058823529413,0.47058823529411764,0.35294117647058826,0.058823529411764705,0.11764705882352941,0.5882352941176471,0.4117647058823529,-0.11764705882352944,followup_12,0
0,0,48,all,24,21,14,0.6666666666666666,0.3333333333333333,0.0,0.0,0.875,0.5833333333333334,0.4583333333333333,0.4166666666666667,0.125,0.25,0.20833333333333334,0.4166666666666667,0.5833333333333334,-0.29166666666666663,followup_48,0
0,0,48,both_reachable,19,16,14,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8421052631578947,0.7368421052631579,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.5789473684210527,-0.10526315789473684,followup_48,0
1,6,48,all,17,16,12,0.47058823529411764,0.5294117647058824,0.0,0.0,0.9411764705882353,0.7058823529411765,0.6470588235294118,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.47058823529411764,-0.23529411764705876,followup_48,0
1,6,48,both_reachable,15,14,12,0.4,0.6,0.0,0.0,0.9333333333333333,0.8,0.7333333333333333,0.2,0.06666666666666667,0.2,0.5333333333333333,0.5333333333333333,0.4666666666666667,-0.1333333333333333,followup_48,0
2,12,48,all,19,18,7,0.7368421052631579,0.2631578947368421,0.0,0.0,0.9473684210526315,0.3684210526315789,0.3157894736842105,0.631578947368421,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.631578947368421,0.3684210526315789,-0.5789473684210527,followup_48,0
2,12,48,both_reachable,18,17,7,0.7222222222222222,0.2777777777777778,0.0,0.0,0.9444444444444444,0.3888888888888889,0.3333333333333333,0.6111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333,-0.5555555555555556,followup_48,0
3,18,48,all,18,16,5,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8888888888888888,0.2777777777777778,0.2222222222222222,0.6666666666666666,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,-0.611111111111111,followup_48,0
3,18,48,both_reachable,11,10,5,0.7272727272727273,0.2727272727272727,0.0,0.0,0.9090909090909091,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.7272727272727273,0.2727272727272727,-0.45454545454545453,followup_48,0
4,24,48,all,19,15,11,0.5789473684210527,0.3684210526315789,0.05263157894736842,0.0,0.7894736842105263,0.5789473684210527,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.631578947368421,-0.21052631578947367,followup_48,0
4,24,48,both_reachable,16,12,11,0.5,0.4375,0.0625,0.0,0.75,0.6875,0.4375,0.3125,0.25,0.1875,0.1875,0.375,0.625,-0.0625,followup_48,0
5,30,48,all,14,12,9,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.8571428571428571,0.6428571428571429,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,-0.2142857142857142,followup_48,0
5,30,48,both_reachable,12,10,9,0.5,0.4166666666666667,0.0,0.08333333333333333,0.8333333333333334,0.75,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5833333333333334,-0.08333333333333337,followup_48,0
6,36,48,all,20,16,14,0.4,0.5,0.05,0.05,0.8,0.7,0.55,0.25,0.15,0.15,0.35,0.45,0.55,-0.10000000000000009,followup_48,0
6,36,48,both_reachable,19,16,14,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.8421052631578947,0.7368421052631579,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.15789473684210525,0.3684210526315789,0.47368421052631576,0.5263157894736842,-0.10526315789473684,followup_48,0
7,42,48,all,23,18,11,0.6521739130434783,0.34782608695652173,0.0,0.0,0.782608695652174,0.4782608695652174,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.5652173913043478,0.43478260869565216,-0.30434782608695654,followup_48,0
7,42,48,both_reachable,17,12,11,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7058823529411765,0.6470588235294118,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.17647058823529413,0.6470588235294118,0.35294117647058826,-0.05882352941176472,followup_48,0
