case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,retired_at,scenario,seed
78:119,78,0,119,119.0,119.0,,121.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8402835358912755,False,0.5400192757424396,121.0,,no_remedy,,,44.0,44.0,-1,,objective_r0.6_f0_h96,8
40:120,40,0,120,120.0,120.0,,122.0,,,,123.0,,successful,unused,123.0,d,1.0,d,resolved,0.3930443732679474,False,0.5400192757424396,123.0,,remedy_supported,123.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
17:122,17,1,122,128.0,128.0,,130.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2671038329752553,False,0.6,130.0,,no_remedy,,,35.0,41.0,0,,objective_r0.6_f0_h96,8
66:123,66,1,123,123.0,123.0,,125.0,,,,126.0,,successful,unused,126.0,d,1.0,d,resolved,0.8456121016656699,True,0.6,126.0,,remedy_supported,126.0,3.0,3.0,3.0,0,,objective_r0.6_f0_h96,8
76:123,76,4,123,123.0,127.0,123.0,129.0,125.0,,125.0,130.0,126.0,successful,closed_unresolved,130.0,d,1.0,e,resolved,0.8555632676569258,True,0.5593429267840302,130.0,126.0,remedy_supported,130.0,7.0,7.0,7.0,1,,objective_r0.6_f0_h96,8
119:123,119,2,123,123.0,123.0,,125.0,,,,126.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.744673822479994,True,0.449602394594256,126.0,,remedy_supported,126.0,,40.0,40.0,1,,objective_r0.6_f0_h96,8
59:124,59,0,124,124.0,124.0,,127.0,,,,128.0,,successful,unused,128.0,d,1.0,d,resolved,0.7729778764350921,False,0.5400192757424396,128.0,,remedy_supported,128.0,4.0,4.0,4.0,-1,,objective_r0.6_f0_h96,8
97:127,97,3,127,127.0,127.0,,129.0,,,,130.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5458771133856907,False,0.4463873497952859,130.0,,remedy_supported,130.0,,36.0,36.0,-1,,objective_r0.6_f0_h96,8
50:131,50,0,131,131.0,131.0,,133.0,,,,134.0,,successful,unused,134.0,d,1.0,d,resolved,0.5895888693178997,False,0.5400192757424396,134.0,,remedy_supported,134.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
51:131,51,4,131,131.0,131.0,134.0,133.0,136.0,,136.0,,137.0,closed_unresolved,successful,137.0,e,1.0,d,resolved,0.8238860785577191,True,0.5593429267840302,133.0,137.0,no_remedy,,6.0,6.0,6.0,1,,objective_r0.6_f0_h96,8
48:132,48,3,132,132.0,132.0,,134.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.21733366852183444,False,0.4463873497952859,134.0,,no_remedy,,,31.0,31.0,-1,,objective_r0.6_f0_h96,8
81:132,81,3,132,132.0,132.0,,134.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2142284087671915,False,0.4463873497952859,134.0,,no_remedy,,,31.0,31.0,-1,,objective_r0.6_f0_h96,8
21:133,21,2,133,133.0,137.0,133.0,139.0,135.0,,135.0,,136.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.45537574138182024,True,0.449602394594256,139.0,136.0,no_remedy,,,30.0,30.0,1,,objective_r0.6_f0_h96,8
41:133,41,3,133,133.0,133.0,,135.0,,,,136.0,,successful,unused,136.0,d,1.0,d,resolved,0.9199976437280464,False,0.4463873497952859,136.0,,remedy_supported,136.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
94:133,94,4,133,133.0,133.0,,135.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4501487206674686,True,0.5593429267840302,135.0,,no_remedy,,,30.0,30.0,1,,objective_r0.6_f0_h96,8
16:135,16,5,135,135.0,135.0,,137.0,,,,138.0,,successful,unused,138.0,d,1.0,d,resolved,0.46190897685825444,True,0.4046480530839883,138.0,,remedy_supported,138.0,3.0,3.0,3.0,2,,objective_r0.6_f0_h96,8
50:135,50,0,135,135.0,135.0,,137.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5895888693178997,False,0.5400192757424396,137.0,,no_remedy,,,28.0,28.0,-1,,objective_r0.6_f0_h96,8
65:136,65,0,136,161.0,161.0,,163.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7419406420853412,False,0.5400192757424396,163.0,,no_remedy,,,2.0,27.0,-1,,objective_r0.6_f0_h96,8
107:136,107,1,136,136.0,140.0,136.0,142.0,138.0,,138.0,,139.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5162666602514325,True,0.6,142.0,139.0,no_remedy,,,27.0,27.0,0,,objective_r0.6_f0_h96,8
4:137,4,4,137,137.0,141.0,137.0,143.0,139.0,,139.0,,140.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.7159486947580829,True,0.5593429267840302,143.0,140.0,no_remedy,,,26.0,26.0,1,,objective_r0.6_f0_h96,8
12:137,12,4,137,137.0,137.0,,139.0,,,,140.0,,successful,unused,140.0,d,1.0,d,resolved,0.2234562552894052,True,0.5593429267840302,140.0,,remedy_supported,140.0,3.0,3.0,3.0,1,,objective_r0.6_f0_h96,8
23:137,23,5,137,137.0,137.0,,139.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.829974410522299,True,0.4046480530839883,139.0,,no_remedy,,,26.0,26.0,2,,objective_r0.6_f0_h96,8
33:137,33,3,137,137.0,137.0,,140.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4533965545653653,False,0.4463873497952859,140.0,,no_remedy,,,26.0,26.0,-1,,objective_r0.6_f0_h96,8
100:137,100,0,137,137.0,137.0,,140.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.20244459205851575,False,0.5400192757424396,140.0,,no_remedy,,,26.0,26.0,-1,,objective_r0.6_f0_h96,8
18:139,18,1,139,139.0,139.0,143.0,141.0,145.0,,,142.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.28946718381769776,True,0.6,142.0,145.0,remedy_supported,142.0,,24.0,24.0,0,,objective_r0.6_f0_h96,8
116:139,116,3,139,139.0,139.0,,141.0,,,,142.0,,successful,unused,142.0,d,1.0,d,resolved,0.8995272612853635,False,0.4463873497952859,142.0,,remedy_supported,142.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
55:142,55,5,142,142.0,,142.0,,144.0,,144.0,,145.0,unused,successful,145.0,e,1.0,e,resolved,0.729600322093813,True,0.4046480530839883,,145.0,,,3.0,3.0,3.0,2,,objective_r0.6_f0_h96,8
57:142,57,3,142,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.9334663000958463,False,0.4463873497952859,,,,,,,21.0,-1,,objective_r0.6_f0_h96,8
22:143,22,2,143,143.0,143.0,146.0,145.0,148.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.8050449118886296,True,0.449602394594256,145.0,148.0,no_remedy,,,20.0,20.0,1,,objective_r0.6_f0_h96,8
30:143,30,3,143,143.0,143.0,,145.0,,,,146.0,,successful,unused,146.0,d,1.0,d,resolved,0.8894816071664611,False,0.4463873497952859,146.0,,remedy_supported,146.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
39:143,39,0,143,143.0,143.0,,145.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.32233007161364857,False,0.5400192757424396,145.0,,no_remedy,,,20.0,20.0,-1,,objective_r0.6_f0_h96,8
71:144,71,0,144,144.0,144.0,,146.0,,,,147.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9112251813739414,False,0.5400192757424396,147.0,,remedy_supported,147.0,,19.0,19.0,-1,,objective_r0.6_f0_h96,8
118:145,118,0,145,145.0,145.0,,147.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7085258981020954,False,0.5400192757424396,147.0,,no_remedy,,,18.0,18.0,-1,,objective_r0.6_f0_h96,8
2:146,2,2,146,146.0,146.0,,148.0,,,,149.0,,successful,unused,149.0,d,1.0,d,resolved,0.9141429959951777,True,0.449602394594256,149.0,,remedy_supported,149.0,3.0,3.0,3.0,1,,objective_r0.6_f0_h96,8
31:146,31,0,146,146.0,146.0,,148.0,,,,149.0,,successful,unused,149.0,d,1.0,d,resolved,0.27672690321210713,False,0.5400192757424396,149.0,,remedy_supported,149.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
88:147,88,0,147,147.0,147.0,,149.0,,,,150.0,,successful,unused,150.0,d,1.0,d,resolved,0.44788858597485093,False,0.5400192757424396,150.0,,remedy_supported,150.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
110:148,110,4,148,148.0,,148.0,,150.0,,150.0,,151.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.3301881885157629,True,0.5593429267840302,,151.0,,,,15.0,15.0,1,,objective_r0.6_f0_h96,8
111:148,111,4,148,148.0,152.0,148.0,154.0,150.0,,150.0,,151.0,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.7636814179263458,True,0.5593429267840302,154.0,151.0,no_remedy,,,15.0,15.0,1,,objective_r0.6_f0_h96,8
74:149,74,1,149,149.0,149.0,,151.0,,,,152.0,,successful,unused,152.0,d,1.0,d,resolved,0.958006550180138,True,0.6,152.0,,remedy_supported,152.0,3.0,3.0,3.0,0,,objective_r0.6_f0_h96,8
31:151,31,0,151,151.0,151.0,,153.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.27672690321210713,False,0.5400192757424396,153.0,,no_remedy,,,12.0,12.0,-1,,objective_r0.6_f0_h96,8
104:151,104,4,151,151.0,,151.0,,153.0,,153.0,,154.0,unused,successful,154.0,e,1.0,e,resolved,0.5184727240833397,True,0.5593429267840302,,154.0,,,3.0,3.0,3.0,1,,objective_r0.6_f0_h96,8
80:152,80,3,152,152.0,152.0,,154.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.2209871424379875,False,0.4463873497952859,154.0,,no_remedy,,,11.0,11.0,-1,,objective_r0.6_f0_h96,8
91:152,91,4,152,152.0,152.0,,154.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.30897286162383575,True,0.5593429267840302,154.0,,no_remedy,,,11.0,11.0,1,,objective_r0.6_f0_h96,8
1:153,1,1,153,153.0,157.0,153.0,159.0,155.0,,155.0,160.0,156.0,successful,closed_unresolved,160.0,d,1.0,e,resolved,0.6089112227427,True,0.6,160.0,156.0,remedy_supported,160.0,7.0,7.0,7.0,0,,objective_r0.6_f0_h96,8
32:155,32,5,155,155.0,161.0,155.0,163.0,157.0,,,164.0,,awaiting_implementation,closed_unresolved,,,0.0,e,pending,0.8888091099045761,True,0.4046480530839883,,157.0,remedy_supported,,,8.0,8.0,2,,objective_r0.6_f0_h96,8
27:156,27,3,156,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.7838888489422338,False,0.4463873497952859,,,,,,,7.0,-1,,objective_r0.6_f0_h96,8
51:156,51,4,156,158.0,162.0,158.0,,160.0,,160.0,,161.0,submitted,closed_unresolved,,,0.0,e,pending,0.8238860785577191,True,0.5593429267840302,,161.0,,,,5.0,7.0,1,,objective_r0.6_f0_h96,8
10:157,10,3,157,,,,,,,,,,unused,unused,,,0.0,,unsubmitted,0.8107279275110593,False,0.4463873497952859,,,,,,,6.0,-1,,objective_r0.6_f0_h96,8
9:158,9,1,158,158.0,158.0,,160.0,,,,161.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4138919045284671,True,0.6,161.0,,remedy_supported,161.0,,5.0,5.0,0,,objective_r0.6_f0_h96,8
79:158,79,2,158,158.0,161.0,158.0,163.0,160.0,,160.0,164.0,161.0,awaiting_implementation,closed_unresolved,,,0.0,e,pending,0.7460473675476234,True,0.449602394594256,,161.0,remedy_supported,,,5.0,5.0,1,,objective_r0.6_f0_h96,8
84:158,84,1,158,158.0,,158.0,,160.0,,160.0,,161.0,unused,successful,161.0,e,1.0,e,resolved,0.46383421658579754,True,0.6,,161.0,,,3.0,3.0,3.0,0,,objective_r0.6_f0_h96,8
42:159,42,4,159,159.0,159.0,,161.0,,,,162.0,,successful,unused,162.0,d,1.0,d,resolved,0.25402351823252733,True,0.5593429267840302,162.0,,remedy_supported,162.0,3.0,3.0,3.0,1,,objective_r0.6_f0_h96,8
16:160,16,5,160,160.0,,160.0,,162.0,,162.0,,163.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.46190897685825444,True,0.4046480530839883,,163.0,,,,3.0,3.0,2,,objective_r0.6_f0_h96,8
67:160,67,0,160,160.0,160.0,,162.0,,,,163.0,,successful,unused,163.0,d,1.0,d,resolved,0.486996511567958,False,0.5400192757424396,163.0,,remedy_supported,163.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
85:161,85,5,161,161.0,161.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.6341707105229692,True,0.4046480530839883,,,,,,2.0,2.0,2,,objective_r0.6_f0_h96,8
59:162,59,0,162,162.0,162.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.7729778764350921,False,0.5400192757424396,,,,,,1.0,1.0,-1,,objective_r0.6_f0_h96,8
92:162,92,1,162,162.0,162.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.970339781108432,True,0.6,,,,,,1.0,1.0,0,,objective_r0.6_f0_h96,8
55:163,55,5,163,163.0,163.0,,,,,,,,submitted,unused,,,0.0,d,pending,0.729600322093813,True,0.4046480530839883,,,,,,0.0,0.0,2,,objective_r0.6_f0_h96,8
84:163,84,1,163,163.0,,163.0,,,,,,,unused,submitted,,,0.0,e,pending,0.46383421658579754,True,0.6,,,,,,0.0,0.0,0,,objective_r0.6_f0_h96,8
