scenario,contrast,metric,n,mean,low,high
information_r0.0_f1,late_minus_before,d_to_e,20,0.015718145616909825,0.0024760024709985645,0.03177016727252686
information_r0.0_f1,late_minus_early_after,d_to_e,20,-0.0025143506344709157,-0.016277448818284454,0.011780287014133283
information_r0.0_f1,late_minus_before,resolved,20,0.005770663719177489,-0.04486075942346201,0.05471618251965122
information_r0.0_f1,late_minus_early_after,resolved,20,-0.006943351316579964,-0.05498236636060856,0.03939972006226629
information_r0.0_f1,late_minus_before,unresolved,20,-0.005770663719177488,-0.05471618251965122,0.04486075942346197
information_r0.0_f1,late_minus_early_after,unresolved,20,0.006943351316579943,-0.03939972006226634,0.05498236636060855
information_r0.0_f1,late_minus_before,potential,20,-0.75,-4.4,3.05
information_r0.0_f1,late_minus_early_after,potential,20,-1.6,-6.7,3.6
information_r0.0_f1,late_minus_before,blocked,20,4.5,1.5,7.35
information_r0.0_f1,late_minus_early_after,blocked,20,-0.15,-3.2512499999999998,2.8
information_r0.0_f1,late_minus_before,prevented,20,3.75,1.9,5.75
information_r0.0_f1,late_minus_early_after,prevented,20,-3.55,-6.2,-0.9
information_r0.0_f1,late_minus_before,mean_prevention,20,0.10748005523586115,0.06930045679909262,0.1456695475358016
information_r0.0_f1,late_minus_early_after,mean_prevention,20,-0.06656849593787972,-0.10360368905052036,-0.02455797142869646
information_r0.0_f1,late_minus_before,knowledge_share,20,0.17083333333333334,0.15583333333333332,0.18666666666666668
information_r0.0_f1,late_minus_early_after,knowledge_share,20,0.0,0.0,0.0
information_r0.0_f1,shock_difference_in_changes,cases,20,-1.2,-2.45,-0.05
information_r0.0_f1,shock_difference_in_changes,customer_users,20,2.1,1.2,3.05
information_r0.0_f1,shock_difference_in_changes,customer_employees,20,2.0,1.15,2.9
information_r0.0_f1,shock_difference_in_changes,domestic_use,20,-0.01645813069810308,-0.028512030510489575,-0.005716200150534807
information_r0.0_f1,shock_difference_in_changes,customer_use,20,0.06597357937700184,0.043331839554983057,0.0908457514771409
information_r0.0_f1,shock_difference_in_changes,both_use,20,0.035662884815573774,0.017603082905548798,0.05613298403214167
information_r0.0_f1,shock_difference_in_changes,first_customer,20,0.0559843256043754,0.03620703188844446,0.07622085132185753
information_r0.0_f1,shock_difference_in_changes,d_to_e,20,0.008878142661515325,-0.00022295752678947275,0.01951576199478508
information_r0.0_f1,shock_difference_in_changes,resolved,20,-0.0023028199669289026,-0.01759734377863498,0.013258420421075499
information_r0.0_f1,shock_difference_in_changes,unresolved,20,0.002302819966928882,-0.013258420421075563,0.017597343778634984
information_r0.0_f1,shock_difference_in_changes,potential,20,0.0,0.0,0.0
information_r0.0_f1,shock_difference_in_changes,blocked,20,-1.55,-2.6512499999999997,-0.55
information_r0.0_f1,shock_difference_in_changes,prevented,20,2.75,1.74875,3.95
information_r0.0_f1,shock_difference_in_changes,mean_prevention,20,0.07969139919267061,0.051759219098482176,0.10930979528368233
information_r0.0_f1,shock_difference_in_changes,knowledge_share,20,0.17083333333333334,0.15583333333333332,0.18666666666666668
information_r0.6_f0,late_minus_before,cases,20,-7.85,-11.3,-4.45
information_r0.6_f0,late_minus_early_after,cases,20,-0.35,-4.05125,3.651249999999993
information_r0.6_f0,late_minus_before,customer_users,20,-3.55,-5.75,-1.298750000000007
information_r0.6_f0,late_minus_early_after,customer_users,20,0.15,-2.6512499999999997,2.9
information_r0.6_f0,late_minus_before,customer_employees,20,-2.55,-4.85,-0.25
information_r0.6_f0,late_minus_early_after,customer_employees,20,0.6,-1.85,3.05
information_r0.6_f0,late_minus_before,domestic_use,20,0.008663250903095065,-0.021584816436324667,0.038257480832096936
information_r0.6_f0,late_minus_early_after,domestic_use,20,-0.009548612269825008,-0.04308663110581101,0.026245802681933123
information_r0.6_f0,late_minus_before,customer_use,20,0.006424617698878632,-0.02426758819639958,0.038944304489109384
information_r0.6_f0,late_minus_early_after,customer_use,20,-0.0007798710563719974,-0.05279876404447004,0.05055332991220116
information_r0.6_f0,late_minus_before,both_use,20,0.010610112340159145,-0.017269399851331347,0.04073891071655995
information_r0.6_f0,late_minus_early_after,both_use,20,-0.014191254313499971,-0.052968861130814664,0.026270043634342478
information_r0.6_f0,late_minus_before,first_customer,20,0.006958276638108313,-0.033898151353984676,0.04619618599728913
information_r0.6_f0,late_minus_early_after,first_customer,20,0.01655831778057972,-0.03202302716477225,0.06000238956572628
information_r0.6_f0,late_minus_before,d_to_e,20,-0.00132129613881211,-0.03454128311467939,0.029174015859447736
information_r0.6_f0,late_minus_early_after,d_to_e,20,-0.01759883455131902,-0.04136277500436224,0.0059734701734198035
information_r0.6_f0,late_minus_before,resolved,20,-0.01520087209497414,-0.06608746901739736,0.04231571676989138
information_r0.6_f0,late_minus_early_after,resolved,20,-2.094487698655334e-05,-0.05724311269534783,0.05937648101570273
information_r0.6_f0,late_minus_before,unresolved,20,0.015200872094974175,-0.042315716769891334,0.0660874690173974
information_r0.6_f0,late_minus_early_after,unresolved,20,2.094487698654224e-05,-0.05937648101570281,0.0572431126953478
information_r0.6_f0,late_minus_before,potential,20,-0.75,-4.4,3.05
information_r0.6_f0,late_minus_early_after,potential,20,-1.6,-6.7,3.6
information_r0.6_f0,late_minus_before,blocked,20,7.1,4.25,9.851249999999993
information_r0.6_f0,late_minus_early_after,blocked,20,-1.25,-4.85,1.9
information_r0.6_f0,late_minus_before,prevented,20,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,prevented,20,0.0,0.0,0.0
information_r0.6_f0,late_minus_before,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,late_minus_before,knowledge_share,20,0.0,0.0,0.0
information_r0.6_f0,late_minus_early_after,knowledge_share,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,cases,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_users,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_employees,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,domestic_use,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,customer_use,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,both_use,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,first_customer,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,d_to_e,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,resolved,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,unresolved,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,potential,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,blocked,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,prevented,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f0,shock_difference_in_changes,knowledge_share,20,0.0,0.0,0.0
information_r0.6_f1,late_minus_before,cases,20,-3.95,-8.2,0.3
information_r0.6_f1,late_minus_early_after,cases,20,-0.2,-3.8012499999999996,4.0
information_r0.6_f1,late_minus_before,customer_users,20,-1.7,-4.05,0.6512499999999932
information_r0.6_f1,late_minus_early_after,customer_users,20,-0.4,-2.8,2.15
information_r0.6_f1,late_minus_before,customer_employees,20,-1.55,-3.9,0.85
information_r0.6_f1,late_minus_early_after,customer_employees,20,-0.4,-2.9012499999999997,2.15
information_r0.6_f1,late_minus_before,domestic_use,20,-0.006701335833313726,-0.05383564499047033,0.03885791375902884
information_r0.6_f1,late_minus_early_after,domestic_use,20,-0.007396637982651328,-0.07682015732458003,0.06132544038427997
information_r0.6_f1,late_minus_before,customer_use,20,0.00015573326264782666,-0.042178433788122735,0.04157009457589906
information_r0.6_f1,late_minus_early_after,customer_use,20,-0.01171317353092859,-0.061732165681262496,0.03901341680785696
information_r0.6_f1,late_minus_before,both_use,20,-0.001724790213215212,-0.042030392340464705,0.03991452927097705
information_r0.6_f1,late_minus_early_after,both_use,20,-0.010703124125758553,-0.059068898389196614,0.037604907348854216
information_r0.6_f1,late_minus_before,first_customer,20,0.011727471795711134,-0.028325550158073604,0.05250354236694947
information_r0.6_f1,late_minus_early_after,first_customer,20,-0.007678931347617837,-0.054711395606119845,0.036264867853413374
information_r0.6_f1,late_minus_before,d_to_e,20,-0.010897145682497325,-0.04824815288263006,0.02543835248775838
information_r0.6_f1,late_minus_early_after,d_to_e,20,-0.010080015779487568,-0.04962008245969723,0.02659927980814483
information_r0.6_f1,late_minus_before,resolved,20,0.010085772800575234,-0.042086657810405596,0.06655853579942748
information_r0.6_f1,late_minus_early_after,resolved,20,-0.02035645251491404,-0.0756788766893517,0.03617562495060461
information_r0.6_f1,late_minus_before,unresolved,20,-0.010085772800575227,-0.06655853579942747,0.04208665781040557
information_r0.6_f1,late_minus_early_after,unresolved,20,0.020356452514914063,-0.03617562495060462,0.07567887668935169
information_r0.6_f1,late_minus_before,potential,20,-0.75,-4.4,3.05
information_r0.6_f1,late_minus_early_after,potential,20,-1.6,-6.7,3.6
information_r0.6_f1,late_minus_before,blocked,20,3.3,0.6,5.95
information_r0.6_f1,late_minus_early_after,blocked,20,-0.95,-3.75,1.6
information_r0.6_f1,late_minus_before,prevented,20,-0.1,-3.85,3.7012499999999933
information_r0.6_f1,late_minus_early_after,prevented,20,-0.45,-4.75,3.85
information_r0.6_f1,late_minus_before,mean_prevention,20,0.031709391616218344,-0.02407708367901086,0.08744619530770609
information_r0.6_f1,late_minus_early_after,mean_prevention,20,0.026583037749046308,-0.03802872363673366,0.09132481826813302
information_r0.6_f1,late_minus_before,knowledge_share,20,0.0,0.0,0.0
information_r0.6_f1,late_minus_early_after,knowledge_share,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,cases,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_users,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_employees,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,domestic_use,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,customer_use,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,both_use,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,first_customer,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,d_to_e,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,resolved,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,unresolved,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,potential,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,blocked,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,prevented,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,mean_prevention,20,0.0,0.0,0.0
information_r0.6_f1,shock_difference_in_changes,knowledge_share,20,0.0,0.0,0.0
none_r0.0_f0,late_minus_before,cases,20,-8.4,-11.55,-5.2487500000000065
none_r0.0_f0,late_minus_early_after,cases,20,-1.6,-5.15,1.95
none_r0.0_f0,late_minus_before,customer_users,20,0.0,-0.75,0.7
none_r0.0_f0,late_minus_early_after,customer_users,20,-0.05,-0.7,0.65
