block,treatment,control,metric,mean_difference,sd_difference,n,se_difference
closed_cohort,immediate,no_notice,post_first_e,,,0,
closed_cohort,immediate,no_notice,post_first_both,,,0,
closed_cohort,immediate,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
closed_cohort,immediate,no_notice,customer_share_all_cases,0.0,0.0,2,0.0
closed_cohort,immediate,no_notice,unresolved_fraction,0.0,0.0,2,0.0
closed_cohort,immediate,no_notice,post_customer_submissions,0.0,0.0,2,0.0
closed_cohort,network_notice,no_notice,post_mean_belief_d,0.20879999999999996,0.003818376618407368,2,0.002700000000000008
closed_cohort,network_notice,no_notice,post_first_e,,,0,
closed_cohort,network_notice,no_notice,post_first_both,,,0,
closed_cohort,network_notice,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
closed_cohort,network_notice,no_notice,customer_share_all_cases,0.0,0.0,2,0.0
closed_cohort,network_notice,no_notice,unresolved_fraction,0.0,0.0,2,0.0
closed_cohort,network_notice,no_notice,post_customer_submissions,0.0,0.0,2,0.0
closed_cohort,immediate,network_notice,post_mean_belief_d,0.06675416666666667,0.0049084995727365875,2,0.003470833333333312
closed_cohort,immediate,network_notice,post_first_e,,,0,
closed_cohort,immediate,network_notice,post_first_both,,,0,
closed_cohort,immediate,network_notice,pre_domestic_later_e,0.0,0.0,2,0.0
closed_cohort,immediate,network_notice,customer_share_all_cases,0.0,0.0,2,0.0
closed_cohort,immediate,network_notice,unresolved_fraction,0.0,0.0,2,0.0
closed_cohort,immediate,network_notice,post_customer_submissions,0.0,0.0,2,0.0
network_ws,no_notice,unchanged,post_mean_belief_d,0.0026037073006831,0.00011793698827138232,2,8.339404415941276e-05
network_ws,no_notice,unchanged,post_first_e,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
network_ws,no_notice,unchanged,post_first_both,-0.0069444444444444475,0.009820927516479831,2,0.0069444444444444475
network_ws,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,2,0.0
network_ws,no_notice,unchanged,customer_share_all_cases,-0.022875816993464027,0.03235129064252175,2,0.022875816993464027
network_ws,no_notice,unchanged,unresolved_fraction,-0.06342840166369573,0.0388635634341982,2,0.027480689245395096
network_ws,no_notice,unchanged,post_customer_submissions,0.0,0.0,2,0.0
network_ws,immediate,no_notice,post_mean_belief_d,0.27007058686035945,0.001927214544155762,2,0.00136274647297388
network_ws,immediate,no_notice,post_first_e,-0.2222222222222222,0.31426968052735443,2,0.22222222222222218
network_ws,immediate,no_notice,post_first_both,0.05555555555555555,0.07856742013183861,2,0.055555555555555546
network_ws,immediate,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ws,immediate,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ws,immediate,no_notice,unresolved_fraction,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ws,immediate,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
network_ws,network_notice,no_notice,post_mean_belief_d,0.20935392019369273,0.006334846813551972,2,0.004479413139640592
network_ws,network_notice,no_notice,post_first_e,-0.2222222222222222,0.31426968052735443,2,0.22222222222222218
network_ws,network_notice,no_notice,post_first_both,0.05555555555555555,0.07856742013183861,2,0.055555555555555546
network_ws,network_notice,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ws,network_notice,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ws,network_notice,no_notice,unresolved_fraction,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ws,network_notice,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
network_ws,immediate,network_notice,post_mean_belief_d,0.0607166666666667,0.00440763226939621,2,0.0031166666666667116
network_ws,immediate,network_notice,post_first_e,0.0,0.0,2,0.0
network_ws,immediate,network_notice,post_first_both,0.0,0.0,2,0.0
network_ws,immediate,network_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ws,immediate,network_notice,customer_share_all_cases,0.0,0.0,2,0.0
network_ws,immediate,network_notice,unresolved_fraction,0.0,0.0,2,0.0
network_ws,immediate,network_notice,post_customer_submissions,0.0,0.0,2,0.0
network_ba,no_notice,unchanged,post_mean_belief_d,0.0037554359382415137,0.0002976872293717959,2,0.00021049665856143204
network_ba,no_notice,unchanged,post_first_e,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
network_ba,no_notice,unchanged,post_first_both,0.0,0.0,2,0.0
network_ba,no_notice,unchanged,pre_domestic_later_e,0.0,0.0,2,0.0
network_ba,no_notice,unchanged,customer_share_all_cases,-0.022875816993464027,0.03235129064252175,2,0.022875816993464027
network_ba,no_notice,unchanged,unresolved_fraction,-0.06342840166369573,0.0388635634341982,2,0.027480689245395096
network_ba,no_notice,unchanged,post_customer_submissions,0.0,0.0,2,0.0
network_ba,immediate,no_notice,post_mean_belief_d,0.2689553726248839,0.0012298388281000879,2,0.0008696273751160888
network_ba,immediate,no_notice,post_first_e,-0.2222222222222222,0.31426968052735443,2,0.22222222222222218
network_ba,immediate,no_notice,post_first_both,0.05555555555555555,0.07856742013183861,2,0.055555555555555546
network_ba,immediate,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ba,immediate,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ba,immediate,no_notice,unresolved_fraction,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
network_ba,immediate,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
network_ba,network_notice,no_notice,post_mean_belief_d,0.19902070108691683,0.019239384029459867,2,0.013604298913083235
network_ba,network_notice,no_notice,post_first_e,-0.16666666666666666,0.23570226039551584,2,0.16666666666666666
network_ba,network_notice,no_notice,post_first_both,0.0,0.0,2,0.0
network_ba,network_notice,no_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ba,network_notice,no_notice,customer_share_all_cases,-0.05555555555555558,0.07856742013183865,2,0.05555555555555558
network_ba,network_notice,no_notice,unresolved_fraction,0.0,0.0,2,0.0
network_ba,network_notice,no_notice,post_customer_submissions,-1.0,1.4142135623730951,2,1.0
network_ba,immediate,network_notice,post_mean_belief_d,0.06993467153796706,0.018009545201359778,2,0.012734671537967144
network_ba,immediate,network_notice,post_first_e,-0.05555555555555555,0.07856742013183861,2,0.055555555555555546
network_ba,immediate,network_notice,post_first_both,0.05555555555555555,0.07856742013183861,2,0.055555555555555546
network_ba,immediate,network_notice,pre_domestic_later_e,0.0,0.0,2,0.0
network_ba,immediate,network_notice,customer_share_all_cases,0.0,0.0,2,0.0
network_ba,immediate,network_notice,unresolved_fraction,-0.02777777777777779,0.039283710065919325,2,0.02777777777777779
network_ba,immediate,network_notice,post_customer_submissions,0.0,0.0,2,0.0
