time,case_id,employee,selected,material_known,social_d,social_e,p_d,p_e,cost_d,cost_e,utilities
0,0:0,0,d,False,0.0,0.0,0.6849269699863758,0.5718186550998077,0.1483707952442035,0.27587969446165017,wait:0.000000;d:0.468286;e:0.238943;d+e:0.369760
0,1:0,1,d+e,False,0.0,0.0,0.369650571145668,0.4442033780125183,0.11649237148500251,0.17870348057465263,wait:0.000000;d:0.216313;e:0.221224;d+e:0.284439
0,3:0,3,d,False,0.0,0.0,0.6216450067394355,0.45000433595911826,0.11447867665375151,0.3775813505449553,wait:0.000000;d:0.445204;e:0.027569;d+e:0.226017
0,5:0,5,d,False,0.0,0.0,0.46352023428589695,0.2533268475780157,0.1609773507552331,0.3021323944895209,wait:0.000000;d:0.256341
0,6:0,6,e,False,0.0,0.0,0.5656081333859838,0.6296630268680814,0.22951785411666392,0.2675680860468209,wait:0.000000;d:0.279713;e:0.299333;d+e:0.270362
0,7:0,7,d+e,False,0.0,0.0,0.6195015022100783,0.5782926605303993,0.2039393136927115,0.21007926007053504,wait:0.000000;d:0.353813;e:0.310572;d+e:0.353991
0,8:0,8,d,False,0.0,0.0,0.42224487806266675,0.30087684618893723,0.09743626015620943,0.3270836536953683,wait:0.000000;d:0.282721;e:-0.056197;d+e:0.103545
0,10:0,10,e,False,0.0,0.0,0.5288431740927177,0.6592945002124544,0.2200923526510588,0.2973293003305126,wait:0.000000;d:0.256038;e:0.296250;d+e:0.249667
0,11:0,11,d,False,0.0,0.0,0.657146533296191,0.3622355586349244,0.11254230858288973,0.15467226241520335,wait:0.000000;d:0.479103
0,12:0,12,d,False,0.0,0.0,0.7437817987812785,0.49346504317624446,0.2378376446886984,0.3113206276857364,wait:0.000000;d:0.431807;e:0.132958;d+e:0.247256
0,15:0,15,d,False,0.0,0.0,0.5815402376273212,0.3069852861702659,0.12013139547880683,0.36885322864169034,wait:0.000000;d:0.403444;e:-0.092467;d+e:0.146268
0,16:0,16,d,False,0.0,0.0,0.6713353420972463,0.29731010526990487,0.2005787070626945,0.1929285768508154,wait:0.000000;d:0.403841
0,17:0,17,d,False,0.0,0.0,0.5319935126913222,0.581685672269076,0.253902026142052,0.30760713930070754,wait:0.000000;d:0.225065;e:0.216099;d+e:0.170326
0,19:0,19,d,False,0.0,0.0,0.7251883343647291,0.39294170293720576,0.134934236822975,0.22963360758369958,wait:0.000000;d:0.517971;e:0.124141;d+e:0.391131
0,20:0,20,d,False,0.0,0.0,0.6195092762977208,0.4194825053122554,0.1422286741409436,0.34279558387592546,wait:0.000000;d:0.415531;e:0.034875;d+e:0.219756
0,21:0,21,d+e,False,0.0,0.0,0.5103334540765462,0.37973614041483306,0.2492249358685547,0.16274712510260736,wait:0.000000;d:0.210241;e:0.179139;d+e:0.212295
0,22:0,22,d,False,0.0,0.0,0.5249099051021684,0.42564057089046453,0.1072317536866028,0.38624423250672224,wait:0.000000;d:0.365358;e:-0.003030;d+e:0.161225
0,24:0,24,d,False,0.0,0.0,0.6684423983588719,0.47538500790303767,0.26239716001572394,0.36884069536487507,wait:0.000000;d:0.339418;e:0.059160;d+e:0.121001
0,27:0,27,d,False,0.0,0.0,0.6925893067107659,0.710568780748708,0.15779028109324086,0.3684614046068823,wait:0.000000;d:0.465765;e:0.271281;d+e:0.318131
0,30:0,30,d,False,0.0,0.0,0.6113152525564188,0.4735765040408436,0.10568988529152609,0.2968595249016314,wait:0.000000;d:0.444692;e:0.129513;d+e:0.319537
0,31:0,31,d,False,0.0,0.0,0.639231730984955,0.5380352926026235,0.15877040446700252,0.19435374724412033,wait:0.000000;d:0.416746;e:0.290053;d+e:0.408015
0,35:0,35,d,False,0.0,0.0,0.5686148129675394,0.38905035612887995,0.11359345932382238,0.17179398486241937,wait:0.000000;d:0.398344;e:0.178478;d+e:0.377505
0,37:0,37,d,False,0.0,0.0,0.6566398133866089,0.6129974511126928,0.23900283811741982,0.19726177659029454,wait:0.000000;d:0.352186
0,39:0,39,d,False,0.0,0.0,0.4294577007052264,0.40123949032886885,0.11278642516549683,0.3142410343455689,wait:0.000000;d:0.273865;e:0.047005;d+e:0.161193
0,42:0,42,e,False,0.0,0.0,0.3646625997759556,0.5105886369637994,0.20447239480110982,0.16482639385390188,wait:0.000000;d:0.123842;e:0.294869;d+e:0.247787
0,45:0,45,d,False,0.0,0.0,0.6827854347063236,0.45394720501878394,0.2439703896260991,0.1661164392776034,wait:0.000000;d:0.370758;e:0.242583;d+e:0.342102
0,46:0,46,e,False,0.0,0.0,0.4624714799644148,0.7309985354481863,0.18523664050489752,0.15567554392335484,wait:0.000000;d:0.231138;e:0.502460;d+e:0.439567
0,49:0,49,d,False,0.0,0.0,0.5412220236875722,0.6798721126082481,0.20702198292046725,0.3550969080079869,wait:0.000000;d:0.280253;e:0.257009;d+e:0.218998
0,50:0,50,d,False,0.0,0.0,0.3887471694008642,0.2959172141010521,0.2088022698026999,0.2124178474471884,wait:0.000000;d:0.141196;e:0.054004;d+e:0.081953
0,52:0,52,d,False,0.0,0.0,0.6875190938505968,0.4955726152694713,0.2476619091839592,0.2339709438701195,wait:0.000000;d:0.371328;e:0.212205;d+e:0.287355
0,54:0,54,e,False,0.0,0.0,0.36049733782908744,0.4941374144931259,0.25533682668695057,0.3412197200125101,wait:0.000000;d:0.069228;e:0.103664;d+e:0.008498
0,57:0,57,d,False,0.0,0.0,0.41748125850063994,0.4750127356804588,0.11110206952865519,0.17145316688890727,wait:0.000000;d:0.264767
0,58:0,58,d,False,0.0,0.0,0.6198457129212576,0.4353534693538916,0.24863939297565013,0.20532809497258347,wait:0.000000;d:0.309423;e:0.186631;d+e:0.257316
0,59:0,59,d,False,0.0,0.0,0.7002922637422113,0.5788467127456309,0.23509445490004036,0.40267072128357945,wait:0.000000;d:0.395396;e:0.118479;d+e:0.165295
