scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
delayed,2,49,0,0,0,0,3,0,0,89,89,92,3,3,3,0,0,0,0,89,0.03260869565217391,0.0,5.146067415730337,1.0,0.0,0.0
delayed,3,49,0,0,0,0,83,0,0,6,6,89,83,83,83,0,0,0,0,6,0.9325842696629213,0.0,4.666666666666667,1.0,0.0,0.0
delayed,4,49,0,0,0,0,3,0,0,99,99,102,3,3,3,0,0,0,0,99,0.029411764705882353,0.0,5.656565656565657,1.0,0.0,0.0
delayed,5,49,0,0,0,0,1,0,0,95,95,96,1,1,1,0,0,0,0,95,0.010416666666666666,0.0,5.505263157894737,1.0,0.0,0.0
delayed,6,49,0,0,0,0,7,0,0,87,87,94,7,7,7,0,0,0,0,87,0.07446808510638298,0.0,5.609195402298851,1.0,0.0,0.0
delayed,7,49,0,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,5.552941176470588,1.0,0.0,0.0
delayed,8,49,0,0,0,0,4,0,0,95,95,99,4,4,4,0,0,0,0,95,0.04040404040404041,0.0,5.484210526315789,1.0,0.0,0.0
delayed,9,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,4.979381443298969,1.0,0.0,0.0
delayed,10,49,0,0,0,0,6,0,0,91,91,97,6,6,6,0,0,0,0,91,0.061855670103092786,0.0,5.747252747252747,1.0,0.0,0.0
delayed,11,49,0,0,0,0,7,0,0,78,78,85,7,7,7,0,0,0,0,78,0.08235294117647059,0.0,5.256410256410256,1.0,0.0,0.0
delayed,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,6.0,1.0,0.0,0.0
delayed,13,49,0,0,0,0,3,0,0,93,93,96,3,3,3,0,0,0,0,93,0.03125,0.0,5.301075268817204,1.0,0.0,0.0
