,unresolved,unresolved,unresolved,pending,pending,pending,cumulative_complainants,cumulative_complainants,cumulative_complainants,cumulative_resolved,cumulative_resolved,cumulative_resolved,total_submitted,total_submitted,total_submitted,unresolved_fraction,unresolved_fraction,unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,mean_processing_time,mean_processing_time,domestic_case_share,domestic_case_share,domestic_case_share,external_case_share,external_case_share,external_case_share,multi_case_share,multi_case_share,multi_case_share
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect_0,94.6,6.047182902197648,20,82.15,25.590448464838968,20,82.15,25.590448464838968,20,0.0,0.0,20,82.15,25.590448464838968,20,1.0,0.0,20,1.0,0.0,20,,,0,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
effect_high,20.7,23.706761194135932,20,0.0,0.0,20,73.9,26.41749818825234,20,73.9,26.41749818825234,20,73.9,26.41749818825234,20,0.2251363140397103,0.26028801179064215,20,0.0,0.0,20,0.3074579149006487,0.17413509461663923,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
effect_low,16.65,24.000603062598678,20,0.0,0.0,20,77.95,26.766976904977128,20,77.95,26.766976904977128,20,77.95,26.766976904977128,20,0.18234361254471682,0.26206793447804816,20,0.0,0.0,20,5.281430197530784,1.3940952919785863,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
immediate,20.0,24.04819721878719,20,0.0,0.0,20,74.6,26.815941841414134,20,74.6,26.815941841414134,20,74.6,26.815941841414134,20,0.21797704942966295,0.2639004753081301,20,0.0,0.0,20,1.3346630353331927,0.45194959896738224,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
legacy_delayed,14.45,23.694269793615323,20,0.0,0.0,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,80.15,25.92758133116567,20,0.1572983695063774,0.25686741666414226,20,0.0,0.0,20,5.25046229199844,0.40968584566904015,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
legacy_immediate,81.2,9.939818911831342,20,0.0,0.0,20,13.4,8.413022487098264,20,13.4,8.413022487098264,20,13.4,8.413022487098264,20,0.8583418153236376,0.08894748421818195,20,0.0,0.0,20,0.7067447763794512,0.4974100844560254,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
legacy_no_response,94.6,6.047182902197648,20,82.15,25.590448464838968,20,82.15,25.590448464838968,20,0.0,0.0,20,82.15,25.590448464838968,20,1.0,0.0,20,1.0,0.0,20,,,0,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
new_on,74.8,21.34577488083199,20,2.0,4.400956833761446,20,113.1,15.224288074272012,20,146.75,26.59219315592652,20,148.75,28.98978949107499,20,0.3387508043645947,0.10525710386591908,20,0.011139097657254512,0.021642136489141418,20,1.5482889230421812,0.36666008203231576,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
new_on_delayed,73.55,15.267698961498661,20,11.2,13.671329970339196,20,120.7,9.915962675881433,20,143.0,15.731296329626694,20,154.2,22.97733436969663,20,0.33859575644011264,0.06639922003515465,20,0.06532845073075275,0.0715828930172251,20,5.408576666962057,0.3135022969672788,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
new_on_prevention,62.8,13.185318789431955,20,0.4,0.6805570473787206,20,92.15,23.600345670974264,20,103.65,26.38635013949846,20,104.05,26.402701217469158,20,0.3861490445370913,0.11881993833740984,20,0.00406267613349988,0.0068169094076169535,20,1.451753426708648,0.4141311149381451,20,1.0,0.0,20,0.0,0.0,20,0.0,0.0,20
