treatment,control,metric,mean_difference,sd_difference,n
domestic_0.35_help_on,domestic_0.35_help_off,visible_customer,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,unique_submitted_cases,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,unique_domestic_cases,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,unique_customer_cases,0.05,0.22360679774997894,20
domestic_0.35_help_on,domestic_0.35_help_off,multi_cases,0.05,0.22360679774997894,20
domestic_0.35_help_on,domestic_0.35_help_off,customer_share_all_cases,0.0007246376811594236,0.003240678228260579,20
domestic_0.35_help_on,domestic_0.35_help_off,customer_share_submitted,0.0007246376811594236,0.003240678228260579,20
domestic_0.35_help_on,domestic_0.35_help_off,domestic_share_submitted,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,first_domestic_share,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,first_customer_share,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,first_both_share,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,no_submission_share,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,domestic_then_customer_share,0.001063829787234044,0.004757591441488921,20
domestic_0.35_help_on,domestic_0.35_help_off,mean_escalation_time,0.009342105263157884,0.04177916484275918,20
domestic_0.35_help_on,domestic_0.35_help_off,external_path_trigger_rate,0.0422755778866179,0.028013707324395662,20
domestic_0.35_help_on,domestic_0.35_help_off,external_user_case_resolution_rate,0.04109836669468053,0.026661502657013718,20
domestic_0.35_help_on,domestic_0.35_help_off,customer_intervention_rate,0.08199017020932058,0.04020165951617066,20
domestic_0.35_help_on,domestic_0.35_help_off,material_at_customer_review_share,0.0,0.0,20
domestic_0.35_help_on,domestic_0.35_help_off,external_user_mean_merit,0.0004294152099939552,0.0019204032002376615,20
domestic_0.35_help_on,domestic_0.35_help_off,external_user_mean_dependence,-0.00029294488435819833,0.0013100893501714927,20
domestic_0.35_help_on,domestic_0.35_help_off,unresolved_fraction,-0.022844228753637712,0.015155584905011671,20
domestic_0.35_help_on,domestic_0.35_help_off,submitted_unresolved_fraction,-0.023179789251468307,0.015523943970018356,20
domestic_0.35_help_on,domestic_0.35_help_off,external_user_unresolved_fraction,-0.04109836669468052,0.026661502657013735,20
domestic_0.35_help_on,domestic_0.35_help_off,mean_processing_time,0.1695701051721495,0.10848481134693182,20
domestic_0.35_help_on,domestic_0.35_help_off,median_processing_time,0.1,0.26157418189029846,20
domestic_0.35_help_on,domestic_0.35_help_off,unresolved_case_rounds,-65.0,45.38026466485879,20
domestic_0.35_help_on,domestic_0.35_help_off,pending_case_rounds,5.25,2.989014975926984,20
domestic_0.55_help_on,domestic_0.55_help_off,time,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_disputes,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_complaints,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_complainants,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_domestic,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_customer,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_additional_channel,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,unresolved,-1.9,1.4473205733717955,20
domestic_0.55_help_on,domestic_0.55_help_off,pending,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,unsubmitted,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,closed_unresolved,-1.9,1.4473205733717955,20
domestic_0.55_help_on,domestic_0.55_help_off,pending_domestic,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,pending_customer,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,new_resolved,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,cumulative_resolved,1.9,1.4473205733717955,20
domestic_0.55_help_on,domestic_0.55_help_off,cumulative_complainants,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,total_cases,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,visible_domestic,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,visible_customer,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,unique_submitted_cases,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,unique_domestic_cases,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,unique_customer_cases,-0.05,0.22360679774997894,20
domestic_0.55_help_on,domestic_0.55_help_off,multi_cases,-0.05,0.22360679774997894,20
domestic_0.55_help_on,domestic_0.55_help_off,customer_share_all_cases,-0.0005952380952380931,0.0026619856874997407,20
domestic_0.55_help_on,domestic_0.55_help_off,customer_share_submitted,-0.0005952380952380931,0.0026619856874997407,20
domestic_0.55_help_on,domestic_0.55_help_off,domestic_share_submitted,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,first_domestic_share,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,first_customer_share,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,first_both_share,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,no_submission_share,0.0,0.0,20
domestic_0.55_help_on,domestic_0.55_help_off,domestic_then_customer_share,-0.0007142857142857173,0.0031943828249997126,20
domestic_0.55_help_on,domestic_0.55_help_off,mean_escalation_time,-0.0024767801857585427,0.025665065635010444,20
domestic_0.55_help_on,domestic_0.55_help_off,external_path_trigger_rate,0.05019373540509545,0.027175912184830606,20
domestic_0.55_help_on,domestic_0.55_help_off,external_user_case_resolution_rate,0.04939536435446331,0.03162482624048298,20
domestic_0.55_help_on,domestic_0.55_help_off,customer_intervention_rate,0.09726857660084431,0.04882234654337098,20
domestic_0.55_help_on,domestic_0.55_help_off,material_at_customer_review_share,-0.0006520287031640509,0.007542993388799321,20
domestic_0.55_help_on,domestic_0.55_help_off,external_user_mean_merit,0.000306163887203853,0.0013692065280867865,20
domestic_0.55_help_on,domestic_0.55_help_off,external_user_mean_dependence,0.0003312747050976117,0.0014815055196489115,20
domestic_0.55_help_on,domestic_0.55_help_off,unresolved_fraction,-0.024532313297193253,0.018089395924688025,20
domestic_0.55_help_on,domestic_0.55_help_off,submitted_unresolved_fraction,-0.024532313297193253,0.018089395924688025,20
domestic_0.55_help_on,domestic_0.55_help_off,external_user_unresolved_fraction,-0.049395364354463324,0.03162482624048299,20
domestic_0.55_help_on,domestic_0.55_help_off,mean_processing_time,0.13132732567456848,0.11807110760513069,20
domestic_0.55_help_on,domestic_0.55_help_off,median_processing_time,0.1,0.34792618696922967,20
domestic_0.55_help_on,domestic_0.55_help_off,unresolved_case_rounds,-68.25,51.74214916294065,20
domestic_0.55_help_on,domestic_0.55_help_off,pending_case_rounds,4.85,3.4682772911664737,20
domestic_0.75_help_on,domestic_0.75_help_off,time,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_disputes,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_complaints,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_complainants,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_domestic,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_customer,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_additional_channel,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,unresolved,-1.75,1.292692009559488,20
domestic_0.75_help_on,domestic_0.75_help_off,pending,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,unsubmitted,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,closed_unresolved,-1.75,1.292692009559488,20
domestic_0.75_help_on,domestic_0.75_help_off,pending_domestic,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,pending_customer,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,new_resolved,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,cumulative_resolved,1.75,1.292692009559488,20
domestic_0.75_help_on,domestic_0.75_help_off,cumulative_complainants,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,total_cases,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,visible_domestic,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,visible_customer,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,unique_submitted_cases,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,unique_domestic_cases,0.0,0.0,20
domestic_0.75_help_on,domestic_0.75_help_off,unique_customer_cases,0.0,0.3244428422615251,20
domestic_0.75_help_on,domestic_0.75_help_off,multi_cases,0.0,0.3244428422615251,20
