,time,time,time,new_disputes,new_disputes,new_disputes,new_complaints,new_complaints,new_complaints,new_complainants,new_complainants,new_complainants,new_domestic,new_domestic,new_domestic,new_customer,new_customer,new_customer,new_additional_channel,new_additional_channel,new_additional_channel,unresolved,unresolved,unresolved,pending,pending,pending,unsubmitted,unsubmitted,unsubmitted,closed_unresolved,closed_unresolved,closed_unresolved,pending_domestic,pending_domestic,pending_domestic,pending_customer,pending_customer,pending_customer,new_resolved,new_resolved,new_resolved,cumulative_resolved,cumulative_resolved,cumulative_resolved,cumulative_complainants,cumulative_complainants,cumulative_complainants,total_cases,total_cases,total_cases,visible_domestic,visible_domestic,visible_domestic,visible_customer,visible_customer,visible_customer,unique_submitted_cases,unique_submitted_cases,unique_submitted_cases,unique_domestic_cases,unique_domestic_cases,unique_domestic_cases,unique_customer_cases,unique_customer_cases,unique_customer_cases,multi_cases,multi_cases,multi_cases,customer_share_all_cases,customer_share_all_cases,customer_share_all_cases,customer_share_submitted,customer_share_submitted,customer_share_submitted,domestic_share_submitted,domestic_share_submitted,domestic_share_submitted,first_domestic_share,first_domestic_share,first_domestic_share,first_customer_share,first_customer_share,first_customer_share,first_both_share,first_both_share,first_both_share,no_submission_share,no_submission_share,no_submission_share,domestic_then_customer_share,domestic_then_customer_share,domestic_then_customer_share,mean_escalation_time,mean_escalation_time,mean_escalation_time,external_path_trigger_rate,external_path_trigger_rate,external_path_trigger_rate,external_user_case_resolution_rate,external_user_case_resolution_rate,external_user_case_resolution_rate,customer_intervention_rate,customer_intervention_rate,customer_intervention_rate,material_at_customer_review_share,material_at_customer_review_share,material_at_customer_review_share,external_user_mean_merit,external_user_mean_merit,external_user_mean_merit,external_user_mean_dependence,external_user_mean_dependence,external_user_mean_dependence,unresolved_fraction,unresolved_fraction,unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,external_user_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,mean_processing_time,mean_processing_time,median_processing_time,median_processing_time,median_processing_time,unresolved_case_rounds,unresolved_case_rounds,unresolved_case_rounds,pending_case_rounds,pending_case_rounds,pending_case_rounds
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customer_slow,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,34.6,5.164657221009572,20,0.0,0.0,20,0.0,0.0,20,34.6,5.164657221009572,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,43.25,4.76693656455866,20,77.85,6.698585868045506,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.85,6.698585868045506,20,77.2,6.461220350758256,20,40.75,8.484506002429557,20,40.1,8.515620322306779,20,0.5229982587664203,0.09645810039296289,20,0.5229982587664203,0.09645810039296289,20,0.9918682194432422,0.009233216411859958,20,0.839034642239372,0.036342948649412836,20,0.08106206683180486,0.034816281847650773,20,0.07990329092882317,0.03138634127162184,20,0.0,0.0,20,0.4327885110460687,0.10392660659661307,20,5.978238236176525,0.37830250088922573,20,0.24242517601687555,0.08391977622327297,20,0.5304289201095259,0.07944414879277498,20,0.5891197742273084,0.07654581524995518,20,0.4839621417984721,0.09795335075151018,20,0.5921448096192824,0.030394482118334083,20,0.5147271986807096,0.10957403445359724,20,0.443729638379773,0.0466319143925134,20,0.443729638379773,0.0466319143925134,20,0.4695710798904741,0.07944414879277498,20,7.028330199837465,0.5467621729869098,20,6.65,0.6303716531163431,20,1862.1,245.52047829693944,20,597.25,79.24171881023278,20
dependence_high,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,31.85,4.591468060149,20,0.0,0.0,20,0.0,0.0,20,31.85,4.591468060149,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,46.0,5.3900493113650985,20,77.85,6.698585868045506,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.85,6.698585868045506,20,74.05,6.012924675887328,20,46.15,8.554930865019493,20,42.35,7.125011542003579,20,0.5925047875331962,0.09430374890845883,20,0.5925047875331962,0.09430374890845883,20,0.9519386215645845,0.02886790619581831,20,0.7617485675999658,0.05411113254958517,20,0.1389912592895354,0.04668486383568896,20,0.09926017311049883,0.03957259883743631,20,0.0,0.0,20,0.4680938759195167,0.10078398951452411,20,5.719331996293411,0.31837864073811317,20,0.31956658325995974,0.08410640325291241,20,0.5815230209677943,0.062273375801265934,20,0.5371519759270071,0.08279931978446185,20,0.30109230253128877,0.09614292466040554,20,0.5929312993311033,0.028560994829373222,20,0.8095674862181023,0.07959045745331435,20,0.4090864237147384,0.046239018242996234,20,0.4090864237147384,0.046239018242996234,20,0.4184769790322057,0.062273375801265934,20,6.062693766595126,0.40158242078993234,20,5.95,0.5826437026266793,20,1712.65,213.36360736397486,20,481.35,58.50080971099549,20
dependence_low,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,38.4,5.072111571079019,20,0.0,0.0,20,0.0,0.0,20,38.4,5.072111571079019,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,39.45,5.072889760907069,20,77.85,6.698585868045506,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.85,6.698585868045506,20,77.1,6.189124587362476,20,34.25,7.846387033130866,20,33.5,7.243872183475237,20,0.43877068373575634,0.08696329122807267,20,0.43877068373575634,0.08696329122807267,20,0.9908981374435927,0.012485112628955146,20,0.9007125491348115,0.034322125559780654,20,0.04628927907200932,0.02840678849916787,20,0.052998171793179207,0.02523227257594226,20,0.0,0.0,20,0.377087921383414,0.09180696563232134,20,6.142328514943422,0.236386815770804,20,0.1604367244073906,0.07173513686069499,20,0.43202025771266517,0.059373629083743065,20,0.5902698898651835,0.09907189619657523,20,0.46651290480418633,0.0897004499958742,20,0.5918598384065411,0.03211381872499984,20,0.20184686459487605,0.09658936780142686,20,0.493203471223452,0.048423080963882974,20,0.493203471223452,0.048423080963882974,20,0.5679797422873348,0.059373629083743065,20,6.123506022798893,0.5095923503522893,20,6.05,0.6863327411532597,20,1970.7,238.40436679151486,20,502.55,63.85631485897398,20
domestic_0.15_help_off,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,61.55,6.142817800188752,20,0.0,0.0,20,7.75,4.16596485317564,20,53.8,5.001052520798943,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,16.3,4.449719092257398,20,70.1,6.172093392205377,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,70.1,6.172093392205377,20,49.2,4.479191656397038,20,49.15,9.051170322700061,20,28.25,5.599577051697275,20,0.6322559416862844,0.10988565509143325,20,0.6981555686885251,0.0954330621239754,20,0.7047646634819048,0.06897557276726553,20,0.4925863082763991,0.0903773031443417,20,0.4523998931832591,0.0916121288161106,20,0.05501379854034185,0.03162128978195802,20,0.09821530863451097,0.05085793158239044,20,0.3946219676267847,0.13561433286223645,20,4.686803123132457,0.4581017881638214,20,0.22440073520938433,0.06161982684937037,20,0.267362852989698,0.0613862151039915,20,0.46581654910831105,0.04806433647819209,20,0.17840010380089416,0.05648842018331064,20,0.596811675530379,0.027994755018281314,20,0.5147095372842141,0.10754584292502149,20,0.7911985410579433,0.050956258963041894,20,0.7689106772407326,0.054779963354271426,20,0.7326371470103019,0.06138621510399149,20,4.952207603469129,0.4566160501486807,20,4.55,0.705243518972441,20,2851.45,272.2756874933934,20,346.25,41.30996438989915,20
domestic_0.15_help_on,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,60.6,6.0558801350857605,20,0.0,0.0,20,7.75,4.16596485317564,20,52.85,4.837082635334301,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,17.25,4.655217785622811,20,70.1,6.172093392205377,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,70.1,6.172093392205377,20,49.2,4.479191656397038,20,49.15,9.051170322700061,20,28.25,5.599577051697275,20,0.6322559416862844,0.10988565509143325,20,0.6981555686885251,0.0954330621239754,20,0.7047646634819048,0.06897557276726553,20,0.4925863082763991,0.0903773031443417,20,0.4523998931832591,0.0916121288161106,20,0.05501379854034185,0.03162128978195802,20,0.09821530863451097,0.05085793158239044,20,0.3946219676267847,0.13561433286223645,20,4.686803123132457,0.4581017881638214,20,0.2436720119725035,0.06376639335296269,20,0.28663412975281716,0.06359992024576827,20,0.5162832343297138,0.05443187809234066,20,0.17840010380089416,0.05648842018331064,20,0.596811675530379,0.027994755018281314,20,0.5147095372842141,0.10754584292502149,20,0.7791784828237616,0.05261871570480961,20,0.755572962624616,0.056298790192153315,20,0.7133658702471828,0.06359992024576826,20,5.125425994284353,0.46504450181052087,20,4.675,0.6934847169416057,20,2815.9,268.30793385291656,20,349.2,42.45567347865673,20
domestic_0.35_help_off,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,47.1,5.108300778351374,20,0.0,0.0,20,0.85,0.9333020044867297,20,46.25,4.700223958829824,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,30.75,4.897636379445002,20,77.0,6.407232755171876,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.0,6.407232755171876,20,70.25,5.437443284640697,20,46.45,8.562310312920038,20,39.7,7.630272120414773,20,0.5975585457882147,0.10172736471561078,20,0.6039497671616489,0.10206501979676649,20,0.9135052195776403,0.03871561078845104,20,0.6949488287790745,0.06490651709750245,20,0.2326965179766381,0.06458186099410934,20,0.07235465324428746,0.03610225553690327,20,0.010625753524054867,0.011676113805487222,20,0.43366118429767847,0.11847711950855903,20,5.415254541544696,0.35906200630866153,20,0.21788839198718418,0.04850361868777397,20,0.3941049980566844,0.06755296358930417,20,0.4609011350989977,0.0732688929899321,20,0.28437177862327156,0.11153612840199896,20,0.5993685482119437,0.030451172764412206,20,0.5142566550247739,0.10777047721174858,20,0.6056989079720454,0.05110099009190621,20,0.6015928972082022,0.05014628484986106,20,0.6058950019433156,0.06755296358930415,20,5.735337927120538,0.38349440078387165,20,5.6,0.5281546822864043,20,2296.3,231.09694935243095,20,452.05,51.677619099465815,20
domestic_0.35_help_on,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,45.3,5.100051599326174,20,0.0,0.0,20,0.85,0.9333020044867297,20,44.45,4.81745728957114,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,32.55,5.404432878373281,20,77.0,6.407232755171876,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.0,6.407232755171876,20,70.25,5.437443284640697,20,46.5,8.531674729161358,20,39.75,7.594145944843234,20,0.598283183469374,0.10175381815739598,20,0.6046744048428084,0.10204362251859284,20,0.9135052195776403,0.03871561078845104,20,0.6949488287790745,0.06490651709750245,20,0.2326965179766381,0.06458186099410934,20,0.07235465324428746,0.03610225553690327,20,0.010625753524054867,0.011676113805487222,20,0.4347250140849125,0.11829456421498162,20,5.424596646807854,0.3573228910878155,20,0.2601639698738021,0.06250856782936386,20,0.43520336475136495,0.07575821259733283,20,0.5428913053083183,0.07567734476770654,20,0.28437177862327156,0.11153612840199896,20,0.5997979634219377,0.03047558737371063,20,0.5139637101404156,0.10774872160122284,20,0.5828546792184077,0.055361081793016916,20,0.5784131079567338,0.05524513200133261,20,0.5647966352486351,0.07575821259733283,20,5.9049080322926875,0.40535732170941374,20,5.7,0.5712405705774795,20,2231.3,227.0089495105748,20,457.3,52.17692573300356,20
domestic_0.55_help_off,44.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,36.75,5.097729112581715,20,0.0,0.0,20,0.0,0.0,20,36.75,5.097729112581715,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,41.1,4.81117121094777,20,77.85,6.698585868045506,20,77.85,6.698585868045506,20,0.0,0.0,20,0.0,0.0,20,77.85,6.698585868045506,20,76.05,5.9513377531973095,20,40.95,8.666177449080266,20,39.15,7.589986478040794,20,0.5254305125313785,0.09719544835713657,20,0.5254305125313785,0.09719544835713657,20,0.9776287804532057,0.017356216915241196,20,0.839034642239372,0.036342948649412836,20,0.08106206683180486,0.034816281847650773,20,0.07990329092882317,0.03138634127162184,20,0.0,0.0,20,0.4354704697160415,0.10653504611513569,20,5.975514226550806,0.35387761005955776,20,0.21037573885600916,0.06424620739306466,20,0.4823878564333087,0.05836283575984558,20,0.48793837020246017,0.06757786719179246,20,0.3901814920995932,0.10119380296581541,20,0.5961309688783759,0.031408744052497384,20,0.5146247572581081,0.11136096500951115,20,0.47158805879173843,0.04726297285609228,20,0.47158805879173843,0.04726297285609228,20,0.5176121435666913,0.05836283575984557,20,6.05711046157736,0.4167860880575533,20,6.025,0.5729655082849319,20,1902.9,238.9855534061465,20,491.25,60.15320352846424,20
