block,seed,single,path_single,path_both,count,total,share
no_escalation,1,customer_only,none,none,0,16,0.0
no_escalation,1,customer_only,none,d_only,9,16,0.5625
no_escalation,1,customer_only,none,e_only,0,16,0.0
no_escalation,1,customer_only,none,simultaneous,0,16,0.0
no_escalation,1,customer_only,none,d_to_e,0,16,0.0
no_escalation,1,customer_only,none,e_to_d,0,16,0.0
no_escalation,1,customer_only,d_only,none,0,16,0.0
no_escalation,1,customer_only,d_only,d_only,0,16,0.0
no_escalation,1,customer_only,d_only,e_only,0,16,0.0
no_escalation,1,customer_only,d_only,simultaneous,0,16,0.0
no_escalation,1,customer_only,d_only,d_to_e,0,16,0.0
no_escalation,1,customer_only,d_only,e_to_d,0,16,0.0
no_escalation,1,customer_only,e_only,none,0,16,0.0
no_escalation,1,customer_only,e_only,d_only,6,16,0.375
no_escalation,1,customer_only,e_only,e_only,0,16,0.0
no_escalation,1,customer_only,e_only,simultaneous,1,16,0.0625
no_escalation,1,customer_only,e_only,d_to_e,0,16,0.0
no_escalation,1,customer_only,e_only,e_to_d,0,16,0.0
no_escalation,1,customer_only,simultaneous,none,0,16,0.0
no_escalation,1,customer_only,simultaneous,d_only,0,16,0.0
no_escalation,1,customer_only,simultaneous,e_only,0,16,0.0
no_escalation,1,customer_only,simultaneous,simultaneous,0,16,0.0
no_escalation,1,customer_only,simultaneous,d_to_e,0,16,0.0
no_escalation,1,customer_only,simultaneous,e_to_d,0,16,0.0
no_escalation,1,customer_only,d_to_e,none,0,16,0.0
no_escalation,1,customer_only,d_to_e,d_only,0,16,0.0
no_escalation,1,customer_only,d_to_e,e_only,0,16,0.0
no_escalation,1,customer_only,d_to_e,simultaneous,0,16,0.0
no_escalation,1,customer_only,d_to_e,d_to_e,0,16,0.0
no_escalation,1,customer_only,d_to_e,e_to_d,0,16,0.0
no_escalation,1,customer_only,e_to_d,none,0,16,0.0
no_escalation,1,customer_only,e_to_d,d_only,0,16,0.0
no_escalation,1,customer_only,e_to_d,e_only,0,16,0.0
no_escalation,1,customer_only,e_to_d,simultaneous,0,16,0.0
no_escalation,1,customer_only,e_to_d,d_to_e,0,16,0.0
