block,arm,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share
network_ba,customer_only,0,14,0,0,0,0,0,0,12,0,3,9,0,0,0,0,0,0,0,2,11,14,0,0,11,0,11,0,0.7857142857142857,1.0,0.0,0.0,1.0,0.0,0.21428571428571427,,,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.5701196798075189,0.49791855625909576,0.8571428571428571,0.8181818181818182,0.8181818181818182,3.0,3.0,186,26,0.0,0.7857142857142857,0.0,0.7857142857142857,0.0,0.21428571428571427,0,0,0.0,0.0,,0.0,0.0,0.14285714285714285
network_ba,both,0,14,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,4,14,14,0,0,14,13,11,10,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.7272727272727273,3.0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.5701196798075189,0.49791855625909576,0.7142857142857143,0.7142857142857143,0.7272727272727273,4.5,4.5,168,52,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,8,1,0.5714285714285714,0.07142857142857142,0.7272727272727273,0.5,0.7142857142857143,0.2857142857142857
network_ba,domestic_only,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.6875,0.6875,,3.6,4.0,183,44,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.3125
network_ba,customer_only,1,14,0,0,0,0,0,0,15,0,10,5,0,0,0,0,0,0,0,1,6,16,0,0,6,0,6,0,0.375,1.0,0.0,0.0,1.0,0.0,0.625,,,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.48238517383140883,0.4234514419646582,0.9375,0.8333333333333334,0.8333333333333334,3.0,3.0,228,14,0.0,0.375,0.0,0.375,0.0,0.625,0,0,0.0,0.0,,0.0,0.0,0.0625
network_ba,both,1,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,5,16,16,0,0,16,16,4,4,0.25,0.25,1.0,0.9375,0.0,0.0625,0.0,0.2,3.6666666666666665,0.0,0.5,0.3333333333333333,0.0,0.48599029814790534,0.4351771629469874,0.6875,0.6875,0.5,3.6,4.0,183,48,1.0,0.25,0.9375,0.0,0.0625,0.0,3,0,0.1875,0.0,0.2,,0.25,0.3125
population_double,domestic_only,0,14,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,13,30,30,0,0,30,30,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.5666666666666667,0.5666666666666667,,3.230769230769231,3.0,297,79,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.43333333333333335
population_double,customer_only,0,14,0,0,0,0,0,0,26,0,10,16,0,0,0,0,0,0,0,4,20,30,0,0,20,0,20,0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,,,0.2,0.2,0.45,0.0,0.6699873432464276,0.495,0.8666666666666667,0.8,0.8,3.0,3.0,402,49,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0,0,0.0,0.0,,0.0,0.0,0.13333333333333333
population_double,both,0,14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,19,30,30,0,0,30,30,13,13,0.43333333333333335,0.43333333333333335,1.0,0.9,0.06666666666666667,0.03333333333333333,0.0,0.37037037037037035,3.1,0.3076923076923077,0.46153846153846156,0.6923076923076923,0.0,0.6846792520135201,0.4727532124846073,0.36666666666666664,0.36666666666666664,0.5384615384615384,4.105263157894737,3.0,243,113,1.0,0.43333333333333335,0.9,0.06666666666666667,0.03333333333333333,0.0,10,2,0.3333333333333333,0.06666666666666667,0.37037037037037035,1.0,0.43333333333333335,0.6333333333333333
population_double,domestic_only,1,14,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,8,29,29,0,0,29,29,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.7241379310344828,0.7241379310344828,,3.375,3.0,342,71,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.27586206896551724
population_double,customer_only,1,14,0,0,0,0,0,0,24,0,14,10,0,0,0,0,0,0,0,5,15,29,0,0,15,0,15,0,0.5172413793103449,1.0,0.0,0.0,1.0,0.0,0.4827586206896552,,,0.3333333333333333,0.3333333333333333,0.6,0.0,0.6135513505360639,0.47504461428690653,0.8275862068965517,0.6666666666666666,0.6666666666666666,3.0,3.0,375,39,0.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.4827586206896552,0,0,0.0,0.0,,0.0,0.0,0.1724137931034483
