scenario,population,metric,contrast,n,mean,low,high
base,all,domestic_use,late,20,0.8050592591116462,0.7815732196174224,0.829001469316003
base,all,domestic_use,change,20,0.013210487188714875,-0.02527655272152092,0.05422686107431896
base,all,domestic_use,late_minus_base,20,0.0,0.0,0.0
base,all,customer_use,late,20,0.4908901987161701,0.4526046901055986,0.5292846543582151
base,all,customer_use,change,20,-0.017745330433337116,-0.048346397575780194,0.01861009191111413
base,all,customer_use,late_minus_base,20,0.0,0.0,0.0
base,all,customer_minus_domestic,late,20,-0.3141690603954762,-0.36202668321472803,-0.26314687263916203
base,all,customer_minus_domestic,change,20,-0.030955817622051983,-0.09624129885658,0.03493269556915937
base,all,customer_minus_domestic,late_minus_base,20,0.0,0.0,0.0
base,all,first_d,late,20,0.6331867076744511,0.5992637482876161,0.6655487165999924
base,all,first_d,change,20,0.0256292084132972,-0.019232309621010715,0.07180965950588357
base,all,first_d,late_minus_base,20,0.0,0.0,0.0
base,all,first_e,late,20,0.31455857191675884,0.28112855813830717,0.34792166074759623
base,all,first_e,change,20,-0.020467822971639023,-0.06496623192672268,0.017661292244766966
base,all,first_e,late_minus_base,20,0.0,0.0,0.0
base,all,first_both,late,20,0.013044232898884059,0.004863116292622106,0.022374943370582902
base,all,first_both,change,20,0.0033907310232076694,-0.004581255891173544,0.01258805938142875
base,all,first_both,late_minus_base,20,0.0,0.0,0.0
base,all,domestic_only,late,20,0.46989931377392385,0.43236081471616156,0.5076741331491624
base,all,domestic_only,change,20,0.026297446898202948,-0.016903357104217552,0.06872485016684893
base,all,domestic_only,late_minus_base,20,0.0,0.0,0.0
base,all,customer_only,late,20,0.1557302533784476,0.13373336583736137,0.17723283079127744
base,all,customer_only,change,20,-0.004658370723849047,-0.03966636038530611,0.028305741025236433
base,all,customer_only,late_minus_base,20,0.0,0.0,0.0
base,all,both_use,late,20,0.3351599453377224,0.2989779424442902,0.36842206899508856
base,all,both_use,change,20,-0.01308695970948806,-0.04895559982115527,0.022150649248012327
base,all,both_use,late_minus_base,20,0.0,0.0,0.0
