time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
12,2,2,2,2,0,0,21,3,0,18,3,3,0,0,0,0,0,11,30,32,1,0,baseline,5
13,0,0,0,0,0,0,21,3,0,18,3,2,1,1,0,0,0,11,30,32,3,0,baseline,5
14,0,0,0,0,0,0,20,0,0,20,0,0,0,0,1,0,1,12,30,32,3,0,baseline,5
15,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,12,30,32,2,0,baseline,5
16,1,1,1,1,0,0,21,1,0,20,1,1,0,0,0,0,0,12,31,33,0,0,baseline,5
17,2,2,2,2,0,0,23,3,0,20,3,3,0,0,0,0,0,12,31,35,1,0,baseline,5
18,0,0,0,0,0,0,23,2,0,21,2,2,0,0,0,0,0,12,31,35,3,0,baseline,5
19,0,0,0,0,1,1,23,2,0,21,1,0,1,1,0,1,0,12,31,35,3,0,baseline,5
20,0,0,0,0,1,1,22,2,0,20,0,0,0,0,1,2,1,13,31,35,2,1,baseline,5
21,1,1,1,1,0,0,23,2,0,21,1,1,0,0,0,1,0,13,31,36,0,2,baseline,5
22,0,0,0,0,0,0,23,1,0,22,1,1,0,0,0,0,0,13,31,36,1,2,baseline,5
23,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,13,31,36,1,1,baseline,5
24,2,2,2,2,1,1,25,3,0,22,2,2,0,0,0,1,0,13,31,38,1,0,baseline,5
0,21,21,21,20,3,0,21,21,0,0,20,20,0,0,0,3,0,0,21,21,0,0,baseline,6
1,0,0,0,0,0,0,21,21,0,0,20,20,0,0,0,3,0,0,21,21,20,3,baseline,6
2,0,0,0,0,0,0,21,14,0,7,13,8,5,5,0,2,0,0,21,21,20,3,baseline,6
3,0,0,0,0,4,4,17,6,0,11,2,0,2,2,3,4,4,4,21,21,20,3,baseline,6
4,0,0,0,0,3,3,15,7,0,8,0,0,0,0,2,7,2,6,21,21,2,4,baseline,6
5,0,0,0,0,0,0,15,6,0,9,0,0,0,0,0,6,0,6,21,21,0,7,baseline,6
6,0,0,0,0,0,0,12,3,0,9,0,0,0,0,0,3,3,9,21,21,0,7,baseline,6
7,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,2,11,21,21,0,3,baseline,6
8,1,1,1,1,0,0,11,1,0,10,1,1,0,0,0,0,0,11,22,22,0,0,baseline,6
9,0,0,0,0,0,0,11,1,0,10,1,1,0,0,0,0,0,11,22,22,1,0,baseline,6
10,0,0,0,0,0,0,11,1,0,10,1,0,1,1,0,0,0,11,22,22,1,0,baseline,6
11,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,22,22,1,0,baseline,6
12,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,22,22,0,0,baseline,6
13,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,22,22,0,0,baseline,6
14,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,22,22,0,0,baseline,6
15,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,11,22,22,0,0,baseline,6
16,1,1,1,1,0,0,12,1,0,11,1,1,0,0,0,0,0,11,23,23,0,0,baseline,6
17,0,0,0,0,0,0,12,1,0,11,1,1,0,0,0,0,0,11,23,23,1,0,baseline,6
18,1,1,1,1,0,0,13,1,0,12,1,1,0,0,0,0,0,11,23,24,1,0,baseline,6
19,1,1,1,1,0,0,14,2,0,12,2,2,0,0,0,0,0,11,24,25,2,0,baseline,6
20,0,0,0,0,0,0,14,2,0,12,2,1,1,1,0,0,0,11,24,25,2,0,baseline,6
21,0,0,0,0,0,0,13,0,0,13,0,0,0,0,1,0,1,12,24,25,2,0,baseline,6
22,0,0,0,0,1,1,13,1,0,12,0,0,0,0,0,1,0,12,24,25,1,0,baseline,6
23,0,0,0,0,0,0,13,1,0,12,0,0,0,0,0,1,0,12,24,25,0,1,baseline,6
24,0,0,0,0,0,0,13,1,0,12,0,0,0,0,0,1,0,12,24,25,0,1,baseline,6
0,24,24,24,22,3,0,24,24,0,0,22,22,0,0,0,3,0,0,24,24,0,0,baseline,7
1,1,1,1,1,0,0,25,25,0,0,23,23,0,0,0,3,0,0,25,25,22,3,baseline,7
2,0,0,0,0,0,0,25,13,0,12,13,11,2,2,0,1,0,0,25,25,23,3,baseline,7
3,0,0,0,2,11,13,23,19,0,4,8,2,6,6,2,11,2,2,25,25,23,3,baseline,7
4,0,0,0,0,3,3,17,16,0,1,2,2,0,0,6,14,6,8,25,25,8,11,baseline,7
5,0,0,0,0,0,0,17,12,0,5,1,0,1,1,0,11,0,8,25,25,2,14,baseline,7
6,1,1,1,1,0,0,13,5,0,8,1,1,0,0,1,4,5,13,25,26,2,14,baseline,7
7,0,0,0,0,0,0,13,1,0,12,1,1,0,0,0,0,0,13,25,26,1,4,baseline,7
8,3,3,3,3,0,0,16,3,0,13,3,3,0,0,0,0,0,13,27,29,1,0,baseline,7
9,1,1,1,1,0,0,17,4,0,13,4,4,0,0,0,0,0,13,28,30,4,0,baseline,7
10,2,2,2,2,0,0,19,5,0,14,5,3,2,2,0,0,0,13,29,32,4,0,baseline,7
11,0,0,0,0,2,2,17,5,0,12,3,2,1,1,2,2,2,15,29,32,6,0,baseline,7
12,0,0,0,0,0,0,16,3,0,13,1,0,1,1,1,2,1,16,29,32,3,2,baseline,7
13,0,0,0,0,1,1,15,3,0,12,0,0,0,0,1,3,1,17,29,32,2,2,baseline,7
14,1,1,1,1,0,0,15,2,0,13,1,1,0,0,0,1,1,18,29,33,0,3,baseline,7
15,0,0,0,0,0,0,15,2,0,13,1,1,0,0,0,1,0,18,29,33,1,1,baseline,7
16,1,1,1,1,0,0,16,2,0,14,2,1,1,1,0,0,0,18,29,34,1,1,baseline,7
17,0,0,0,0,0,0,15,1,0,14,1,1,0,0,1,0,1,19,29,34,2,0,baseline,7
18,0,0,0,0,0,0,15,1,0,14,1,0,1,1,0,0,0,19,29,34,1,0,baseline,7
19,0,0,0,0,0,0,14,0,0,14,0,0,0,0,1,0,1,20,29,34,1,0,baseline,7
20,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,20,29,34,0,0,baseline,7
21,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,20,29,34,0,0,baseline,7
22,1,1,1,1,0,0,15,1,0,14,1,1,0,0,0,0,0,20,30,35,0,0,baseline,7
23,1,1,1,1,0,0,16,2,0,14,2,2,0,0,0,0,0,20,30,36,1,0,baseline,7
24,0,0,0,0,0,0,16,2,0,14,2,1,1,1,0,0,0,20,30,36,2,0,baseline,7
