time,employee,initial_dispute,informed,prior_d,p_d,p_e,success_d,failure_d,has_dispute,case_id,first_unsubmitted
0,0,False,False,0.44299443211746453,0.4429944321174645,0.5143526220553698,0.0,0.0,False,,False
0,1,False,False,0.5346280060038413,0.5346280060038413,0.6054011115602114,0.0,0.0,False,,False
0,2,True,False,0.27197079496082843,0.27197079496082843,0.4683103840868439,0.0,0.0,True,2:0,True
0,3,False,False,0.5612846419844832,0.5612846419844832,0.6128679237523356,0.0,0.0,False,,False
0,4,True,False,0.4734939162452191,0.4734939162452191,0.6434168944540841,0.0,0.0,True,4:0,True
0,5,True,False,0.4311328982886555,0.4311328982886555,0.40798145905146355,0.0,0.0,True,5:0,True
0,6,False,False,0.46472024073120677,0.46472024073120677,0.4175754694948071,0.0,0.0,False,,False
0,7,True,False,0.4368540343874118,0.4368540343874118,0.36285187506581434,0.0,0.0,True,7:0,True
0,8,False,False,0.3515794095525231,0.3515794095525231,0.4316094770491315,0.0,0.0,False,,False
0,9,False,False,0.26208224073486897,0.26208224073486897,0.31859127551304606,0.0,0.0,False,,False
0,10,False,False,0.3747509926299424,0.3747509926299423,0.32494758391717055,0.0,0.0,False,,False
0,11,False,False,0.4365050838387813,0.4365050838387813,0.38958936470723315,0.0,0.0,False,,False
0,12,False,False,0.49438455480871246,0.4943845548087124,0.5969068951668594,0.0,0.0,False,,False
0,13,False,False,0.36852883912597545,0.3685288391259754,0.47771754327097865,0.0,0.0,False,,False
0,14,False,False,0.5274656736356903,0.5274656736356903,0.2666736866494753,0.0,0.0,False,,False
0,15,True,False,0.6009231943614537,0.6009231943614537,0.47006056998838386,0.0,0.0,True,15:0,True
0,16,False,False,0.4382109202493441,0.4382109202493441,0.40961789544902205,0.0,0.0,False,,False
0,17,True,False,0.4937842401883934,0.4937842401883934,0.4940366936275521,0.0,0.0,True,17:0,True
0,18,False,False,0.2255495974185324,0.2255495974185324,0.415852365145589,0.0,0.0,False,,False
0,19,False,False,0.4253222967075862,0.42532229670758614,0.4820570177910964,0.0,0.0,False,,False
0,20,True,False,0.5264950221095083,0.5264950221095083,0.6126383028244748,0.0,0.0,True,20:0,True
0,21,False,False,0.3518338180470433,0.3518338180470433,0.5804287398778933,0.0,0.0,False,,False
0,22,False,False,0.40538716148526593,0.40538716148526593,0.458730651686604,0.0,0.0,False,,False
0,23,False,False,0.5820953853960631,0.5820953853960631,0.45952067232538657,0.0,0.0,False,,False
1,0,False,False,0.44299443211746453,0.4429944321174645,0.5143526220553698,0.0,0.0,False,,False
1,1,False,False,0.5346280060038413,0.5346280060038413,0.6054011115602114,0.0,0.0,False,,False
1,2,True,False,0.27197079496082843,0.27197079496082843,0.4683103840868439,0.0,0.0,True,2:0,False
1,3,False,False,0.5612846419844832,0.5612846419844832,0.6128679237523356,0.0,0.0,False,,False
1,4,True,False,0.4734939162452191,0.4734939162452191,0.6434168944540841,0.0,0.0,True,4:0,False
1,5,True,False,0.4311328982886555,0.4311328982886555,0.40798145905146355,0.0,0.0,True,5:0,False
1,6,False,False,0.46472024073120677,0.46472024073120677,0.4175754694948071,0.0,0.0,False,,False
1,7,True,False,0.4368540343874118,0.4368540343874118,0.36285187506581434,0.0,0.0,True,7:0,False
1,8,False,False,0.3515794095525231,0.3515794095525231,0.4316094770491315,0.0,0.0,False,,False
1,9,False,False,0.26208224073486897,0.26208224073486897,0.31859127551304606,0.0,0.0,False,,False
1,10,False,False,0.3747509926299424,0.3747509926299423,0.32494758391717055,0.0,0.0,False,,False
1,11,False,False,0.4365050838387813,0.4365050838387813,0.38958936470723315,0.0,0.0,False,,False
1,12,False,False,0.49438455480871246,0.4943845548087124,0.5969068951668594,0.0,0.0,False,,False
1,13,False,False,0.36852883912597545,0.3685288391259754,0.47771754327097865,0.0,0.0,False,,False
1,14,False,False,0.5274656736356903,0.5274656736356903,0.2666736866494753,0.0,0.0,False,,False
1,15,True,False,0.6009231943614537,0.6009231943614537,0.47006056998838386,0.0,0.0,True,15:0,False
1,16,False,False,0.4382109202493441,0.4382109202493441,0.40961789544902205,0.0,0.0,False,,False
1,17,True,False,0.4937842401883934,0.4937842401883934,0.4940366936275521,0.0,0.0,True,17:0,False
1,18,False,False,0.2255495974185324,0.2255495974185324,0.415852365145589,0.0,0.0,False,,False
1,19,False,False,0.4253222967075862,0.42532229670758614,0.4820570177910964,0.0,0.0,False,,False
1,20,True,False,0.5264950221095083,0.5264950221095083,0.6126383028244748,0.0,0.0,True,20:0,False
1,21,False,False,0.3518338180470433,0.3518338180470433,0.5804287398778933,0.0,0.0,False,,False
1,22,False,False,0.40538716148526593,0.40538716148526593,0.458730651686604,0.0,0.0,False,,False
1,23,False,False,0.5820953853960631,0.5820953853960631,0.45952067232538657,0.0,0.0,False,,False
2,0,False,False,0.44299443211746453,0.4429944321174645,0.5143526220553698,0.0,0.0,False,,False
2,1,False,False,0.5346280060038413,0.5346280060038413,0.6054011115602114,0.0,0.0,True,1:2,True
2,2,True,False,0.27197079496082843,0.27197079496082843,0.4683103840868439,0.0,0.0,True,2:0,False
2,3,False,False,0.5612846419844832,0.5612846419844832,0.6128679237523356,0.0,0.0,False,,False
2,4,True,False,0.4734939162452191,0.4734939162452191,0.6434168944540841,0.0,0.0,True,4:0,False
2,5,True,False,0.4311328982886555,0.4311328982886555,0.40798145905146355,0.0,0.0,True,5:0,False
2,6,False,False,0.46472024073120677,0.46472024073120677,0.4175754694948071,0.0,0.0,False,,False
2,7,True,False,0.4368540343874118,0.4368540343874118,0.36285187506581434,0.0,0.0,True,7:0,False
2,8,False,False,0.3515794095525231,0.3515794095525231,0.4316094770491315,0.0,0.0,False,,False
2,9,False,False,0.26208224073486897,0.26208224073486897,0.31859127551304606,0.0,0.0,False,,False
