scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
domestic_0.15_help_off,0,44,0,0,0,0,0,0,45,0,0,45,0,0,0,24,69,69,0,0,69,69,52,52,0.7536231884057971,0.7536231884057971,1.0,0.8115942028985508,0.08695652173913043,0.10144927536231885,0.0,0.6964285714285714,5.615384615384615,0.19230769230769232,0.34615384615384615,0.5,0.2391304347826087,0.5827468239258995,0.4950832076540603,0.6521739130434783,0.6521739130434783,0.6538461538461539,5.458333333333333,5.5,2156,443
domestic_0.15_help_off,1,44,0,0,0,0,0,0,56,0,0,56,0,0,0,25,81,81,0,0,81,80,60,59,0.7407407407407407,0.7407407407407407,0.9876543209876543,0.7901234567901234,0.037037037037037035,0.1728395061728395,0.0,0.671875,6.325581395348837,0.2833333333333333,0.35,0.4576271186440678,0.3050847457627119,0.5331678900996,0.49992755582891263,0.691358024691358,0.691358024691358,0.65,7.48,8.0,2707,575
domestic_0.15_help_off,2,44,0,0,0,0,0,0,59,0,0,59,0,0,0,16,75,75,0,0,75,75,50,50,0.6666666666666666,0.6666666666666666,1.0,0.8133333333333334,0.05333333333333334,0.13333333333333333,0.0,0.5901639344262295,6.083333333333333,0.2,0.26,0.40425531914893614,0.46808510638297873,0.5999116302329491,0.5128048533031214,0.7866666666666666,0.7866666666666666,0.74,6.6875,7.0,2762,495
domestic_0.15_help_off,3,44,0,0,0,0,0,0,58,0,0,58,0,0,0,26,84,84,0,0,84,80,62,58,0.7380952380952381,0.7380952380952381,0.9523809523809523,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.6944444444444444,6.26,0.3225806451612903,0.3548387096774194,0.5901639344262295,0.4918032786885246,0.5969145515947496,0.4875299513089081,0.6904761904761905,0.6904761904761905,0.6451612903225806,7.3076923076923075,7.5,2800,605
domestic_0.15_help_off,4,44,0,0,0,0,0,0,61,0,0,61,0,0,0,21,82,82,0,0,82,80,40,38,0.4878048780487805,0.4878048780487805,0.975609756097561,0.8658536585365854,0.07317073170731707,0.06097560975609756,0.0,0.4084507042253521,6.448275862068965,0.275,0.35,0.55,0.4,0.6039403891014838,0.5049483166384808,0.7439024390243902,0.7439024390243902,0.65,6.428571428571429,6.0,2880,544
domestic_0.15_help_off,5,44,0,0,0,0,0,0,60,0,0,60,0,0,0,25,85,85,0,0,85,84,58,57,0.6823529411764706,0.6823529411764706,0.9882352941176471,0.8352941176470589,0.09411764705882353,0.07058823529411765,0.0,0.6197183098591549,6.090909090909091,0.22413793103448276,0.39655172413793105,0.49019607843137253,0.43137254901960786,0.5782305913280334,0.4857711811736209,0.7058823529411765,0.7058823529411765,0.603448275862069,7.04,8.0,2876,591
domestic_0.15_help_off,6,44,0,0,0,0,0,0,68,0,0,68,0,0,0,18,86,86,0,0,86,84,59,57,0.686046511627907,0.686046511627907,0.9767441860465116,0.8604651162790697,0.08139534883720931,0.05813953488372093,0.0,0.6351351351351351,6.297872340425532,0.15254237288135594,0.22033898305084745,0.4406779661016949,0.5084745762711864,0.5868524232548776,0.5043848959696116,0.7906976744186046,0.7906976744186046,0.7796610169491526,7.222222222222222,7.5,3190,601
domestic_0.15_help_off,7,44,0,0,0,0,0,0,62,0,0,62,0,0,0,22,84,84,0,0,84,84,47,47,0.5595238095238095,0.5595238095238095,1.0,0.8333333333333334,0.047619047619047616,0.11904761904761904,0.0,0.4714285714285714,6.242424242424242,0.19148936170212766,0.2553191489361702,0.44680851063829785,0.3829787234042553,0.5860503262069121,0.488312958955703,0.7380952380952381,0.7380952380952381,0.7446808510638298,6.454545454545454,6.5,2932,570
domestic_0.15_help_off,8,44,0,0,0,0,0,0,61,0,0,61,0,0,0,10,71,71,0,0,71,71,43,43,0.6056338028169014,0.6056338028169014,1.0,0.8591549295774648,0.014084507042253521,0.1267605633802817,0.0,0.5409836065573771,6.393939393939394,0.18604651162790697,0.18604651162790697,0.4883720930232558,0.5116279069767442,0.5812991565244949,0.5196853369214885,0.8591549295774648,0.8591549295774648,0.813953488372093,8.7,10.0,2832,483
domestic_0.15_help_off,9,44,0,0,0,0,0,0,44,0,0,44,0,0,0,20,64,64,0,0,64,64,44,44,0.6875,0.6875,1.0,0.875,0.0625,0.0625,0.0,0.6428571428571429,5.388888888888889,0.25,0.3409090909090909,0.525,0.6,0.567981830171723,0.4692838176404285,0.6875,0.6875,0.6590909090909091,6.3,6.0,2106,395
domestic_0.15_help_off,10,44,0,0,0,0,0,0,62,0,0,62,0,0,0,15,77,77,0,0,77,77,35,35,0.45454545454545453,0.45454545454545453,1.0,0.8831168831168831,0.025974025974025976,0.09090909090909091,0.0,0.38235294117647056,7.0,0.17142857142857143,0.2571428571428571,0.42857142857142855,0.5714285714285714,0.6180330285690455,0.4749849303461669,0.8051948051948052,0.8051948051948052,0.7428571428571429,7.266666666666667,7.0,2899,510
domestic_0.15_help_off,11,44,0,0,0,0,0,0,53,0,0,53,0,0,0,22,75,75,0,0,75,75,35,35,0.4666666666666667,0.4666666666666667,1.0,0.84,0.08,0.08,0.0,0.36507936507936506,5.6521739130434785,0.2857142857142857,0.37142857142857144,0.5,0.4117647058823529,0.6483338305610643,0.5311373248959672,0.7066666666666667,0.7066666666666667,0.6285714285714286,6.590909090909091,7.0,2530,471
domestic_0.15_help_off,12,44,0,0,0,0,0,0,52,0,0,52,0,0,0,25,77,77,0,0,77,77,54,54,0.7012987012987013,0.7012987012987013,1.0,0.8311688311688312,0.09090909090909091,0.07792207792207792,0.0,0.640625,6.170731707317073,0.24074074074074073,0.37037037037037035,0.5306122448979592,0.3469387755102041,0.5932683358603081,0.49628372691901146,0.6753246753246753,0.6753246753246753,0.6296296296296297,7.88,8.0,2537,530
