treatment,control,metric,mean_difference,sd_difference,n,se_difference
domestic_0.35_help_on,domestic_0.35_help_off,pending,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unsubmitted,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,closed_unresolved,-3.0,2.176428750330035,20,0.4866642633922876
domestic_0.35_help_on,domestic_0.35_help_off,pending_domestic,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,pending_customer,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,new_resolved,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,cumulative_resolved,3.0,2.176428750330035,20,0.4866642633922876
domestic_0.35_help_on,domestic_0.35_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,unique_customer_cases,0.55,0.6048053188292994,20,0.1352385806055747
domestic_0.35_help_on,domestic_0.35_help_off,multi_cases,0.55,0.6048053188292994,20,0.1352385806055747
domestic_0.35_help_on,domestic_0.35_help_off,customer_share_all_cases,0.006885305857292587,0.007450655245432586,20,0.0016660171605702642
domestic_0.35_help_on,domestic_0.35_help_off,customer_share_submitted,0.006885305857292587,0.007450655245432586,20,0.0016660171605702642
domestic_0.35_help_on,domestic_0.35_help_off,domestic_share_submitted,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,first_domestic_share,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,first_customer_share,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,first_both_share,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,no_submission_share,0.0,0.0,20,0.0
domestic_0.35_help_on,domestic_0.35_help_off,domestic_then_customer_share,0.008131828927868684,0.008776792972513072,20,0.001962550571098167
domestic_0.35_help_on,domestic_0.35_help_off,mean_escalation_time,0.04613772214303764,0.0717570850709484,20,0.016045372008587595
domestic_0.35_help_on,domestic_0.35_help_off,external_path_trigger_rate,0.05904520864209427,0.02965718483531716,20,0.006631548131304507
domestic_0.35_help_on,domestic_0.35_help_off,external_user_case_resolution_rate,0.06205258876273838,0.040467307026711266,20,0.009048764937808129
domestic_0.35_help_on,domestic_0.35_help_off,customer_intervention_rate,0.11550516768774362,0.05751972525816466,20,0.012861801572436781
domestic_0.35_help_on,domestic_0.35_help_off,material_at_customer_review_share,-0.0050986387536171044,0.00896129680860243,20,0.0020038068830586955
domestic_0.35_help_on,domestic_0.35_help_off,external_user_mean_merit,0.0001603394163635974,0.0034510186822577066,20,0.0007716712365149979
domestic_0.35_help_on,domestic_0.35_help_off,external_user_mean_dependence,-0.0003215225121511761,0.0009987430096119138,20,0.0002233257261544965
domestic_0.35_help_on,domestic_0.35_help_off,unresolved_fraction,-0.03839894770245847,0.02746787943464877,20,0.006142004561364314
domestic_0.35_help_on,domestic_0.35_help_off,submitted_unresolved_fraction,-0.03839894770245847,0.02746787943464877,20,0.006142004561364314
domestic_0.35_help_on,domestic_0.35_help_off,external_user_unresolved_fraction,-0.06205258876273838,0.04046730702671125,20,0.009048764937808125
domestic_0.35_help_on,domestic_0.35_help_off,mean_processing_time,0.28562068056008494,0.283061138118909,20,0.06329439466223374
domestic_0.35_help_on,domestic_0.35_help_off,median_processing_time,0.45,0.5596051239372654,20,0.125131509768092
domestic_0.35_help_on,domestic_0.35_help_off,unresolved_case_rounds,-106.4,75.91920913569552,20,16.976051242543825
domestic_0.35_help_on,domestic_0.35_help_off,pending_case_rounds,8.85,5.9051716851907825,20,1.3204365306893577
domestic_0.55_help_on,domestic_0.55_help_off,time,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_disputes,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_complaints,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_complainants,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_domestic,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_customer,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_additional_channel,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,unresolved,-2.5,1.7013926184468013,20,0.380442955126341
domestic_0.55_help_on,domestic_0.55_help_off,pending,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,unsubmitted,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,closed_unresolved,-2.5,1.7013926184468013,20,0.380442955126341
domestic_0.55_help_on,domestic_0.55_help_off,pending_domestic,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,pending_customer,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,new_resolved,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,cumulative_resolved,2.5,1.7013926184468013,20,0.380442955126341
domestic_0.55_help_on,domestic_0.55_help_off,cumulative_complainants,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,total_cases,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,visible_domestic,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,visible_customer,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,unique_submitted_cases,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,unique_domestic_cases,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,unique_customer_cases,0.45,0.6863327411532598,20,0.15346866644024562
domestic_0.55_help_on,domestic_0.55_help_off,multi_cases,0.45,0.6863327411532598,20,0.15346866644024562
domestic_0.55_help_on,domestic_0.55_help_off,customer_share_all_cases,0.005510940567598116,0.008482416658998905,20,0.0018967260262998204
domestic_0.55_help_on,domestic_0.55_help_off,customer_share_submitted,0.005510940567598116,0.008482416658998905,20,0.0018967260262998204
domestic_0.55_help_on,domestic_0.55_help_off,domestic_share_submitted,0.0,0.0,20,0.0
domestic_0.55_help_on,domestic_0.55_help_off,first_domestic_share,0.0,0.0,20,0.0
