time,employee,initial_dispute,informed,prior_d,p_d,p_e,success_d,failure_d,has_dispute,case_id,first_unsubmitted
0,0,False,False,0.5449269699863759,0.5449269699863759,0.5877091393923862,0.0,0.0,False,,False
0,1,False,False,0.229650571145668,0.229650571145668,0.4360154983432703,0.0,0.0,False,,False
0,2,False,False,0.3835229892299272,0.3835229892299272,0.40225852811673773,0.0,0.0,False,,False
0,3,False,False,0.48164500673943544,0.48164500673943544,0.5023413918212314,0.0,0.0,False,,False
0,4,False,False,0.5290599141965837,0.5290599141965837,0.5837298166693512,0.0,0.0,False,,False
0,5,True,False,0.32352023428589693,0.32352023428589693,0.26921733187059427,0.0,0.0,True,5:0,True
0,6,True,False,0.4256081333859838,0.4256081333859838,0.5586571827756612,0.0,0.0,True,6:0,True
0,7,False,False,0.47950150221007826,0.47950150221007826,0.5941831448229777,0.0,0.0,False,,False
0,8,True,False,0.28224487806266674,0.28224487806266674,0.31676733048151573,0.0,0.0,True,8:0,True
0,9,False,False,0.39295530254059297,0.39295530254059297,0.3784804803428497,0.0,0.0,False,,False
0,10,False,False,0.38884317409271774,0.3888431740927177,0.5882886561200341,0.0,0.0,False,,False
0,11,True,False,0.5171465332961911,0.5171465332961911,0.37812604292750296,0.0,0.0,True,11:0,True
0,12,True,False,0.6037817987812786,0.6037817987812786,0.48527716350699646,0.0,0.0,True,12:0,True
0,13,False,False,0.6035157570750574,0.6035157570750574,0.504968769833245,0.0,0.0,False,,False
0,14,False,False,0.3457709441751927,0.3457709441751927,0.3300312755279211,0.0,0.0,False,,False
0,15,False,False,0.4415402376273212,0.4415402376273212,0.3651732285065892,0.0,0.0,False,,False
0,16,False,False,0.5313353420972462,0.5313353420972462,0.35549804760622816,0.0,0.0,False,,False
0,17,True,False,0.3919935126913222,0.3919935126913222,0.5734977925998279,0.0,0.0,True,17:0,True
0,18,False,False,0.27532729345925583,0.2753272934592558,0.4371862081365062,0.0,0.0,False,,False
0,19,False,False,0.5851883343647291,0.5851883343647291,0.445278758799319,0.0,0.0,False,,False
