time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age,seed,pooled,active_customers,arm
20,1,0,0,0,2,0,0,False,6,domestic_only
20,2,0,0,0,2,0,0,False,6,domestic_only
20,3,0,0,0,2,0,0,False,6,domestic_only
20,4,0,0,0,2,0,0,False,6,domestic_only
20,5,0,0,0,2,0,0,False,6,domestic_only
21,0,0,0,0,2,0,0,False,6,domestic_only
21,1,0,0,0,2,0,0,False,6,domestic_only
21,2,0,0,0,2,0,0,False,6,domestic_only
21,3,0,0,0,2,0,0,False,6,domestic_only
21,4,0,0,0,2,0,0,False,6,domestic_only
21,5,0,0,0,2,0,0,False,6,domestic_only
22,0,0,0,0,2,0,0,False,6,domestic_only
22,1,0,0,0,2,0,0,False,6,domestic_only
22,2,0,0,0,2,0,0,False,6,domestic_only
22,3,0,0,0,2,0,0,False,6,domestic_only
22,4,0,0,0,2,0,0,False,6,domestic_only
22,5,0,0,0,2,0,0,False,6,domestic_only
23,0,0,0,0,2,0,0,False,6,domestic_only
23,1,0,0,0,2,0,0,False,6,domestic_only
23,2,0,0,0,2,0,0,False,6,domestic_only
23,3,0,0,0,2,0,0,False,6,domestic_only
23,4,0,0,0,2,0,0,False,6,domestic_only
23,5,0,0,0,2,0,0,False,6,domestic_only
24,0,0,0,0,2,0,0,False,6,domestic_only
24,1,0,0,0,2,0,0,False,6,domestic_only
24,2,0,0,0,2,0,0,False,6,domestic_only
24,3,0,0,0,2,0,0,False,6,domestic_only
24,4,0,0,0,2,0,0,False,6,domestic_only
24,5,0,0,0,2,0,0,False,6,domestic_only
25,0,0,0,0,2,0,0,False,6,domestic_only
25,1,0,0,0,2,0,0,False,6,domestic_only
25,2,0,0,0,2,0,0,False,6,domestic_only
25,3,0,0,0,2,0,0,False,6,domestic_only
25,4,0,0,0,2,0,0,False,6,domestic_only
25,5,0,0,0,2,0,0,False,6,domestic_only
26,0,0,0,0,2,0,0,False,6,domestic_only
26,1,0,0,0,2,0,0,False,6,domestic_only
26,2,0,0,0,2,0,0,False,6,domestic_only
26,3,0,0,0,2,0,0,False,6,domestic_only
26,4,0,0,0,2,0,0,False,6,domestic_only
26,5,0,0,0,2,0,0,False,6,domestic_only
27,0,0,0,0,2,0,0,False,6,domestic_only
27,1,0,0,0,2,0,0,False,6,domestic_only
27,2,0,0,0,2,0,0,False,6,domestic_only
27,3,0,0,0,2,0,0,False,6,domestic_only
27,4,0,0,0,2,0,0,False,6,domestic_only
27,5,0,0,0,2,0,0,False,6,domestic_only
28,0,0,0,0,2,0,0,False,6,domestic_only
28,1,0,0,0,2,0,0,False,6,domestic_only
28,2,0,0,0,2,0,0,False,6,domestic_only
28,3,0,0,0,2,0,0,False,6,domestic_only
28,4,0,0,0,2,0,0,False,6,domestic_only
28,5,0,0,0,2,0,0,False,6,domestic_only
29,0,0,0,0,2,0,0,False,6,domestic_only
29,1,0,0,0,2,0,0,False,6,domestic_only
29,2,0,0,0,2,0,0,False,6,domestic_only
29,3,0,0,0,2,0,0,False,6,domestic_only
29,4,0,0,0,2,0,0,False,6,domestic_only
29,5,0,0,0,2,0,0,False,6,domestic_only
30,0,0,0,0,2,0,0,False,6,domestic_only
30,1,0,0,0,2,0,0,False,6,domestic_only
30,2,0,0,0,2,0,0,False,6,domestic_only
30,3,0,0,0,2,0,0,False,6,domestic_only
30,4,0,0,0,2,0,0,False,6,domestic_only
30,5,0,0,0,2,0,0,False,6,domestic_only
31,0,0,0,0,2,0,0,False,6,domestic_only
31,1,0,0,0,2,0,0,False,6,domestic_only
31,2,0,0,0,2,0,0,False,6,domestic_only
31,3,0,0,0,2,0,0,False,6,domestic_only
31,4,0,0,0,2,0,0,False,6,domestic_only
31,5,0,0,0,2,0,0,False,6,domestic_only
32,0,0,0,0,2,0,0,False,6,domestic_only
32,1,0,0,0,2,0,0,False,6,domestic_only
