pooled,active_customers,metric,comparison,mean,low,high
False,6,customer_use,both - customer_only,-0.2490422114222976,-0.26776827377595946,-0.22859127939782403
False,6,resolved_share,both - customer_only,0.30033925253911226,0.27210564224096806,0.32791637462862283
False,3,customer_use,both - customer_only,-0.2550014027179298,-0.2707928717341571,-0.23959898603982038
False,3,resolved_share,both - customer_only,0.2767483288316787,0.24696496372196416,0.3047799932303954
False,1,customer_use,both - customer_only,-0.2549283415230257,-0.27835803189495517,-0.2315991379147455
False,1,resolved_share,both - customer_only,0.26324693410698974,0.23482788082056413,0.2916639014881993
True,6,customer_use,both - customer_only,-0.25081436401527957,-0.26939566597099185,-0.2318627786614698
True,6,resolved_share,both - customer_only,0.3114637712679259,0.2884877865270884,0.3365092319922799
True,3,customer_use,both - customer_only,-0.25081436401527957,-0.26838232774059423,-0.2322408978017952
True,3,resolved_share,both - customer_only,0.3114637712679259,0.28814581517194743,0.33625819763725123
True,1,customer_use,both - customer_only,-0.25081436401527957,-0.26960918062379796,-0.23144425134316424
True,1,resolved_share,both - customer_only,0.3114637712679259,0.289752635515389,0.33672748997442686
