time,case_id,employee
48,14:0,14
48,17:0,17
48,58:0,58
49,118:1,118
50,12:2,12
51,87:3,87
52,70:4,70
53,66:5,66
53,82:5,82
54,56:6,56
54,110:6,110
55,40:7,40
55,101:7,101
57,41:9,41
58,21:10,21
59,93:11,93
59,96:11,96
62,98:14,98
63,8:15,8
64,1:16,1
64,92:16,92
64,95:16,95
66,97:18,97
67,117:19,117
68,67:20,67
68,91:20,91
68,108:20,108
70,64:22,64
72,20:24,20
72,107:24,107
72,113:24,113
73,27:25,27
73,88:25,88
74,54:26,54
75,79:27,79
75,112:27,112
76,75:28,75
77,55:29,55
77,119:29,119
79,59:31,59
80,81:32,81
84,30:36,30
84,42:36,42
84,89:36,89
87,37:39,37
91,35:43,35
92,46:44,46
93,24:45,24
94,114:46,114
95,50:47,50
96,33:48,33
96,51:48,51
96,62:48,62
99,48:51,48
99,60:51,60
100,49:52,49
101,65:53,65
104,115:56,115
106,106:58,106
107,3:59,3
107,18:59,18
107,103:59,103
108,32:60,32
110,0:62,0
110,84:62,84
112,7:64,7
112,57:64,57
114,1:66,1
115,16:67,16
115,95:67,95
115,116:67,116
116,23:68,23
117,97:69,97
120,91:72,91
121,108:73,108
122,21:74,21
122,43:74,43
126,14:78,14
126,74:78,74
126,79:78,79
127,29:79,29
128,8:80,8
128,41:80,41
128,80:80,80
128,81:80,81
128,82:80,82
129,22:81,22
129,40:81,40
130,105:82,105
133,25:85,25
133,54:85,54
134,2:86,2
135,4:87,4
135,12:87,12
137,78:89,78
138,30:90,30
140,36:92,36
141,87:93,87
142,9:94,9
142,39:94,39
147,104:99,104
148,19:100,19
149,99:101,99
150,48:102,48
151,118:103,118
152,56:104,56
153,66:105,66
155,83:107,83
155,119:107,119
156,65:108,65
157,18:109,18
157,31:109,31
157,44:109,44
157,114:109,114
158,60:110,60
159,50:111,50
159,89:111,89
160,59:112,59
160,94:112,94
161,112:113,112
162,64:114,64
163,16:115,16
163,17:115,17
