time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age
32,5,0,0,0,0,0
33,0,0,0,0,4,0
33,1,1,1,0,4,2
33,2,2,2,0,4,2
33,3,0,0,0,0,0
33,4,0,0,0,0,0
33,5,0,0,0,0,0
34,0,4,4,0,4,2
34,1,1,1,0,4,2
34,2,0,0,0,4,0
34,3,0,0,0,0,0
34,4,0,0,0,0,0
34,5,0,0,0,0,0
35,0,1,1,0,4,2
35,1,0,0,0,4,0
35,2,1,1,0,4,2
35,3,0,0,0,0,0
35,4,0,0,0,0,0
35,5,0,0,0,0,0
36,0,1,1,0,4,2
36,1,0,0,0,4,0
36,2,0,0,0,4,0
36,3,0,0,0,0,0
36,4,0,0,0,0,0
36,5,0,0,0,0,0
37,0,0,0,0,4,0
37,1,0,0,0,4,0
37,2,0,0,0,4,0
37,3,0,0,0,0,0
37,4,0,0,0,0,0
37,5,0,0,0,0,0
38,0,2,2,0,4,2
38,1,0,0,0,4,0
38,2,1,1,0,4,2
38,3,0,0,0,0,0
38,4,0,0,0,0,0
38,5,0,0,0,0,0
39,0,0,0,0,4,0
39,1,1,1,0,4,2
39,2,0,0,0,4,0
39,3,0,0,0,0,0
39,4,0,0,0,0,0
39,5,0,0,0,0,0
40,0,0,0,0,4,0
40,1,0,0,0,4,0
40,2,3,3,0,4,2
40,3,0,0,0,0,0
40,4,0,0,0,0,0
40,5,0,0,0,0,0
41,0,1,1,0,4,2
41,1,2,2,0,4,2
41,2,0,0,0,4,0
41,3,0,0,0,0,0
41,4,0,0,0,0,0
41,5,0,0,0,0,0
42,0,0,0,0,4,0
42,1,0,0,0,4,0
42,2,0,0,0,4,0
42,3,0,0,0,0,0
42,4,0,0,0,0,0
42,5,0,0,0,0,0
43,0,0,0,0,4,0
43,1,0,0,0,4,0
43,2,0,0,0,4,0
43,3,0,0,0,0,0
43,4,0,0,0,0,0
43,5,0,0,0,0,0
44,0,1,1,0,4,2
44,1,0,0,0,4,0
44,2,1,1,0,4,2
44,3,0,0,0,0,0
44,4,0,0,0,0,0
44,5,0,0,0,0,0
45,0,2,2,0,4,2
45,1,1,1,0,4,2
45,2,0,0,0,4,0
45,3,0,0,0,0,0
45,4,0,0,0,0,0
45,5,0,0,0,0,0
46,0,1,1,0,4,2
46,1,1,1,0,4,2
46,2,1,1,0,4,2
46,3,0,0,0,0,0
46,4,0,0,0,0,0
46,5,0,0,0,0,0
47,0,0,0,0,4,0
47,1,2,2,0,4,2
47,2,2,2,0,4,2
47,3,0,0,0,0,0
47,4,0,0,0,0,0
