pooled,active_customers,metric,comparison,mean,low,high
False,6,customer_use,both - customer_only,-0.25818572195383793,-0.318840579710145,-0.19753086419753085
False,6,resolved_share,both - customer_only,0.3115942028985508,0.2898550724637682,0.3333333333333333
False,3,customer_use,both - customer_only,-0.2767042404723564,-0.3188405797101449,-0.23456790123456794
False,3,resolved_share,both - customer_only,0.24342458400429418,0.20289855072463775,0.2839506172839506
False,1,customer_use,both - customer_only,-0.24879227053140096,-0.2753623188405797,-0.2222222222222222
False,1,resolved_share,both - customer_only,0.26140633387010204,0.16049382716049382,0.3623188405797102
True,6,customer_use,both - customer_only,-0.2839506172839506,-0.33333333333333337,-0.23456790123456783
True,6,resolved_share,both - customer_only,0.28073000536768655,0.2716049382716049,0.2898550724637681
True,3,customer_use,both - customer_only,-0.2839506172839506,-0.33333333333333337,-0.23456790123456783
True,3,resolved_share,both - customer_only,0.28073000536768655,0.2716049382716049,0.2898550724637681
True,1,customer_use,both - customer_only,-0.2839506172839506,-0.33333333333333337,-0.23456790123456783
True,1,resolved_share,both - customer_only,0.28073000536768655,0.2716049382716049,0.2898550724637681
