time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age,seed,pooled,active_customers,arm
11,0,0,0,0,2,0,0,False,6,domestic_only
11,1,0,0,0,2,0,0,False,6,domestic_only
11,2,0,0,0,2,0,0,False,6,domestic_only
11,3,0,0,0,2,0,0,False,6,domestic_only
11,4,0,0,0,2,0,0,False,6,domestic_only
11,5,0,0,0,2,0,0,False,6,domestic_only
12,0,0,0,0,2,0,0,False,6,domestic_only
12,1,0,0,0,2,0,0,False,6,domestic_only
12,2,0,0,0,2,0,0,False,6,domestic_only
12,3,0,0,0,2,0,0,False,6,domestic_only
12,4,0,0,0,2,0,0,False,6,domestic_only
12,5,0,0,0,2,0,0,False,6,domestic_only
13,0,0,0,0,2,0,0,False,6,domestic_only
13,1,0,0,0,2,0,0,False,6,domestic_only
13,2,0,0,0,2,0,0,False,6,domestic_only
13,3,0,0,0,2,0,0,False,6,domestic_only
13,4,0,0,0,2,0,0,False,6,domestic_only
13,5,0,0,0,2,0,0,False,6,domestic_only
14,0,0,0,0,2,0,0,False,6,domestic_only
14,1,0,0,0,2,0,0,False,6,domestic_only
14,2,0,0,0,2,0,0,False,6,domestic_only
14,3,0,0,0,2,0,0,False,6,domestic_only
14,4,0,0,0,2,0,0,False,6,domestic_only
14,5,0,0,0,2,0,0,False,6,domestic_only
15,0,0,0,0,2,0,0,False,6,domestic_only
15,1,0,0,0,2,0,0,False,6,domestic_only
15,2,0,0,0,2,0,0,False,6,domestic_only
15,3,0,0,0,2,0,0,False,6,domestic_only
15,4,0,0,0,2,0,0,False,6,domestic_only
15,5,0,0,0,2,0,0,False,6,domestic_only
16,0,0,0,0,2,0,0,False,6,domestic_only
16,1,0,0,0,2,0,0,False,6,domestic_only
16,2,0,0,0,2,0,0,False,6,domestic_only
16,3,0,0,0,2,0,0,False,6,domestic_only
16,4,0,0,0,2,0,0,False,6,domestic_only
16,5,0,0,0,2,0,0,False,6,domestic_only
17,0,0,0,0,2,0,0,False,6,domestic_only
17,1,0,0,0,2,0,0,False,6,domestic_only
17,2,0,0,0,2,0,0,False,6,domestic_only
17,3,0,0,0,2,0,0,False,6,domestic_only
17,4,0,0,0,2,0,0,False,6,domestic_only
17,5,0,0,0,2,0,0,False,6,domestic_only
18,0,0,0,0,2,0,0,False,6,domestic_only
18,1,0,0,0,2,0,0,False,6,domestic_only
18,2,0,0,0,2,0,0,False,6,domestic_only
18,3,0,0,0,2,0,0,False,6,domestic_only
18,4,0,0,0,2,0,0,False,6,domestic_only
18,5,0,0,0,2,0,0,False,6,domestic_only
19,0,0,0,0,2,0,0,False,6,domestic_only
19,1,0,0,0,2,0,0,False,6,domestic_only
19,2,0,0,0,2,0,0,False,6,domestic_only
19,3,0,0,0,2,0,0,False,6,domestic_only
19,4,0,0,0,2,0,0,False,6,domestic_only
19,5,0,0,0,2,0,0,False,6,domestic_only
20,0,0,0,0,2,0,0,False,6,domestic_only
20,1,0,0,0,2,0,0,False,6,domestic_only
20,2,0,0,0,2,0,0,False,6,domestic_only
20,3,0,0,0,2,0,0,False,6,domestic_only
20,4,0,0,0,2,0,0,False,6,domestic_only
20,5,0,0,0,2,0,0,False,6,domestic_only
21,0,0,0,0,2,0,0,False,6,domestic_only
21,1,0,0,0,2,0,0,False,6,domestic_only
21,2,0,0,0,2,0,0,False,6,domestic_only
21,3,0,0,0,2,0,0,False,6,domestic_only
21,4,0,0,0,2,0,0,False,6,domestic_only
21,5,0,0,0,2,0,0,False,6,domestic_only
22,0,0,0,0,2,0,0,False,6,domestic_only
22,1,0,0,0,2,0,0,False,6,domestic_only
22,2,0,0,0,2,0,0,False,6,domestic_only
22,3,0,0,0,2,0,0,False,6,domestic_only
22,4,0,0,0,2,0,0,False,6,domestic_only
22,5,0,0,0,2,0,0,False,6,domestic_only
23,0,0,0,0,2,0,0,False,6,domestic_only
23,1,0,0,0,2,0,0,False,6,domestic_only
23,2,0,0,0,2,0,0,False,6,domestic_only
23,3,0,0,0,2,0,0,False,6,domestic_only
23,4,0,0,0,2,0,0,False,6,domestic_only
23,5,0,0,0,2,0,0,False,6,domestic_only
24,0,0,0,0,2,0,0,False,6,domestic_only
24,1,0,0,0,2,0,0,False,6,domestic_only
24,2,0,0,0,2,0,0,False,6,domestic_only
24,3,0,0,0,2,0,0,False,6,domestic_only
24,4,0,0,0,2,0,0,False,6,domestic_only
24,5,0,0,0,2,0,0,False,6,domestic_only
25,0,0,0,0,2,0,0,False,6,domestic_only
25,1,0,0,0,2,0,0,False,6,domestic_only
25,2,0,0,0,2,0,0,False,6,domestic_only
25,3,0,0,0,2,0,0,False,6,domestic_only
25,4,0,0,0,2,0,0,False,6,domestic_only
25,5,0,0,0,2,0,0,False,6,domestic_only
26,0,0,0,0,2,0,0,False,6,domestic_only
26,1,0,0,0,2,0,0,False,6,domestic_only
26,2,0,0,0,2,0,0,False,6,domestic_only
26,3,0,0,0,2,0,0,False,6,domestic_only
26,4,0,0,0,2,0,0,False,6,domestic_only
26,5,0,0,0,2,0,0,False,6,domestic_only
27,0,0,0,0,2,0,0,False,6,domestic_only
27,1,0,0,0,2,0,0,False,6,domestic_only
27,2,0,0,0,2,0,0,False,6,domestic_only
27,3,0,0,0,2,0,0,False,6,domestic_only
27,4,0,0,0,2,0,0,False,6,domestic_only
27,5,0,0,0,2,0,0,False,6,domestic_only
28,0,0,0,0,2,0,0,False,6,domestic_only
28,1,0,0,0,2,0,0,False,6,domestic_only
28,2,0,0,0,2,0,0,False,6,domestic_only
28,3,0,0,0,2,0,0,False,6,domestic_only
28,4,0,0,0,2,0,0,False,6,domestic_only
28,5,0,0,0,2,0,0,False,6,domestic_only
29,0,0,0,0,2,0,0,False,6,domestic_only
29,1,0,0,0,2,0,0,False,6,domestic_only
29,2,0,0,0,2,0,0,False,6,domestic_only
29,3,0,0,0,2,0,0,False,6,domestic_only
29,4,0,0,0,2,0,0,False,6,domestic_only
29,5,0,0,0,2,0,0,False,6,domestic_only
30,0,0,0,0,2,0,0,False,6,domestic_only
30,1,0,0,0,2,0,0,False,6,domestic_only
30,2,0,0,0,2,0,0,False,6,domestic_only
30,3,0,0,0,2,0,0,False,6,domestic_only
30,4,0,0,0,2,0,0,False,6,domestic_only
30,5,0,0,0,2,0,0,False,6,domestic_only
31,0,0,0,0,2,0,0,False,6,domestic_only
31,1,0,0,0,2,0,0,False,6,domestic_only
31,2,0,0,0,2,0,0,False,6,domestic_only
31,3,0,0,0,2,0,0,False,6,domestic_only
31,4,0,0,0,2,0,0,False,6,domestic_only
31,5,0,0,0,2,0,0,False,6,domestic_only
32,0,0,0,0,2,0,0,False,6,domestic_only
32,1,0,0,0,2,0,0,False,6,domestic_only
32,2,0,0,0,2,0,0,False,6,domestic_only
32,3,0,0,0,2,0,0,False,6,domestic_only
32,4,0,0,0,2,0,0,False,6,domestic_only
32,5,0,0,0,2,0,0,False,6,domestic_only
33,0,0,0,0,2,0,0,False,6,domestic_only
33,1,0,0,0,2,0,0,False,6,domestic_only
33,2,0,0,0,2,0,0,False,6,domestic_only
33,3,0,0,0,2,0,0,False,6,domestic_only
33,4,0,0,0,2,0,0,False,6,domestic_only
33,5,0,0,0,2,0,0,False,6,domestic_only
34,0,0,0,0,2,0,0,False,6,domestic_only
34,1,0,0,0,2,0,0,False,6,domestic_only
34,2,0,0,0,2,0,0,False,6,domestic_only
34,3,0,0,0,2,0,0,False,6,domestic_only
34,4,0,0,0,2,0,0,False,6,domestic_only
34,5,0,0,0,2,0,0,False,6,domestic_only
35,0,0,0,0,2,0,0,False,6,domestic_only
35,1,0,0,0,2,0,0,False,6,domestic_only
35,2,0,0,0,2,0,0,False,6,domestic_only
35,3,0,0,0,2,0,0,False,6,domestic_only
35,4,0,0,0,2,0,0,False,6,domestic_only
35,5,0,0,0,2,0,0,False,6,domestic_only
36,0,0,0,0,2,0,0,False,6,domestic_only
36,1,0,0,0,2,0,0,False,6,domestic_only
36,2,0,0,0,2,0,0,False,6,domestic_only
36,3,0,0,0,2,0,0,False,6,domestic_only
36,4,0,0,0,2,0,0,False,6,domestic_only
36,5,0,0,0,2,0,0,False,6,domestic_only
37,0,0,0,0,2,0,0,False,6,domestic_only
37,1,0,0,0,2,0,0,False,6,domestic_only
37,2,0,0,0,2,0,0,False,6,domestic_only
37,3,0,0,0,2,0,0,False,6,domestic_only
37,4,0,0,0,2,0,0,False,6,domestic_only
37,5,0,0,0,2,0,0,False,6,domestic_only
38,0,0,0,0,2,0,0,False,6,domestic_only
38,1,0,0,0,2,0,0,False,6,domestic_only
38,2,0,0,0,2,0,0,False,6,domestic_only
38,3,0,0,0,2,0,0,False,6,domestic_only
38,4,0,0,0,2,0,0,False,6,domestic_only
38,5,0,0,0,2,0,0,False,6,domestic_only
39,0,0,0,0,2,0,0,False,6,domestic_only
39,1,0,0,0,2,0,0,False,6,domestic_only
39,2,0,0,0,2,0,0,False,6,domestic_only
39,3,0,0,0,2,0,0,False,6,domestic_only
