axis,mode,population,level,contrast,metric,mean,low,high,n
support,full,all,,highest_minus_lowest,both_use,0.06245847176079736,-0.046511627906976716,0.17142857142857143,2
support,full,all,,highest_minus_lowest,resolved,0.42093023255813955,0.4,0.44186046511627913,2
support,full,all,,highest_minus_lowest,unresolved,-0.42093023255813955,-0.4418604651162791,-0.4000000000000001,2
support,full,all,,highest_minus_lowest,customer_route_success,0.020833333333333356,0.0,0.04166666666666671,2
support,full,all,,highest_minus_lowest,customer_only_resolution,0.020833333333333356,0.0,0.04166666666666671,2
support,full,all,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,2
support,full,all,,highest_minus_lowest,customer_user_any_resolution,0.3356481481481482,0.20833333333333331,0.4629629629629631,2
support,full,all,,highest_minus_lowest,customer_unresolved,-0.3356481481481482,-0.462962962962963,-0.20833333333333337,2
support,full,all,,highest_minus_lowest,material_at_review,0.0,0.0,0.0,2
support,full,all,,highest_minus_lowest,standardized_no_material_score,0.0018494590655428467,0.0011838041738492788,0.0025151139572364145,2
support,full,all,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,2
support,full,all,,highest_minus_lowest,mean_customer_merit,-0.008704609841764077,-0.016226823534649992,-0.001182396148878162,2
support,full,all,,highest_minus_lowest,mean_customer_dependence,0.013981197708015786,0.006775870708637888,0.021186524707393684,2
support,full,both_reachable,,highest_minus_lowest,domestic_use,0.31944444444444453,0.19444444444444442,0.44444444444444464,2
support,full,both_reachable,,highest_minus_lowest,customer_use,-0.19907407407407407,-0.25,-0.14814814814814814,2
support,full,both_reachable,,highest_minus_lowest,first_d,0.2592592592592593,0.2222222222222222,0.29629629629629634,2
support,full,both_reachable,,highest_minus_lowest,first_e,-0.20833333333333337,-0.22222222222222227,-0.19444444444444448,2
support,full,both_reachable,,highest_minus_lowest,first_both,-0.01388888888888885,-0.0277777777777777,0.0,2
support,full,both_reachable,,highest_minus_lowest,neither,-0.037037037037037,-0.074074074074074,0.0,2
support,full,both_reachable,,highest_minus_lowest,d_to_e,0.023148148148148112,-0.02777777777777779,0.07407407407407401,2
support,full,both_reachable,,highest_minus_lowest,e_to_d,0.07407407407407408,0.0,0.14814814814814817,2
support,full,both_reachable,,highest_minus_lowest,both_use,0.08333333333333334,-0.055555555555555525,0.2222222222222222,2
support,full,both_reachable,,highest_minus_lowest,resolved,0.4027777777777778,0.33333333333333337,0.47222222222222227,2
support,full,both_reachable,,highest_minus_lowest,unresolved,-0.4027777777777778,-0.4722222222222222,-0.3333333333333333,2
support,full,both_reachable,,highest_minus_lowest,customer_route_success,0.020833333333333356,0.0,0.04166666666666671,2
support,full,both_reachable,,highest_minus_lowest,customer_only_resolution,0.020833333333333356,0.0,0.04166666666666671,2
support,full,both_reachable,,highest_minus_lowest,joint_resolution,0.0,0.0,0.0,2
support,full,both_reachable,,highest_minus_lowest,customer_user_any_resolution,0.3356481481481482,0.20833333333333331,0.4629629629629631,2
support,full,both_reachable,,highest_minus_lowest,customer_unresolved,-0.3356481481481482,-0.462962962962963,-0.20833333333333337,2
support,full,both_reachable,,highest_minus_lowest,material_at_review,0.0,0.0,0.0,2
support,full,both_reachable,,highest_minus_lowest,standardized_no_material_score,0.0018494590655428467,0.0011838041738492788,0.0025151139572364145,2
support,full,both_reachable,,highest_minus_lowest,mechanical_material_increment,0.0,0.0,0.0,2
support,full,both_reachable,,highest_minus_lowest,mean_customer_merit,-0.008704609841764077,-0.016226823534649992,-0.001182396148878162,2
support,full,both_reachable,,highest_minus_lowest,mean_customer_dependence,0.013981197708015786,0.006775870708637888,0.021186524707393684,2
