axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,objective,early,both_reachable,neither,0.0,0.0,0.0,2
delay,0.0,objective,early,both_reachable,d_to_e,0.24448529411764705,0.1764705882352941,0.3125,2
delay,0.0,objective,early,both_reachable,e_to_d,0.28768382352941174,0.28125,0.2941176470588235,2
delay,0.0,objective,early,both_reachable,both_use,0.5321691176470588,0.4705882352941176,0.59375,2
delay,0.0,objective,early,both_reachable,resolved,0.3648897058823529,0.3235294117647059,0.40625,2
delay,0.0,objective,early,both_reachable,unresolved,0.6351102941176471,0.59375,0.6764705882352942,2
delay,0.0,objective,early,both_reachable,customer_route_success,0.228695652173913,0.217391304347826,0.24,2
delay,0.0,objective,early,both_reachable,customer_only_resolution,0.228695652173913,0.217391304347826,0.24,2
delay,0.0,objective,early,both_reachable,joint_resolution,0.0,0.0,0.0,2
delay,0.0,objective,early,both_reachable,customer_user_any_resolution,0.3521739130434782,0.3043478260869565,0.4,2
delay,0.0,objective,early,both_reachable,customer_unresolved,0.6478260869565218,0.6,0.6956521739130435,2
delay,0.0,objective,early,both_reachable,material_at_review,0.0,0.0,0.0,2
delay,0.0,objective,early,both_reachable,standardized_no_material_score,0.2456387668860438,0.245404532239299,0.2458730015327886,2
delay,0.0,objective,early,both_reachable,mechanical_material_increment,0.0,0.0,0.0,2
delay,0.0,objective,early,both_reachable,mean_customer_merit,0.5950700475790176,0.5847508428087442,0.605389252349291,2
delay,0.0,objective,early,both_reachable,mean_customer_dependence,0.49747232291551113,0.4912578294987554,0.5036868163322669,2
delay,0.0,objective,late,all,domestic_use,0.8239202657807309,0.7906976744186046,0.8571428571428571,2
delay,0.0,objective,late,all,customer_use,0.5933554817275748,0.5581395348837209,0.6285714285714286,2
delay,0.0,objective,late,all,first_d,0.6255813953488372,0.6,0.6511627906976745,2
delay,0.0,objective,late,all,first_e,0.3395348837209302,0.2790697674418604,0.4,2
delay,0.0,objective,late,all,first_both,0.01162790697674415,0.0,0.0232558139534883,2
delay,0.0,objective,late,all,neither,0.02325581395348835,0.0,0.0465116279069767,2
delay,0.0,objective,late,all,d_to_e,0.24219269102990032,0.2285714285714285,0.2558139534883721,2
delay,0.0,objective,late,all,e_to_d,0.18671096345514945,0.1162790697674418,0.2571428571428571,2
