comparison,metric,n,mean_difference,sd_difference,se_difference
both - domestic_only,domestic_use,30,-0.015611974778181914,0.01598097480783969,0.002917713464391862
both - domestic_only,resolved_share,30,0.08865823240996772,0.0590097499654699,0.010773657056275853
both - domestic_only,unresolved_case_rounds,30,-267.8666666666667,182.2364385632848,33.27166940017181
both - customer_only,customer_use,30,-0.1775020551680066,0.0497760049794554,0.009087813583245731
both - customer_only,resolved_share,30,0.322265085879056,0.05334300516196118,0.009739055737440218
both - customer_only,unresolved_case_rounds,30,-965.8,171.303199639985,31.27554220521021
