case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
45:0,45,0,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9062133005588473,True,0.47042565019858995,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
46:0,46,2,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6022381767052344,True,0.6,4.0,,no_remedy,,,44.0,44.0,domestic_only,0
49:0,49,2,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5966172958732835,True,0.6,4.0,,no_remedy,,,44.0,44.0,domestic_only,0
50:0,50,5,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9418125466328746,True,0.506188904761806,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
52:0,52,1,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9696043638289182,True,0.5994915417836008,4.0,,no_remedy,,,44.0,44.0,domestic_only,0
54:0,54,3,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9312490218410299,True,0.40760183202748823,4.0,,no_remedy,,,44.0,44.0,domestic_only,0
57:0,57,3,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.5835548832989768,False,0.40760183202748823,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
58:0,58,0,0,0.0,0.0,,4.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6648866098493449,True,0.47042565019858995,4.0,,no_remedy,,,44.0,44.0,domestic_only,0
59:0,59,2,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6943385467328902,True,0.6,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
60:0,60,2,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.6451244971410584,True,0.6,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
61:0,61,0,0,0.0,0.0,,4.0,,,,5.0,,successful,unused,5.0,d,1.0,d,resolved,0.9596398737119458,True,0.47042565019858995,5.0,,remedy_supported,5.0,5.0,5.0,5.0,domestic_only,0
62:0,62,1,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5080031486909644,True,0.5994915417836008,5.0,,no_remedy,,,44.0,44.0,domestic_only,0
68:0,68,5,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6434450740162051,True,0.506188904761806,6.0,,remedy_supported,6.0,6.0,6.0,6.0,domestic_only,0
69:0,69,0,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9149858922629852,True,0.47042565019858995,5.0,,no_remedy,,,44.0,44.0,domestic_only,0
70:0,70,1,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8472291736018014,True,0.5994915417836008,5.0,,no_remedy,,,44.0,44.0,domestic_only,0
71:0,71,0,0,0.0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.5421108680144316,True,0.47042565019858995,6.0,,remedy_supported,6.0,6.0,6.0,6.0,domestic_only,0
73:0,73,5,0,0.0,0.0,,5.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4398843340243584,True,0.506188904761806,5.0,,no_remedy,,,44.0,44.0,domestic_only,0
