time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
12,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
13,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
14,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
15,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
16,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
17,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
18,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
19,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
20,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
21,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
22,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
23,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
24,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
25,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
26,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
27,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
28,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
29,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
30,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
31,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
32,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
33,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
34,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
35,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
36,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
37,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
38,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
39,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
40,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
41,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
42,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
43,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
44,0,0,0,0,0,0,39,0,0,39,0,0,0,0,0,0,0,30,69,69,0,0,1.0,0.0,0.0,0.0,domestic_only,0
0,69,52,52,0,52,0,69,52,17,0,0,0,0,0,0,52,0,0,52,69,0,0,0.0,0.7536231884057971,0.0,0.0,customer_only,0
1,0,2,2,0,2,0,69,54,15,0,0,0,0,0,0,54,0,0,54,69,0,52,0.0,0.782608695652174,0.0,0.0,customer_only,0
2,0,0,0,0,0,0,69,50,15,4,0,0,0,0,0,50,0,0,54,69,0,54,0.0,0.782608695652174,0.0,0.0,customer_only,0
3,0,0,0,0,0,0,62,38,15,9,0,0,0,0,0,38,7,7,54,69,0,54,0.0,0.782608695652174,0.0,0.0,customer_only,0
4,0,0,0,0,0,0,59,21,15,23,0,0,0,0,0,21,3,10,54,69,0,38,0.0,0.782608695652174,0.0,0.0,customer_only,0
