time,case_id,employee,event,scenario,seed
0,0:0,0,dispute_created,domestic_only,0
0,1:0,1,dispute_created,domestic_only,0
0,3:0,3,dispute_created,domestic_only,0
0,5:0,5,dispute_created,domestic_only,0
0,6:0,6,dispute_created,domestic_only,0
0,7:0,7,dispute_created,domestic_only,0
0,8:0,8,dispute_created,domestic_only,0
0,10:0,10,dispute_created,domestic_only,0
0,11:0,11,dispute_created,domestic_only,0
0,12:0,12,dispute_created,domestic_only,0
0,15:0,15,dispute_created,domestic_only,0
0,16:0,16,dispute_created,domestic_only,0
0,17:0,17,dispute_created,domestic_only,0
0,19:0,19,dispute_created,domestic_only,0
0,20:0,20,dispute_created,domestic_only,0
0,21:0,21,dispute_created,domestic_only,0
0,22:0,22,dispute_created,domestic_only,0
0,24:0,24,dispute_created,domestic_only,0
0,27:0,27,dispute_created,domestic_only,0
0,30:0,30,dispute_created,domestic_only,0
0,31:0,31,dispute_created,domestic_only,0
0,35:0,35,dispute_created,domestic_only,0
0,37:0,37,dispute_created,domestic_only,0
0,39:0,39,dispute_created,domestic_only,0
0,42:0,42,dispute_created,domestic_only,0
0,45:0,45,dispute_created,domestic_only,0
0,46:0,46,dispute_created,domestic_only,0
0,49:0,49,dispute_created,domestic_only,0
0,50:0,50,dispute_created,domestic_only,0
0,52:0,52,dispute_created,domestic_only,0
0,54:0,54,dispute_created,domestic_only,0
0,57:0,57,dispute_created,domestic_only,0
0,58:0,58,dispute_created,domestic_only,0
0,59:0,59,dispute_created,domestic_only,0
0,60:0,60,dispute_created,domestic_only,0
0,61:0,61,dispute_created,domestic_only,0
0,62:0,62,dispute_created,domestic_only,0
0,68:0,68,dispute_created,domestic_only,0
0,69:0,69,dispute_created,domestic_only,0
0,70:0,70,dispute_created,domestic_only,0
0,71:0,71,dispute_created,domestic_only,0
0,73:0,73,dispute_created,domestic_only,0
0,75:0,75,dispute_created,domestic_only,0
0,76:0,76,dispute_created,domestic_only,0
0,77:0,77,dispute_created,domestic_only,0
0,78:0,78,dispute_created,domestic_only,0
0,79:0,79,dispute_created,domestic_only,0
0,82:0,82,dispute_created,domestic_only,0
0,83:0,83,dispute_created,domestic_only,0
0,85:0,85,dispute_created,domestic_only,0
0,88:0,88,dispute_created,domestic_only,0
0,89:0,89,dispute_created,domestic_only,0
0,90:0,90,dispute_created,domestic_only,0
0,91:0,91,dispute_created,domestic_only,0
0,92:0,92,dispute_created,domestic_only,0
0,99:0,99,dispute_created,domestic_only,0
0,100:0,100,dispute_created,domestic_only,0
0,101:0,101,dispute_created,domestic_only,0
0,102:0,102,dispute_created,domestic_only,0
0,103:0,103,dispute_created,domestic_only,0
0,104:0,104,dispute_created,domestic_only,0
0,106:0,106,dispute_created,domestic_only,0
0,107:0,107,dispute_created,domestic_only,0
0,108:0,108,dispute_created,domestic_only,0
0,111:0,111,dispute_created,domestic_only,0
0,112:0,112,dispute_created,domestic_only,0
0,113:0,113,dispute_created,domestic_only,0
0,117:0,117,dispute_created,domestic_only,0
0,118:0,118,dispute_created,domestic_only,0
0,0:0,0,domestic_received,domestic_only,0
0,1:0,1,domestic_received,domestic_only,0
0,3:0,3,domestic_received,domestic_only,0
0,5:0,5,domestic_received,domestic_only,0
0,6:0,6,domestic_received,domestic_only,0
0,7:0,7,domestic_received,domestic_only,0
0,8:0,8,domestic_received,domestic_only,0
0,10:0,10,domestic_received,domestic_only,0
0,11:0,11,domestic_received,domestic_only,0
0,12:0,12,domestic_received,domestic_only,0
0,15:0,15,domestic_received,domestic_only,0
0,16:0,16,domestic_received,domestic_only,0
0,17:0,17,domestic_received,domestic_only,0
0,19:0,19,domestic_received,domestic_only,0
0,20:0,20,domestic_received,domestic_only,0
0,21:0,21,domestic_received,domestic_only,0
0,22:0,22,domestic_received,domestic_only,0
0,24:0,24,domestic_received,domestic_only,0
0,27:0,27,domestic_received,domestic_only,0
0,30:0,30,domestic_received,domestic_only,0
0,31:0,31,domestic_received,domestic_only,0
0,35:0,35,domestic_received,domestic_only,0
0,37:0,37,domestic_received,domestic_only,0
0,39:0,39,domestic_received,domestic_only,0
0,42:0,42,domestic_received,domestic_only,0
0,45:0,45,domestic_received,domestic_only,0
0,46:0,46,domestic_received,domestic_only,0
0,49:0,49,domestic_received,domestic_only,0
0,50:0,50,domestic_received,domestic_only,0
0,52:0,52,domestic_received,domestic_only,0
0,54:0,54,domestic_received,domestic_only,0
0,57:0,57,domestic_received,domestic_only,0
0,58:0,58,domestic_received,domestic_only,0
0,59:0,59,domestic_received,domestic_only,0
0,60:0,60,domestic_received,domestic_only,0
0,61:0,61,domestic_received,domestic_only,0
0,62:0,62,domestic_received,domestic_only,0
0,68:0,68,domestic_received,domestic_only,0
0,69:0,69,domestic_received,domestic_only,0
0,70:0,70,domestic_received,domestic_only,0
0,71:0,71,domestic_received,domestic_only,0
0,73:0,73,domestic_received,domestic_only,0
0,75:0,75,domestic_received,domestic_only,0
0,76:0,76,domestic_received,domestic_only,0
0,77:0,77,domestic_received,domestic_only,0
0,78:0,78,domestic_received,domestic_only,0
0,79:0,79,domestic_received,domestic_only,0
0,82:0,82,domestic_received,domestic_only,0
0,83:0,83,domestic_received,domestic_only,0
0,85:0,85,domestic_received,domestic_only,0
0,88:0,88,domestic_received,domestic_only,0
0,89:0,89,domestic_received,domestic_only,0
0,90:0,90,domestic_received,domestic_only,0
0,91:0,91,domestic_received,domestic_only,0
0,92:0,92,domestic_received,domestic_only,0
0,99:0,99,domestic_received,domestic_only,0
0,100:0,100,domestic_received,domestic_only,0
0,101:0,101,domestic_received,domestic_only,0
0,102:0,102,domestic_received,domestic_only,0
0,103:0,103,domestic_received,domestic_only,0
0,104:0,104,domestic_received,domestic_only,0
0,106:0,106,domestic_received,domestic_only,0
0,107:0,107,domestic_received,domestic_only,0
0,108:0,108,domestic_received,domestic_only,0
0,111:0,111,domestic_received,domestic_only,0
0,112:0,112,domestic_received,domestic_only,0
0,113:0,113,domestic_received,domestic_only,0
0,117:0,117,domestic_received,domestic_only,0
0,118:0,118,domestic_received,domestic_only,0
2,0:0,0,domestic_responded,domestic_only,0
2,0:0,0,domestic_material_not_issued,domestic_only,0
2,0:0,0,domestic_remedy_supported,domestic_only,0
2,1:0,1,domestic_responded,domestic_only,0
2,1:0,1,domestic_material_not_issued,domestic_only,0
